surfactant,cmc (mM),γCMC(mN-m'1),-[dy/dlogc]T,10^6Γ10 n=3 (mol/m-2),10^6Γ10 n=2 (mol/m-2),a n=3 (nms/molecule),a n=2 (nms/molecule),SMILES,Temp_Celsius,source_doi,reference_doi,method
12-3-12,0.91,35,27.1,1.58,2.37,1.05,0.7,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25,10.1021/la00030a006,,tensiometry
12-4-12,1,39.8,24.5,1.43,2.15,1.16,0.77,CCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25,10.1021/la00030a006,,tensiometry
12-6-12,1.12,42.5,19.9,1.16,1.75,1.43,0.95,CCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25,10.1021/la00030a006,,tensiometry
12-8-12,0.89,42.8,17.1,0.94,1.41,1.76,1.18,CCCCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25,10.1021/la00030a006,,tensiometry
12-10-12,0.32,43,12.9,0.75,1.13,2.2,1.47,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25,10.1021/la00030a006,,tensiometry
12-12-12,0.28,41.5,12.6,0.73,1.11,2.26,1.5,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25,10.1021/la00030a006,,tensiometry
12-14-12,0.18,39.5,14.2,0.83,1.25,2,1.33,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25,10.1021/la00030a006,,tensiometry
12-16-12,0.14,39.4,18.5,1.08,1.63,1.54,1.02,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25,10.1021/la00030a006,,tensiometry
12-3-12,0.94,,,,,,,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25,10.1021/la00030a006,10.1021/la00028a011,conductometry
12-4-12,1.17,,,,,,,CCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25,10.1021/la00030a006,10.1021/la00028a011,conductometry
12-6-12,1.03,,,,,,,CCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25,10.1021/la00030a006,10.1021/la00028a011,conductometry
12-8-12,0.83,,,,,,,CCCCCCCCCCCC[N+](C)(C)CCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25,10.1021/la00030a006,10.1021/la00028a011,conductometry
12-10-12,0.63,,,,,,,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25,10.1021/la00030a006,10.1021/la00028a011,conductometry
12-12-12,0.37,,,,,,,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25,10.1021/la00030a006,10.1021/la00028a011,conductometry
12-14-12,0.2,,,,,,,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25,10.1021/la00030a006,10.1021/la00028a011,conductometry
12-16-12,0.12,,,,,,,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25,10.1021/la00030a006,10.1021/la00028a011,conductometry
