identifier,Temp_Celsius,CMC,AW_ST_CMC,source_doi,reference_doi,SMILES,InChI,Molecular_Weight,pCMC
"P,[i-OPE10] (HC1)",30,0.0139,26.9,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,"InChI=1S/C34H62O11/c1-32(2)6-4-3-5-7-33-8-10-34(11-9-33)45-31-30-44-29-28-43-27-26-42-25-24-41-23-22-40-21-20-39-19-18-38-17-16-37-15-14-36-13-12-35/h8-11,32,35H,3-7,12-31H2,1-2H3",646.8590000000004,1.856985199745905
"P,[i-OPE10] (HC1)",40,0.0135,26.6,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,"InChI=1S/C34H62O11/c1-32(2)6-4-3-5-7-33-8-10-34(11-9-33)45-31-30-44-29-28-43-27-26-42-25-24-41-23-22-40-21-20-39-19-18-38-17-16-37-15-14-36-13-12-35/h8-11,32,35H,3-7,12-31H2,1-2H3",646.8590000000004,1.869666231504994
"P,[i-OPE10] (HC1)",50,0.0125,26.1,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,"InChI=1S/C34H62O11/c1-32(2)6-4-3-5-7-33-8-10-34(11-9-33)45-31-30-44-29-28-43-27-26-42-25-24-41-23-22-40-21-20-39-19-18-38-17-16-37-15-14-36-13-12-35/h8-11,32,35H,3-7,12-31H2,1-2H3",646.8590000000004,1.9030899869919435
"P,[i-OPE10] (HC1)",60,0.011,25.8,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,"InChI=1S/C34H62O11/c1-32(2)6-4-3-5-7-33-8-10-34(11-9-33)45-31-30-44-29-28-43-27-26-42-25-24-41-23-22-40-21-20-39-19-18-38-17-16-37-15-14-36-13-12-35/h8-11,32,35H,3-7,12-31H2,1-2H3",646.8590000000004,1.958607314841775
"P,[i-OPE15] (HC2)",30,0.0149,27.8,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,"InChI=1S/C44H82O16/c1-42(2)6-4-3-5-7-43-8-10-44(11-9-43)60-41-40-59-39-38-58-37-36-57-35-34-56-33-32-55-31-30-54-29-28-53-27-26-52-25-24-51-23-22-50-21-20-49-19-18-48-17-16-47-15-14-46-13-12-45/h8-11,42,45H,3-7,12-41H2,1-2H3",867.1239999999998,1.826813731587726
"P,[i-OPE15] (HC2)",40,0.0145,27.4,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,"InChI=1S/C44H82O16/c1-42(2)6-4-3-5-7-43-8-10-44(11-9-43)60-41-40-59-39-38-58-37-36-57-35-34-56-33-32-55-31-30-54-29-28-53-27-26-52-25-24-51-23-22-50-21-20-49-19-18-48-17-16-47-15-14-46-13-12-45/h8-11,42,45H,3-7,12-41H2,1-2H3",867.1239999999998,1.8386319977650252
"P,[i-OPE15] (HC2)",50,0.0139,27.1,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,"InChI=1S/C44H82O16/c1-42(2)6-4-3-5-7-43-8-10-44(11-9-43)60-41-40-59-39-38-58-37-36-57-35-34-56-33-32-55-31-30-54-29-28-53-27-26-52-25-24-51-23-22-50-21-20-49-19-18-48-17-16-47-15-14-46-13-12-45/h8-11,42,45H,3-7,12-41H2,1-2H3",867.1239999999998,1.856985199745905
"P,[i-OPE15] (HC2)",60,0.013,26.5,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,"InChI=1S/C44H82O16/c1-42(2)6-4-3-5-7-43-8-10-44(11-9-43)60-41-40-59-39-38-58-37-36-57-35-34-56-33-32-55-31-30-54-29-28-53-27-26-52-25-24-51-23-22-50-21-20-49-19-18-48-17-16-47-15-14-46-13-12-45/h8-11,42,45H,3-7,12-41H2,1-2H3",867.1239999999998,1.8860566476931633
"P,[i-OPE20] (HC3)",30,0.0168,28.9,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,"InChI=1S/C54H102O21/c1-52(2)6-4-3-5-7-53-8-10-54(11-9-53)75-51-50-74-49-48-73-47-46-72-45-44-71-43-42-70-41-40-69-39-38-68-37-36-67-35-34-66-33-32-65-31-30-64-29-28-63-27-26-62-25-24-61-23-22-60-21-20-59-19-18-58-17-16-57-15-14-56-13-12-55/h8-11,52,55H,3-7,12-51H2,1-2H3",1087.3889999999994,1.7746907182741372
"P,[i-OPE20] (HC3)",40,0.0161,28.6,10.1016/S0927-7757(00)00475-1,,CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,"InChI=1S/C54H102O21/c1-52(2)6-4-3-5-7-53-8-10-54(11-9-53)75-51-50-74-49-48-73-47-46-72-45-44-71-43-42-70-41-40-69-39-38-68-37-36-67-35-34-66-33-32-65-31-30-64-29-28-63-27-26-62-25-24-61-23-22-60-21-20-59-19-18-58-17-16-57-15-14-56-13-12-55/h8-11,52,55H,3-7,12-51H2,1-2H3",1087.3889999999994,1.7931741239681502
