Surfactants,Ethylene oxide units (n),HLB,Temp. (°C),CMC (mol dm-3),γCMC (mNm−1),−dg/d log C Pre-CMC units (slope),source_doi,reference_doi
"P,[i-OPE10] (HC1)",10,14.2,30,0.0139,26.9,10.5,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE10] (HC1)",10,14.2,40,0.0135,26.6,10.5,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE10] (HC1)",10,14.2,50,0.0125,26.1,10.06,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE10] (HC1)",10,14.2,60,0.011,25.8,9.5,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE15] (HC2)",15,15.7,30,0.0149,27.8,7.53,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE15] (HC2)",15,,40,0.0145,27.4,7.37,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE15] (HC2)",15,,50,0.0139,27.1,6.87,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE15] (HC2)",15,,60,0.013,26.5,6.46,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE20] (HC3)",20,16.5,30,0.0168,28.9,4.6,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE20] (HC3)",20,,40,0.0161,28.6,4.55,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE20] (HC3)",20,,50,0.0152,28.4,3.65,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE20] (HC3)",20,,60,0.0143,27.6,3.42,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE10] PO4H2 (HC4)",10,14.6,30,0.017,26.5,6.8,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE10] PO4H2 (HC4)",10,,40,0.016,26.1,6.06,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE10] PO4H2 (HC4)",10,,50,0.014,25.5,5.3,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE10] PO4H2 (HC4)",10,,60,0.012,25.2,5.1,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE15] PO4H2 (HC5)",15,16.0,30,0.018,27.5,5.1,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE15] PO4H2 (HC5)",15,,40,0.017,27.0,3.79,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE15] PO4H2 (HC5)",15,,50,0.015,26.8,3.51,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE15] PO4H2 (HC5)",15,,60,0.013,26.3,3.4,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE20] PO4H2 (HC6)",20,16.8,30,0.019,28.9,3.6,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE20] PO4H2 (HC6)",20,,40,0.018,27.8,3.03,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE20] PO4H2 (HC6)",20,,50,0.016,27.5,2.2,10.1016/S0927-7757(00)00475-1,
"P,[i-OPE20] PO4H2 (HC6)",20,,60,0.015,26.9,1.9,10.1016/S0927-7757(00)00475-1,
PFOAE2 (FC),2,5.9,30,0.046,13.0,15.52,10.1016/S0927-7757(00)00475-1,
PFOAE2 (FC),2,,40,0.04,12.5,14.25,10.1016/S0927-7757(00)00475-1,
PFOAE2 (FC),2,,50,0.035,12.3,13.23,10.1016/S0927-7757(00)00475-1,
PFOAE2 (FC),2,,60,0.033,12.0,12.94,10.1016/S0927-7757(00)00475-1,
