identifier,AW_ST_CMC,Temp_Celsius,SMILES,source_doi,reference_doi,method,Molecular_Weight,InChI,CMC,pCMC
4d,33.0,20,CCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,10.1007/s11743-000-0142-z,,tensiometry,328.4970000000001,"InChI=1S/C18H36N2O3/c1-5-6-7-8-9-10-11-13-17(21)23-16(2)18(22)19-14-12-15-20(3)4/h16H,5-15H2,1-4H3,(H,19,22)",1.7999999999999997e-05,4.744727494896694
4e,34.13,20,CCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,10.1007/s11743-000-0142-z,,tensiometry,342.52400000000017,"InChI=1S/C19H38N2O3/c1-5-6-7-8-9-10-11-12-14-18(22)24-17(2)19(23)20-15-13-16-21(3)4/h17H,5-16H2,1-4H3,(H,20,23)",1.4e-05,4.853871964321762
4f,27.83,20,CCCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,10.1007/s11743-000-0142-z,,tensiometry,356.5510000000001,"InChI=1S/C20H40N2O3/c1-5-6-7-8-9-10-11-12-13-15-19(23)25-18(2)20(24)21-16-14-17-22(3)4/h18H,5-17H2,1-4H3,(H,21,24)",1.1e-05,4.958607314841775
4h,26.5,20,CCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,10.1007/s11743-000-0142-z,,tensiometry,384.60500000000013,"InChI=1S/C22H44N2O3/c1-5-6-7-8-9-10-11-12-13-14-15-17-21(25)27-20(2)22(26)23-18-16-19-24(3)4/h20H,5-19H2,1-4H3,(H,23,26)",6e-06,5.221848749616356
4i,33.4,20,CCCCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,10.1007/s11743-000-0142-z,,tensiometry,412.65900000000016,"InChI=1S/C24H48N2O3/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-19-23(27)29-22(2)24(28)25-20-18-21-26(3)4/h22H,5-21H2,1-4H3,(H,25,28)",6.4000000000000006e-06,5.1938200260161125
4j,29.0,20,CCCCCCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,10.1007/s11743-000-0142-z,,tensiometry,440.7130000000002,"InChI=1S/C26H52N2O3/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-25(29)31-24(2)26(30)27-22-20-23-28(3)4/h24H,5-23H2,1-4H3,(H,27,30)",5.7999999999999995e-06,5.236572006437063
4g,31.08,20,C=CCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,10.1007/s11743-000-0142-z,,tensiometry,354.53500000000014,"InChI=1S/C20H38N2O3/c1-5-6-7-8-9-10-11-12-13-15-19(23)25-18(2)20(24)21-16-14-17-22(3)4/h5,18H,1,6-17H2,2-4H3,(H,21,24)",1.4999999999999999e-05,4.823908740944319
5a,40.4,20,CCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],10.1007/s11743-000-0142-z,,tensiometry,412.54900000000015,"InChI=1S/C16H32N2O3.CH4O4S/c1-6-7-8-9-11-15(19)21-14(2)16(20)17-12-10-13-18(3,4)5;1-5-6(2,3)4/h14H,6-13H2,1-5H3;1H3,(H,2,3,4)",4.1700000000000004e-05,4.379863945026242
5b,37.8,20,CCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],10.1007/s11743-000-0142-z,,tensiometry,426.5760000000002,"InChI=1S/C17H34N2O3.CH4O4S/c1-6-7-8-9-10-12-16(20)22-15(2)17(21)18-13-11-14-19(3,4)5;1-5-6(2,3)4/h15H,6-14H2,1-5H3;1H3,(H,2,3,4)",2.8400000000000003e-05,4.546681659952962
5c,37.3,20,CCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],10.1007/s11743-000-0142-z,,tensiometry,440.60300000000024,"InChI=1S/C18H36N2O3.CH4O4S/c1-6-7-8-9-10-11-13-17(21)23-16(2)18(22)19-14-12-15-20(3,4)5;1-5-6(2,3)4/h16H,6-15H2,1-5H3;1H3,(H,2,3,4)",1.52e-05,4.818156412055227
5d,25.4,20,CCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],10.1007/s11743-000-0142-z,,tensiometry,454.6300000000003,"InChI=1S/C19H38N2O3.CH4O4S/c1-6-7-8-9-10-11-12-14-18(22)24-17(2)19(23)20-15-13-16-21(3,4)5;1-5-6(2,3)4/h17H,6-16H2,1-5H3;1H3,(H,2,3,4)",5.199999999999999e-06,5.2839966563652006
5e,25.2,20,CCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],10.1007/s11743-000-0142-z,,tensiometry,468.6570000000003,"InChI=1S/C20H40N2O3.CH4O4S/c1-6-7-8-9-10-11-12-13-15-19(23)25-18(2)20(24)21-16-14-17-22(3,4)5;1-5-6(2,3)4/h18H,6-17H2,1-5H3;1H3,(H,2,3,4)",5e-06,5.301029995663981
5f,24.2,20,CCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],10.1007/s11743-000-0142-z,,tensiometry,482.68400000000025,"InChI=1S/C21H42N2O3.CH4O4S/c1-6-7-8-9-10-11-12-13-14-16-20(24)26-19(2)21(25)22-17-15-18-23(3,4)5;1-5-6(2,3)4/h19H,6-18H2,1-5H3;1H3,(H,2,3,4)",2.5999999999999997e-06,5.585026652029182
5h,26.4,20,CCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],10.1007/s11743-000-0142-z,,tensiometry,510.7380000000003,"InChI=1S/C23H46N2O3.CH4O4S/c1-6-7-8-9-10-11-12-13-14-15-16-18-22(26)28-21(2)23(27)24-19-17-20-25(3,4)5;1-5-6(2,3)4/h21H,6-20H2,1-5H3;1H3,(H,2,3,4)",1.6000000000000001e-06,5.795880017344075
5i,31.7,20,CCCCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],10.1007/s11743-000-0142-z,,tensiometry,538.7920000000003,"InChI=1S/C25H50N2O3.CH4O4S/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-20-24(28)30-23(2)25(29)26-21-19-22-27(3,4)5;1-5-6(2,3)4/h23H,6-22H2,1-5H3;1H3,(H,2,3,4)",1.4e-06,5.853871964321762
5j,35.8,20,CCCCCCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],10.1007/s11743-000-0142-z,,tensiometry,566.8460000000003,"InChI=1S/C27H54N2O3.CH4O4S/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-22-26(30)32-25(2)27(31)28-23-21-24-29(3,4)5;1-5-6(2,3)4/h25H,6-24H2,1-5H3;1H3,(H,2,3,4)",1.2999999999999998e-06,5.886056647693163
5g,36.4,20,C=CCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],10.1007/s11743-000-0142-z,,tensiometry,466.6410000000003,"InChI=1S/C20H38N2O3.CH4O4S/c1-6-7-8-9-10-11-12-13-15-19(23)25-18(2)20(24)21-16-14-17-22(3,4)5;1-5-6(2,3)4/h6,18H,1,7-17H2,2-5H3;1H3,(H,2,3,4)",2.7e-06,5.568636235841013
