Surfactant,CMC mM/L,γ mN/m,Temp_Celsius,SMILES,source_doi,reference_doi
4d,0.018,33.0,20,CCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,10.1007/s11743-000-0142-z,
4e,0.014,34.13,20,CCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,10.1007/s11743-000-0142-z,
4f,0.011,27.83,20,CCCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,10.1007/s11743-000-0142-z,
4h,0.006,26.5,20, CCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,10.1007/s11743-000-0142-z,
4i,0.0064,33.4,20,CCCCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,10.1007/s11743-000-0142-z,
4j,0.0058,29.0,20,CCCCCCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,10.1007/s11743-000-0142-z,
4g,0.015,31.08,20,C=CCCCCCCCCCC(=O)OC(C)C(=O)NCCCN(C)C,10.1007/s11743-000-0142-z,
5a,0.0417,40.4,20,CCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],10.1007/s11743-000-0142-z,
5b,0.0284,37.8,20,CCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],10.1007/s11743-000-0142-z,
5c,0.0152,37.3,20,CCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],10.1007/s11743-000-0142-z,
5d,0.0052,25.4,20,CCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],10.1007/s11743-000-0142-z,
5e,0.005,25.2,20,CCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],10.1007/s11743-000-0142-z,
5f,0.0026,24.2,20,CCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],10.1007/s11743-000-0142-z,
5h,0.0016,26.4,20,CCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],10.1007/s11743-000-0142-z,
5i,0.0014,31.7,20,CCCCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],10.1007/s11743-000-0142-z,
5j,0.0013,35.8,20,CCCCCCCCCCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],10.1007/s11743-000-0142-z,
5g,0.0027,36.4,20,C=CCCCCCCCCC(=O)OC(C)C(=O)NCCC[N+](C)(C)C.COS(=O)(=O)[O-],10.1007/s11743-000-0142-z,
