Surfactant,Temperature (◦C),cmc (mmol/L),α,ΔG◦m (kJ/mol),ΔH◦m (kJ/mol),TΔS◦m (kJ/mol),source_doi,reference_doi,SMILES
[C10-4-C10im]Br2,15,5.05,0.3,−26.73,−0.41,26.32,10.1016/j.jcis.2008.06.048,,CCCCCCCCCC[N+]1=CN(CCCCN2C=C[N+](CCCCCCCCCC)=C2)C=C1.[Br-].[Br-]
[C10-4-C10im]Br2,20,5.06,0.31,−26.96,−1.61,25.35,10.1016/j.jcis.2008.06.048,,CCCCCCCCCC[N+]1=CN(CCCCN2C=C[N+](CCCCCCCCCC)=C2)C=C1.[Br-].[Br-]
[C10-4-C10im]Br2,25,5.07,0.33,−26.96,−2.84,24.12,10.1016/j.jcis.2008.06.048,,CCCCCCCCCC[N+]1=CN(CCCCN2C=C[N+](CCCCCCCCCC)=C2)C=C1.[Br-].[Br-]
[C10-4-C10im]Br2,30,5.15,0.36,−26.66,−4.08,22.58,10.1016/j.jcis.2008.06.048,,CCCCCCCCCC[N+]1=CN(CCCCN2C=C[N+](CCCCCCCCCC)=C2)C=C1.[Br-].[Br-]
[C10-4-C10im]Br2,35,5.25,0.38,−26.57,−5.38,21.19,10.1016/j.jcis.2008.06.048,,CCCCCCCCCC[N+]1=CN(CCCCN2C=C[N+](CCCCCCCCCC)=C2)C=C1.[Br-].[Br-]
[C12-4-C12im]Br2,15,0.68,0.25,−33.85,−5.44,28.41,10.1016/j.jcis.2008.06.048,,CCCCCCCCCCCC[N+]1=CN(CCCCN2C=C[N+](CCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-]
[C12-4-C12im]Br2,20,0.71,0.28,−33.48,−5.58,27.9,10.1016/j.jcis.2008.06.048,,CCCCCCCCCCCC[N+]1=CN(CCCCN2C=C[N+](CCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-]
[C12-4-C12im]Br2,25,0.73,0.3,−33.41,−5.77,27.64,10.1016/j.jcis.2008.06.048,,CCCCCCCCCCCC[N+]1=CN(CCCCN2C=C[N+](CCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-]
[C12-4-C12im]Br2,30,0.76,0.35,−32.44,−5.80,26.64,10.1016/j.jcis.2008.06.048,,CCCCCCCCCCCC[N+]1=CN(CCCCN2C=C[N+](CCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-]
[C12-4-C12im]Br2,35,0.79,0.4,−31.43,−5.82,25.61,10.1016/j.jcis.2008.06.048,,CCCCCCCCCCCC[N+]1=CN(CCCCN2C=C[N+](CCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-]
[C14-4-C14im]Br2,15,0.1,0.39,−35.15,−15.49,19.66,10.1016/j.jcis.2008.06.048,,CCCCCCCCCCCCCC[N+]1=CN(CCCCN2C=C[N+](CCCCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-]
[C14-4-C14im]Br2,20,0.11,0.42,−34.54,−14.52,20.02,10.1016/j.jcis.2008.06.048,,CCCCCCCCCCCCCC[N+]1=CN(CCCCN2C=C[N+](CCCCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-]
[C14-4-C14im]Br2,25,0.12,0.43,−34.58,−13.78,20.8,10.1016/j.jcis.2008.06.048,,CCCCCCCCCCCCCC[N+]1=CN(CCCCN2C=C[N+](CCCCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-]
[C14-4-C14im]Br2,30,0.13,0.44,−34.61,−12.98,21.63,10.1016/j.jcis.2008.06.048,,CCCCCCCCCCCCCC[N+]1=CN(CCCCN2C=C[N+](CCCCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-]
[C14-4-C14im]Br2,35,0.14,0.45,−34.65,−12.12,22.53,10.1016/j.jcis.2008.06.048,,CCCCCCCCCCCCCC[N+]1=CN(CCCCN2C=C[N+](CCCCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-]
