identifier,Temp_Celsius,source_doi,reference_doi,SMILES,CMC,pCMC,Molecular_Weight,InChI
[C12–2–C12im]Br2,15,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[n+]1ccn(CCn2cc[n+](CCCCCCCCCCCC)c2)c1.[Br-].[Br-],0.0005899999999999999,3.2291479883578558,660.6680000000005,"InChI=1S/C32H60N4.2BrH/c1-3-5-7-9-11-13-15-17-19-21-23-33-25-27-35(31-33)29-30-36-28-26-34(32-36)24-22-20-18-16-14-12-10-8-6-4-2;;/h25-28,31-32H,3-24,29-30H2,1-2H3;2*1H/q+2;;/p-2"
[C12–2–C12im]Br2,20,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[n+]1ccn(CCn2cc[n+](CCCCCCCCCCCC)c2)c1.[Br-].[Br-],0.00062,3.207608310501746,660.6680000000005,"InChI=1S/C32H60N4.2BrH/c1-3-5-7-9-11-13-15-17-19-21-23-33-25-27-35(31-33)29-30-36-28-26-34(32-36)24-22-20-18-16-14-12-10-8-6-4-2;;/h25-28,31-32H,3-24,29-30H2,1-2H3;2*1H/q+2;;/p-2"
[C12–2–C12im]Br2,25,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[n+]1ccn(CCn2cc[n+](CCCCCCCCCCCC)c2)c1.[Br-].[Br-],0.00064,3.193820026016113,660.6680000000005,"InChI=1S/C32H60N4.2BrH/c1-3-5-7-9-11-13-15-17-19-21-23-33-25-27-35(31-33)29-30-36-28-26-34(32-36)24-22-20-18-16-14-12-10-8-6-4-2;;/h25-28,31-32H,3-24,29-30H2,1-2H3;2*1H/q+2;;/p-2"
[C12–2–C12im]Br2,30,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[n+]1ccn(CCn2cc[n+](CCCCCCCCCCCC)c2)c1.[Br-].[Br-],0.00066,3.1804560644581312,660.6680000000005,"InChI=1S/C32H60N4.2BrH/c1-3-5-7-9-11-13-15-17-19-21-23-33-25-27-35(31-33)29-30-36-28-26-34(32-36)24-22-20-18-16-14-12-10-8-6-4-2;;/h25-28,31-32H,3-24,29-30H2,1-2H3;2*1H/q+2;;/p-2"
[C12–2–C12im]Br2,35,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[n+]1ccn(CCn2cc[n+](CCCCCCCCCCCC)c2)c1.[Br-].[Br-],0.00067,3.1739251972991736,660.6680000000005,"InChI=1S/C32H60N4.2BrH/c1-3-5-7-9-11-13-15-17-19-21-23-33-25-27-35(31-33)29-30-36-28-26-34(32-36)24-22-20-18-16-14-12-10-8-6-4-2;;/h25-28,31-32H,3-24,29-30H2,1-2H3;2*1H/q+2;;/p-2"
[C12–4–C12im]Br2,15,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[n+]1ccn(CCCCn2cc[n+](CCCCCCCCCCCC)c2)c1.[Br-].[Br-],0.00068,3.167491087293764,688.7220000000005,"InChI=1S/C34H64N4.2BrH/c1-3-5-7-9-11-13-15-17-19-21-25-35-29-31-37(33-35)27-23-24-28-38-32-30-36(34-38)26-22-20-18-16-14-12-10-8-6-4-2;;/h29-34H,3-28H2,1-2H3;2*1H/q+2;;/p-2"
[C12–4–C12im]Br2,20,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[n+]1ccn(CCCCn2cc[n+](CCCCCCCCCCCC)c2)c1.[Br-].[Br-],0.0007099999999999999,3.148741651280925,688.7220000000005,"InChI=1S/C34H64N4.2BrH/c1-3-5-7-9-11-13-15-17-19-21-25-35-29-31-37(33-35)27-23-24-28-38-32-30-36(34-38)26-22-20-18-16-14-12-10-8-6-4-2;;/h29-34H,3-28H2,1-2H3;2*1H/q+2;;/p-2"
[C12–4–C12im]Br2,25,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[n+]1ccn(CCCCn2cc[n+](CCCCCCCCCCCC)c2)c1.[Br-].[Br-],0.00073,3.136677139879544,688.7220000000005,"InChI=1S/C34H64N4.2BrH/c1-3-5-7-9-11-13-15-17-19-21-25-35-29-31-37(33-35)27-23-24-28-38-32-30-36(34-38)26-22-20-18-16-14-12-10-8-6-4-2;;/h29-34H,3-28H2,1-2H3;2*1H/q+2;;/p-2"
[C12–4–C12im]Br2,30,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[n+]1ccn(CCCCn2cc[n+](CCCCCCCCCCCC)c2)c1.[Br-].[Br-],0.00076,3.1191864077192086,688.7220000000005,"InChI=1S/C34H64N4.2BrH/c1-3-5-7-9-11-13-15-17-19-21-25-35-29-31-37(33-35)27-23-24-28-38-32-30-36(34-38)26-22-20-18-16-14-12-10-8-6-4-2;;/h29-34H,3-28H2,1-2H3;2*1H/q+2;;/p-2"
[C12–4–C12im]Br2,35,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[n+]1ccn(CCCCn2cc[n+](CCCCCCCCCCCC)c2)c1.[Br-].[Br-],0.00079,3.1023729087095586,688.7220000000005,"InChI=1S/C34H64N4.2BrH/c1-3-5-7-9-11-13-15-17-19-21-25-35-29-31-37(33-35)27-23-24-28-38-32-30-36(34-38)26-22-20-18-16-14-12-10-8-6-4-2;;/h29-34H,3-28H2,1-2H3;2*1H/q+2;;/p-2"
[C12–6–C12im]Br2,15,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[n+]1ccn(CCCCCCn2cc[n+](CCCCCCCCCCCC)c2)c1.[Br-].[Br-],0.00061,3.214670164989233,716.7760000000005,"InChI=1S/C36H68N4.2BrH/c1-3-5-7-9-11-13-15-17-19-23-27-37-31-33-39(35-37)29-25-21-22-26-30-40-34-32-38(36-40)28-24-20-18-16-14-12-10-8-6-4-2;;/h31-36H,3-30H2,1-2H3;2*1H/q+2;;/p-2"
[C12–6–C12im]Br2,20,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[n+]1ccn(CCCCCCn2cc[n+](CCCCCCCCCCCC)c2)c1.[Br-].[Br-],0.00067,3.1739251972991736,716.7760000000005,"InChI=1S/C36H68N4.2BrH/c1-3-5-7-9-11-13-15-17-19-23-27-37-31-33-39(35-37)29-25-21-22-26-30-40-34-32-38(36-40)28-24-20-18-16-14-12-10-8-6-4-2;;/h31-36H,3-30H2,1-2H3;2*1H/q+2;;/p-2"
[C12–6–C12im]Br2,25,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[n+]1ccn(CCCCCCn2cc[n+](CCCCCCCCCCCC)c2)c1.[Br-].[Br-],0.00074,3.1307682802690238,716.7760000000005,"InChI=1S/C36H68N4.2BrH/c1-3-5-7-9-11-13-15-17-19-23-27-37-31-33-39(35-37)29-25-21-22-26-30-40-34-32-38(36-40)28-24-20-18-16-14-12-10-8-6-4-2;;/h31-36H,3-30H2,1-2H3;2*1H/q+2;;/p-2"
