Surfactant,Temperature °C,cmc mmol/L,β,ΔG0m kJ/mol,ΔH0m kJ/mol,TΔS0m kJ/mol,source_doi,reference_doi,SMILES,method
[C12-2-C12im]Br2,15,0.59,0.83,−34.87,−7.16,27.71,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[N+]1=CN(CCN2C=C[N+](CCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-],conductometry
[C12-2-C12im]Br2,20,0.62,0.81,−34.76,−6.23,28.53,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[N+]1=CN(CCN2C=C[N+](CCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-],conductometry
[C12-2-C12im]Br2,25,0.64,0.77,−34.41,−5.21,29.2,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[N+]1=CN(CCN2C=C[N+](CCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-],conductometry
[C12-2-C12im]Br2,30,0.66,0.74,−33.75,−4.13,29.62,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[N+]1=CN(CCN2C=C[N+](CCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-],conductometry
[C12-2-C12im]Br2,35,0.67,0.69,−33.05,−3.04,30.01,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[N+]1=CN(CCN2C=C[N+](CCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-],conductometry
[C12-4-C12im]Br2,15,0.68,0.75,−33.85,−5.44,28.41,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[N+]1=CN(CCCCN2C=C[N+](CCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-],conductometry
[C12-4-C12im]Br2,20,0.71,0.72,−33.48,−5.58,27.9,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[N+]1=CN(CCCCN2C=C[N+](CCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-],conductometry
[C12-4-C12im]Br2,25,0.73,0.7,−33.41,−5.77,27.64,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[N+]1=CN(CCCCN2C=C[N+](CCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-],conductometry
[C12-4-C12im]Br2,30,0.76,0.65,−32.44,−5.80,26.64,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[N+]1=CN(CCCCN2C=C[N+](CCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-],conductometry
[C12-4-C12im]Br2,35,0.79,0.6,−31.43,−5.82,25.61,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[N+]1=CN(CCCCN2C=C[N+](CCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-],conductometry
[C12-6-C12im]Br2,15,0.61,0.63,−30.89,−18.14,12.75,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[N+]1=CN(CCCCCCN2C=C[N+](CCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-],conductometry
[C12-6-C12im]Br2,20,0.67,0.61,−30.62,−17.02,13.6,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[N+]1=CN(CCCCCCN2C=C[N+](CCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-],conductometry
[C12-6-C12im]Br2,25,0.74,0.6,−30.59,−15.98,14.61,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[N+]1=CN(CCCCCCN2C=C[N+](CCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-],conductometry
[C12-6-C12im]Br2,30,0.8,0.57,−30.04,−14.60,15.44,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[N+]1=CN(CCCCCCN2C=C[N+](CCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-],conductometry
[C12-6-C12im]Br2,35,0.86,0.55,−29.77,−13.32,16.45,10.1007/s00396-008-1976-x,,CCCCCCCCCCCC[N+]1=CN(CCCCCCN2C=C[N+](CCCCCCCCCCCC)=C2)C=C1.[Br-].[Br-],conductometry
