Surfactants, T °C, CMC X 10^2 (mol dm-3),  gamma_CMC  (mN m-1),  Γmax x 10^10  (mol cm-2),  Amin x 10^2  (nm2),  pCMC  (mN m-1),  pC20,SMILES,source_doi,reference_doi
DMEAB,10,3.9,33.3,1.4,118.6,40.9,2.64,CCCCCCCCCC[NH2+]CCO.[Br-],10.1007/s11743-010-1180-0,
DMEAB,20,3.7,33.0,1.31,126.7,39.3,2.6,CCCCCCCCCC[NH2+]CCO.[Br-],10.1007/s11743-010-1180-0,
DMEAB,30,3.5,32.2,1.24,133.9,39.0,2.58,CCCCCCCCCC[NH2+]CCO.[Br-],10.1007/s11743-010-1180-0,
DMEAB,40,3.4,31.0,1.0,166.0,38.6,2.55,CCCCCCCCCC[NH2+]CCO.[Br-],10.1007/s11743-010-1180-0,
DDEAB,10,1.9,29.2,1.43,116.1,45.0,2.7,CCCCCCCCCC[NH+](CCO)CCO.[Br-],10.1007/s11743-010-1180-0,
DDEAB,20,1.7,29.0,1.34,123.9,43.3,2.67,CCCCCCCCCC[NH+](CCO)CCO.[Br-],10.1007/s11743-010-1180-0,
DDEAB,30,1.55,29.0,1.25,131.8,42.2,2.64,CCCCCCCCCC[NH+](CCO)CCO.[Br-],10.1007/s11743-010-1180-0,
DDEAB,40,1.4,28.3,1.01,164.4,41.3,2.61,CCCCCCCCCC[NH+](CCO)CCO.[Br-],10.1007/s11743-010-1180-0,
DTEAB,10,1.8,29.3,1.68,98.8,44.9,2.83,CCCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],10.1007/s11743-010-1180-0,
DTEAB,20,1.65,28.9,1.34,123.9,43.4,2.79,CCCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],10.1007/s11743-010-1180-0,
DTEAB,30,1.46,28.6,1.28,129.7,42.6,2.76,CCCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],10.1007/s11743-010-1180-0,
DTEAB,40,1.3,28.4,1.02,162.8,41.2,2.72,CCCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],10.1007/s11743-010-1180-0,
DMtEAB,10,1.69,28.3,2.0,83.0,45.9,2.69,CCCCCCCCCC[NH+](C)CCO.[Br-],10.1007/s11743-010-1180-0,
DMtEAB,20,1.52,27.5,1.58,105.1,44.8,2.71,CCCCCCCCCC[NH+](C)CCO.[Br-],10.1007/s11743-010-1180-0,
DMtEAB,30,1.35,26.7,1.45,114.5,44.5,2.72,CCCCCCCCCC[NH+](C)CCO.[Br-],10.1007/s11743-010-1180-0,
DMtEAB,40,1.25,26.6,1.38,120.3,43.0,2.74,CCCCCCCCCC[NH+](C)CCO.[Br-],10.1007/s11743-010-1180-0,
