identifier,Amin × 102 nm2,γCMC mN·m-1,pC20,Pi_CMC,Temp_Celsius,source_doi,reference_doi,method,SMILES,Molecular_Weight,InChI,CMC,pCMC,Gamma_max,Area_min,C20
NMEAB,114.9,30.0,4.4,42.0,25,10.1016/j.molliq.2016.11.105,,tensiometry,CCCCCCCCC[NH2+]CCO.[Br-],268.239,"InChI=1S/C11H25NO.BrH/c1-2-3-4-5-6-7-8-9-12-10-11-13;/h12-13H,2-11H2,1H3;1H",0.0014,2.853871964321762,1.4499999999999999e-06,1.149,3.9810717055349695e-05
NDEAB,73.0,27.9,3.8,44.1,25,10.1016/j.molliq.2016.11.105,,tensiometry,CCCCCCCCC[NH+](CCO)CCO.[Br-],312.292,"InChI=1S/C13H29NO2.BrH/c1-2-3-4-5-6-7-8-9-14(10-12-15)11-13-16;/h15-16H,2-13H2,1H3;1H",0.0011899999999999999,2.9244530386074694,2.27e-06,0.73,0.00015848931924611142
NTEAB,63.3,24.1,3.9,47.9,25,10.1016/j.molliq.2016.11.105,,tensiometry,CCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],356.34499999999997,"InChI=1S/C15H34NO3.BrH/c1-2-3-4-5-6-7-8-9-16(10-13-17,11-14-18)12-15-19;/h17-19H,2-15H2,1H3;1H/q+1;/p-1",0.0010400000000000001,2.9829666607012197,2.62e-06,0.633,0.00012589254117941674
NMEAI,108.5,30.6,4.27,41.4,25,10.1016/j.molliq.2016.11.105,,tensiometry,CCCCCCCCC[NH2+]CCO.[I-],315.239,"InChI=1S/C11H25NO.HI/c1-2-3-4-5-6-7-8-9-12-10-11-13;/h12-13H,2-11H2,1H3;1H",0.0011899999999999999,2.9244530386074694,1.53e-06,1.085,5.3703179637025325e-05
NDEAI,77.5,28.8,3.87,43.2,25,10.1016/j.molliq.2016.11.105,,tensiometry,CCCCCCCCC[NH+](CCO)CCO.[I-],359.292,"InChI=1S/C13H29NO2.HI/c1-2-3-4-5-6-7-8-9-14(10-12-15)11-13-16;/h15-16H,2-13H2,1H3;1H",0.0010500000000000002,2.9788107009300617,2.1400000000000003e-06,0.775,0.00013489628825916533
NTEAI,77.0,28.4,4.05,43.6,25,10.1016/j.molliq.2016.11.105,,tensiometry,CCCCCCCCC[N+](CCO)(CCO)CCO.[I-],403.34499999999997,"InChI=1S/C15H34NO3.HI/c1-2-3-4-5-6-7-8-9-16(10-13-17,11-14-18)12-15-19;/h17-19H,2-15H2,1H3;1H/q+1;/p-1",0.00093,3.0315170514460648,2.16e-06,0.77,8.912509381337459e-05
NMEAB,,,,,25,10.1016/j.molliq.2016.11.105,,conductometry,CCCCCCCCC[NH2+]CCO.[Br-],268.239,"InChI=1S/C11H25NO.BrH/c1-2-3-4-5-6-7-8-9-12-10-11-13;/h12-13H,2-11H2,1H3;1H",0.00145,2.838631997765025,,,
NDEAB,,,,,25,10.1016/j.molliq.2016.11.105,,conductometry,CCCCCCCCC[NH+](CCO)CCO.[Br-],312.292,"InChI=1S/C13H29NO2.BrH/c1-2-3-4-5-6-7-8-9-14(10-12-15)11-13-16;/h15-16H,2-13H2,1H3;1H",0.00122,2.9136401693252516,,,
NTEAB,,,,,25,10.1016/j.molliq.2016.11.105,,conductometry,CCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],356.34499999999997,"InChI=1S/C15H34NO3.BrH/c1-2-3-4-5-6-7-8-9-16(10-13-17,11-14-18)12-15-19;/h17-19H,2-15H2,1H3;1H/q+1;/p-1",0.00107,2.9706162223147903,,,
NMEAI,,,,,25,10.1016/j.molliq.2016.11.105,,conductometry,CCCCCCCCC[NH2+]CCO.[I-],315.239,"InChI=1S/C11H25NO.HI/c1-2-3-4-5-6-7-8-9-12-10-11-13;/h12-13H,2-11H2,1H3;1H",0.00125,2.9030899869919438,,,
NDEAI,,,,,25,10.1016/j.molliq.2016.11.105,,conductometry,CCCCCCCCC[NH+](CCO)CCO.[I-],359.292,"InChI=1S/C13H29NO2.HI/c1-2-3-4-5-6-7-8-9-14(10-12-15)11-13-16;/h15-16H,2-13H2,1H3;1H",0.0011,2.958607314841775,,,
NTEAI,,,,,25,10.1016/j.molliq.2016.11.105,,conductometry,CCCCCCCCC[N+](CCO)(CCO)CCO.[I-],403.34499999999997,"InChI=1S/C15H34NO3.HI/c1-2-3-4-5-6-7-8-9-16(10-13-17,11-14-18)12-15-19;/h17-19H,2-15H2,1H3;1H/q+1;/p-1",0.00095,3.0222763947111524,,,
