Surfactants,β,CMC × 103 mol·dm-3,Γmax × 1010 mol·cm-2,Amin × 102 nm2,γCMC mN·m-1,pC20,πCMC mN·m-1,ΔGmic kJ·mol-1,ΔGad kJ·mol-1,Temp_Celsius,source_doi,reference_doi,method
NMEAB,,1.4,1.45,114.9,30,4.4,42,-24.75,-27.65,25,10.1016/j.molliq.2016.11.105,,tensiometry
NDEAB,,1.19,2.27,73,27.9,3.8,44.1,-23.52,-25.46,25,10.1016/j.molliq.2016.11.105,,tensiometry
NTEAB,,1.04,2.62,63.3,24.1,3.9,47.9,-23.48,-25.31,25,10.1016/j.molliq.2016.11.105,,tensiometry
NMEAI,,1.19,1.53,108.5,30.6,4.27,41.4,-26.86,-29.57,25,10.1016/j.molliq.2016.11.105,,tensiometry
NDEAI,,1.05,2.14,77.5,28.8,3.87,43.2,-25.66,-27.68,25,10.1016/j.molliq.2016.11.105,,tensiometry
NTEAI,,0.93,2.16,77,28.4,4.05,43.6,-24.56,-26.58,25,10.1016/j.molliq.2016.11.105,,tensiometry
NMEAB,0.52,1.45,,,,,,,,25,10.1016/j.molliq.2016.11.105,,conductometry
NDEAB,0.41,1.22,,,,,,,,25,10.1016/j.molliq.2016.11.105,,conductometry
NTEAB,0.38,1.07,,,,,,,,25,10.1016/j.molliq.2016.11.105,,conductometry
NMEAI,0.61,1.25,,,,,,,,25,10.1016/j.molliq.2016.11.105,,conductometry
NDEAI,0.51,1.1,,,,,,,,25,10.1016/j.molliq.2016.11.105,,conductometry
NTEAI,0.42,0.95,,,,,,,,25,10.1016/j.molliq.2016.11.105,,conductometry
