identifier,pC20,AW_ST_CMC,Pi_CMC,Temp_Celsius,source_doi,reference_doi,method,SMILES,Molecular_Weight,InChI,CMC,pCMC,Gamma_max,Area_min,C20
C8C5C8[iso-Pr(OH)],2.54,29.9,42.1,25,10.1016/j.colsurfa.2019.05.019,,tensiometry,CCCCCCCC[NH+](CCCCC[NH+](CCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],604.5970000000003,"InChI=1S/C27H58N2O2.2BrH/c1-5-7-9-11-13-16-20-28(24-26(3)30)22-18-15-19-23-29(25-27(4)31)21-17-14-12-10-8-6-2;;/h26-27,30-31H,5-25H2,1-4H3;2*1H",0.033,1.4814860601221125,2.27e-06,0.732,0.0028840315031266055
C9C5C9[iso-Pr(OH)],3.04,25.7,46.3,25,10.1016/j.colsurfa.2019.05.019,,tensiometry,CCCCCCCCC[NH+](CCCCC[NH+](CCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],632.6510000000005,"InChI=1S/C29H62N2O2.2BrH/c1-5-7-9-11-13-15-18-22-30(26-28(3)32)24-20-17-21-25-31(27-29(4)33)23-19-16-14-12-10-8-6-2;;/h28-29,32-33H,5-27H2,1-4H3;2*1H",0.0245,1.6108339156354676,2.16e-06,0.77,0.0009120108393559096
C12C5C12[iso-Pr(OH)],4.02,30.7,41.3,25,10.1016/j.colsurfa.2019.05.019,,tensiometry,CCCCCCCCCCCC[NH+](CCCCC[NH+](CCCCCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],716.8130000000004,"InChI=1S/C35H74N2O2.2BrH/c1-5-7-9-11-13-15-17-19-21-24-28-36(32-34(3)38)30-26-23-27-31-37(33-35(4)39)29-25-22-20-18-16-14-12-10-8-6-2;;/h34-35,38-39H,5-33H2,1-4H3;2*1H",0.001395,2.855425792390384,2.0699999999999997e-06,0.802,9.549925860214369e-05
C16C5C16[iso-Pr(OH)],5.02,30.0,42.0,25,10.1016/j.colsurfa.2019.05.019,,tensiometry,CCCCCCCCCCCCCCCC[NH+](CCCCC[NH+](CCCCCCCCCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],829.0289999999997,"InChI=1S/C43H90N2O2.2BrH/c1-5-7-9-11-13-15-17-19-21-23-25-27-29-32-36-44(40-42(3)46)38-34-31-35-39-45(41-43(4)47)37-33-30-28-26-24-22-20-18-16-14-12-10-8-6-2;;/h42-43,46-47H,5-41H2,1-4H3;2*1H",9e-05,4.045757490560675,2.84e-06,0.585,9.549925860214369e-06
C8C5C8[iso-Pr(OH)]2,3.79,29.0,43.0,25,10.1016/j.colsurfa.2019.05.019,,tensiometry,CCCCCCCC[N+](CCCCC[N+](CCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O.[Br-].[Br-],720.7570000000003,"InChI=1S/C33H72N2O4.2BrH/c1-7-9-11-13-15-18-22-34(26-30(3)36,27-31(4)37)24-20-17-21-25-35(28-32(5)38,29-33(6)39)23-19-16-14-12-10-8-2;;/h30-33,36-39H,7-29H2,1-6H3;2*1H/q+2;;/p-2",0.00277,2.5575202309355514,2.0299999999999996e-06,0.816,0.00016218100973589298
C9C5C9[iso-Pr(OH)]2,4.04,28.0,44.0,25,10.1016/j.colsurfa.2019.05.019,,tensiometry,CCCCCCCCC[N+](CCCCC[N+](CCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O.[Br-].[Br-],748.8110000000001,"InChI=1S/C35H76N2O4.2BrH/c1-7-9-11-13-15-17-20-24-36(28-32(3)38,29-33(4)39)26-22-19-23-27-37(30-34(5)40,31-35(6)41)25-21-18-16-14-12-10-8-2;;/h32-35,38-41H,7-31H2,1-6H3;2*1H/q+2;;/p-2",0.00227,2.6439741428068775,1.98e-06,0.8370000000000001,9.120108393559096e-05
C12C5C12[iso-Pr(OH)]2,4.9,27.9,44.1,25,10.1016/j.colsurfa.2019.05.019,,tensiometry,CCCCCCCCCCCC[N+](CCCCC[N+](CCCCCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O.[Br-].[Br-],832.9729999999996,"InChI=1S/C41H88N2O4.2BrH/c1-7-9-11-13-15-17-19-21-23-26-30-42(34-38(3)44,35-39(4)45)32-28-25-29-33-43(36-40(5)46,37-41(6)47)31-27-24-22-20-18-16-14-12-10-8-2;;/h38-41,44-47H,7-37H2,1-6H3;2*1H/q+2;;/p-2",0.00066,3.1804560644581312,1.9699999999999998e-06,0.8420000000000001,1.2589254117941661e-05
C16C5C16[iso-Pr(OH)]2,5.05,27.9,44.1,25,10.1016/j.colsurfa.2019.05.019,,tensiometry,CCCCCCCCCCCCCCCC[N+](CCCCC[N+](CCCCCCCCCCCCCCC)(CC(C)O)CC(C)O)(CC(C)O)CC(C)O.[Br-].[Br-],931.1619999999992,"InChI=1S/C48H102N2O4.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-34-38-50(43-47(5)53,44-48(6)54)40-36-32-35-39-49(41-45(3)51,42-46(4)52)37-33-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h45-48,51-54H,7-44H2,1-6H3;2*1H/q+2;;/p-2",7.900000000000001e-05,4.102372908709558,3.18e-06,0.523,8.91250938133746e-06
C8C5C8[iso-Pr(OH)],,,,25,10.1016/j.colsurfa.2019.05.019,,conductometry,CCCCCCCC[NH+](CCCCC[NH+](CCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],604.5970000000003,"InChI=1S/C27H58N2O2.2BrH/c1-5-7-9-11-13-16-20-28(24-26(3)30)22-18-15-19-23-29(25-27(4)31)21-17-14-12-10-8-6-2;;/h26-27,30-31H,5-25H2,1-4H3;2*1H",0.034,1.4685210829577449,,,
C9C5C9[iso-Pr(OH)],,,,25,10.1016/j.colsurfa.2019.05.019,,conductometry,CCCCCCCCC[NH+](CCCCC[NH+](CCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],632.6510000000005,"InChI=1S/C29H62N2O2.2BrH/c1-5-7-9-11-13-15-18-22-30(26-28(3)32)24-20-17-21-25-31(27-29(4)33)23-19-16-14-12-10-8-6-2;;/h28-29,32-33H,5-27H2,1-4H3;2*1H",0.02529,1.5970511706555952,,,
