Surfactants,CPC ×104 mol dm―3,CMC ×104 mol dm―3,Γmax×1010 n=2 molcm―2,Γmax×1010 n=3 molcm―2,Amin×102 n=2 nm2,Amin×102 n=3 nm2,pC20,γCMC mN·m―1,πCMC mN m―1,Temp_Celsius,source_doi,reference_doi,method
C8C5C8[iso-Pr(OH)],158,330,2.27,1.51,73.2,109.8,2.54,29.9,42.1,25,10.1016/j.colsurfa.2019.05.019,,tensiometry
C9C5C9[iso-Pr(OH)],79,245,2.16,1.44,77,115.4,3.04,25.7,46.3,25,10.1016/j.colsurfa.2019.05.019,,tensiometry
C12C5C12[iso-Pr(OH)],3.49,13.95,2.07,1.38,80.2,120.3,4.02,30.7,41.3,25,10.1016/j.colsurfa.2019.05.019,,tensiometry
C16C5C16[iso-Pr(OH)],0.3,0.9,2.84,1.89,58.5,87.7,5.02,30,42,25,10.1016/j.colsurfa.2019.05.019,,tensiometry
C8C5C8[iso-Pr(OH)]2,10.68,27.7,2.03,1.36,81.6,122.5,3.79,29,43,25,10.1016/j.colsurfa.2019.05.019,,tensiometry
C9C5C9[iso-Pr(OH)]2,6.677,22.7,1.98,1.32,83.7,125.5,4.04,28,44,25,10.1016/j.colsurfa.2019.05.019,,tensiometry
C12C5C12[iso-Pr(OH)]2,0.89,6.6,1.97,1.32,84.2,126.3,4.9,27.9,44.1,25,10.1016/j.colsurfa.2019.05.019,,tensiometry
C16C5C16[iso-Pr(OH)]2,0.265,0.79,3.18,2.12,52.3,78.4,5.05,27.9,44.1,25,10.1016/j.colsurfa.2019.05.019,,tensiometry
C8C5C8[iso-Pr(OH)],,340,,,,,,,,25,10.1016/j.colsurfa.2019.05.019,,conductometry
C9C5C9[iso-Pr(OH)],,252.9,,,,,,,,25,10.1016/j.colsurfa.2019.05.019,,conductometry
C12C5C12[iso-Pr(OH)],,14.35,,,,,,,,25,10.1016/j.colsurfa.2019.05.019,,conductometry
C16C5C16[iso-Pr(OH)],,0.88,,,,,,,,25,10.1016/j.colsurfa.2019.05.019,,conductometry
C8C5C8[iso-Pr(OH)]2,,28.54,,,,,,,,25,10.1016/j.colsurfa.2019.05.019,,conductometry
C9C5C9[iso-Pr(OH)]2,,24.04,,,,,,,,25,10.1016/j.colsurfa.2019.05.019,,conductometry
C12C5C12[iso-Pr(OH)]2,,7.2,,,,,,,,25,10.1016/j.colsurfa.2019.05.019,,conductometry
C16C5C16[iso-Pr(OH)]2,,0.85,,,,,,,,25,10.1016/j.colsurfa.2019.05.019,,conductometry
