Comp.,Temp. °C,CMC/ (mM.L−1),C20  *10−5 (mol. L−1),πCMC/ (mN m−1),Гmax *10−10 (mol. cm−2),Amin/ A2,CMC/C20,SMILES transcribed,source_doi,reference_doi,method
BAEO,25,7.07,11.31,35.13,0.51,326.53,62.51,CCCCCCCC[N+](C)(C)CCN=Cc1ccc([N+](C)(C)CCCCCCCC)cc1.[Br-].[Br-],10.1016/j.molliq.2021.115342,,tensiometry
BAEO,45,4.83,6.12,36.17,0.47,356.59,78.98,CCCCCCCC[N+](C)(C)CCN=Cc1ccc([N+](C)(C)CCCCCCCC)cc1.[Br-].[Br-],10.1016/j.molliq.2021.115342,,tensiometry
BAEO,65,2.59,4.79,34.32,0.43,386.85,54.12,CCCCCCCC[N+](C)(C)CCN=Cc1ccc([N+](C)(C)CCCCCCCC)cc1.[Br-].[Br-],10.1016/j.molliq.2021.115342,,tensiometry
BAED,25,4.94,4.64,38.17,0.5,334.38,106.33,CCCCCCCCCCCC[N+](C)(C)CCN=Cc1ccc([N+](C)(C)CCCCCCCCCCCC)cc1.[Br-].[Br-],10.1016/j.molliq.2021.115342,,tensiometry
BAED,45,3.02,2.29,37.44,0.45,369.05,131.83,CCCCCCCCCCCC[N+](C)(C)CCN=Cc1ccc([N+](C)(C)CCCCCCCCCCCC)cc1.[Br-].[Br-],10.1016/j.molliq.2021.115342,,tensiometry
BAED,65,1.63,1.36,36.09,0.42,394.98,120.23,CCCCCCCCCCCC[N+](C)(C)CCN=Cc1ccc([N+](C)(C)CCCCCCCCCCCC)cc1.[Br-].[Br-],10.1016/j.molliq.2021.115342,,tensiometry
BAEH,25,2.75,2.15,40.17,0.49,340.6,127.84,CCCCCCCCCCCCCCCC[N+](C)(C)CCN=Cc1ccc([N+](C)(C)CCCCCCCCCCCCCCCC)cc1.[Br-].[Br-],10.1016/j.molliq.2021.115342,,tensiometry
BAEH,45,1.58,1.1,39.21,0.44,374.73,144.54,CCCCCCCCCCCCCCCC[N+](C)(C)CCN=Cc1ccc([N+](C)(C)CCCCCCCCCCCCCCCC)cc1.[Br-].[Br-],10.1016/j.molliq.2021.115342,,tensiometry
BAEH,65,0.74,0.59,37.32,0.4,411.81,123.9,CCCCCCCCCCCCCCCC[N+](C)(C)CCN=Cc1ccc([N+](C)(C)CCCCCCCCCCCCCCCC)cc1.[Br-].[Br-],10.1016/j.molliq.2021.115342,,tensiometry
BAEO-AgNPs,25,4.79,5.41,36.29,0.53,311.32,88.44,CCCCCCCC[N+](C)(C)CCN=Cc1ccc([N+](C)(C)CCCCCCCC)cc1.[Br-].[Br-].NANOPARTICLE_NO_SMILES,10.1016/j.molliq.2021.115342,,tensiometry
BAEO-AgNPs,45,3.02,3.98,36.5,0.47,352.19,75.86,CCCCCCCC[N+](C)(C)CCN=Cc1ccc([N+](C)(C)CCCCCCCC)cc1.[Br-].[Br-].NANOPARTICLE_NO_SMILES,10.1016/j.molliq.2021.115342,,tensiometry
BAEO-AgNPs,65,1.69,2.84,34.93,0.44,381.45,59.3,CCCCCCCC[N+](C)(C)CCN=Cc1ccc([N+](C)(C)CCCCCCCC)cc1.[Br-].[Br-].NANOPARTICLE_NO_SMILES,10.1016/j.molliq.2021.115342,,tensiometry
BAED-AgNPs,25,3.21,2.03,39.6,0.52,319.06,158.49,CCCCCCCCCCCC[N+](C)(C)CCN=Cc1ccc([N+](C)(C)CCCCCCCCCCCC)cc1.[Br-].[Br-].NANOPARTICLE_NO_SMILES,10.1016/j.molliq.2021.115342,,tensiometry
BAED-AgNPs,45,2.03,1.3,38.31,0.46,358.36,155.71,CCCCCCCCCCCC[N+](C)(C)CCN=Cc1ccc([N+](C)(C)CCCCCCCCCCCC)cc1.[Br-].[Br-].NANOPARTICLE_NO_SMILES,10.1016/j.molliq.2021.115342,,tensiometry
BAED-AgNPs,65,1.23,1.06,36.9,0.43,388.6,116.1,CCCCCCCCCCCC[N+](C)(C)CCN=Cc1ccc([N+](C)(C)CCCCCCCCCCCC)cc1.[Br-].[Br-].NANOPARTICLE_NO_SMILES,10.1016/j.molliq.2021.115342,,tensiometry
BAEH-AgNPs,25,2.15,1.0,40.92,0.51,324.94,215.44,CCCCCCCCCCCCCCCC[N+](C)(C)CCN=Cc1ccc([N+](C)(C)CCCCCCCCCCCCCCCC)cc1.[Br-].[Br-].NANOPARTICLE_NO_SMILES,10.1016/j.molliq.2021.115342,,tensiometry
BAEH-AgNPs,45,1.16,0.64,40.21,0.45,366.14,180.47,CCCCCCCCCCCCCCCC[N+](C)(C)CCN=Cc1ccc([N+](C)(C)CCCCCCCCCCCCCCCC)cc1.[Br-].[Br-].NANOPARTICLE_NO_SMILES,10.1016/j.molliq.2021.115342,,tensiometry
BAEH-AgNPs,65,0.64,0.51,37.74,0.42,394.76,126.0,CCCCCCCCCCCCCCCC[N+](C)(C)CCN=Cc1ccc([N+](C)(C)CCCCCCCCCCCCCCCC)cc1.[Br-].[Br-].NANOPARTICLE_NO_SMILES,10.1016/j.molliq.2021.115342,,tensiometry
