identifier,AW_ST_CMC,Temp_Celsius,source_doi,reference_doi,SMILES,CMC,pCMC,Molecular_Weight,InChI
HBIm-Br,42,25.0,10.1016/j.colsurfa.2007.02.012,,CCCCCCn1cc[n+](CCCC)c1.[Br-],0.271,0.5670307091255943,289.26099999999997,"InChI=1S/C13H25N2.BrH/c1-3-5-7-8-10-15-12-11-14(13-15)9-6-4-2;/h11-13H,3-10H2,1-2H3;1H/q+1;/p-1"
OBIm-Br,40,25.0,10.1016/j.colsurfa.2007.02.012,,CCCCCCCCn1cc[n+](CCCC)c1.[Br-],0.041,1.3872161432802645,317.31499999999994,"InChI=1S/C15H29N2.BrH/c1-3-5-7-8-9-10-12-17-14-13-16(15-17)11-6-4-2;/h13-15H,3-12H2,1-2H3;1H/q+1;/p-1"
DBIm-Br,36,25.0,10.1016/j.colsurfa.2007.02.012,,CCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],0.0063,2.2006594505464183,345.3689999999999,"InChI=1S/C17H33N2.BrH/c1-3-5-7-8-9-10-11-12-14-19-16-15-18(17-19)13-6-4-2;/h15-17H,3-14H2,1-2H3;1H/q+1;/p-1"
DDBIm-Br,38,25.0,10.1016/j.colsurfa.2007.02.012,,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],0.0024,2.619788758288394,373.4229999999999,"InChI=1S/C19H37N2.BrH/c1-3-5-7-8-9-10-11-12-13-14-16-21-18-17-20(19-21)15-6-4-2;/h17-19H,3-16H2,1-2H3;1H/q+1;/p-1"
HDBIm-Br,45,25.0,10.1016/j.colsurfa.2007.02.012,,CCCCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],0.0001,4.0,401.477,"InChI=1S/C21H41N2.BrH/c1-3-5-7-8-9-10-11-12-13-14-15-16-18-23-20-19-22(21-23)17-6-4-2;/h19-21H,3-18H2,1-2H3;1H/q+1;/p-1"
HMIm-Br,39,25.0,10.1016/j.colsurfa.2007.02.012,,CCCCCCn1cc[n+](C)c1.[Br-],0.47,0.3279021420642826,247.18,"InChI=1S/C10H19N2.BrH/c1-3-4-5-6-7-12-9-8-11(2)10-12;/h8-10H,3-7H2,1-2H3;1H/q+1;/p-1"
OMIm-Br,41,25.0,10.1016/j.colsurfa.2007.02.012,,CCCCCCCCn1cc[n+](C)c1.[Br-],0.121,0.9172146296835499,275.234,"InChI=1S/C12H23N2.BrH/c1-3-4-5-6-7-8-9-14-11-10-13(2)12-14;/h10-12H,3-9H2,1-2H3;1H/q+1;/p-1"
DMIm-Br,39,25.0,10.1016/j.colsurfa.2007.02.012,,CCCCCCCCCCn1cc[n+](C)c1.[Br-],0.02,1.6989700043360187,303.28799999999995,"InChI=1S/C14H27N2.BrH/c1-3-4-5-6-7-8-9-10-11-16-13-12-15(2)14-16;/h12-14H,3-11H2,1-2H3;1H/q+1;/p-1"
DDMIm-Br,35,25.0,10.1016/j.colsurfa.2007.02.012,,CCCCCCCCCCCCn1cc[n+](C)c1.[Br-],0.0043,2.3665315444204134,331.3419999999999,"InChI=1S/C16H31N2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-18-15-14-17(2)16-18;/h14-16H,3-13H2,1-2H3;1H/q+1;/p-1"
HDMIm-Br,41,25.0,10.1016/j.colsurfa.2007.02.012,,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Br-],0.0008,3.0969100130080562,387.44999999999993,"InChI=1S/C20H39N2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22-19-18-21(2)20-22;/h18-20H,3-17H2,1-2H3;1H/q+1;/p-1"
(O)2IM-Br,32,25.0,10.1016/j.colsurfa.2007.02.012,,CCCCCCCCn1cc[n+](CCCCCCCC)c1.[Br-],0.0056,2.2518119729937998,373.42299999999994,"InChI=1S/C19H37N2.BrH/c1-3-5-7-9-11-13-15-20-17-18-21(19-20)16-14-12-10-8-6-4-2;/h17-19H,3-16H2,1-2H3;1H/q+1;/p-1"
(DD)2IM-Br,28,25.0,10.1016/j.colsurfa.2007.02.012,,CCCCCCCCCCCCn1cc[n+](CCCCCCCCCCCC)c1.[Br-],0.0001,4.0,485.6390000000003,"InChI=1S/C27H53N2.BrH/c1-3-5-7-9-11-13-15-17-19-21-23-28-25-26-29(27-28)24-22-20-18-16-14-12-10-8-6-4-2;/h25-27H,3-24H2,1-2H3;1H/q+1;/p-1"
C8(BIm)2-2Br,47,25.0,10.1016/j.colsurfa.2007.02.012,,CCCC[n+]1ccn(CCCCCCCCn2cc[n+](CCCC)c2)c1.[Br-].[Br-],0.323,0.4907974776688971,520.3980000000001,"InChI=1S/C22H40N4.2BrH/c1-3-5-13-23-17-19-25(21-23)15-11-9-7-8-10-12-16-26-20-18-24(22-26)14-6-4-2;;/h17-22H,3-16H2,1-2H3;2*1H/q+2;;/p-2"
C10(BIm)2-2Br,38,25.0,10.1016/j.colsurfa.2007.02.012,,CCCC[n+]1ccn(CCCCCCCCCCn2cc[n+](CCCC)c2)c1.[Br-].[Br-],0.117,0.9318141382538383,548.452,"InChI=1S/C24H44N4.2BrH/c1-3-5-15-25-19-21-27(23-25)17-13-11-9-7-8-10-12-14-18-28-22-20-26(24-28)16-6-4-2;;/h19-24H,3-18H2,1-2H3;2*1H/q+2;;/p-2"
C12(BIm)2-2Br,46,25.0,10.1016/j.colsurfa.2007.02.012,,CCCC[n+]1ccn(CCCCCCCCCCCCn2cc[n+](CCCC)c2)c1.[Br-].[Br-],0.072,1.1426675035687315,576.5060000000001,"InChI=1S/C26H48N4.2BrH/c1-3-5-17-27-21-23-29(25-27)19-15-13-11-9-7-8-10-12-14-16-20-30-24-22-28(26-30)18-6-4-2;;/h21-26H,3-20H2,1-2H3;2*1H/q+2;;/p-2"
C10(MIm)2-2Br,38,25.0,10.1016/j.colsurfa.2007.02.012,,C[n+]1ccn(CCCCCCCCCCn2cc[n+](C)c2)c1.[Br-].[Br-],0.149,0.826813731587726,464.28999999999996,"InChI=1S/C18H32N4.2BrH/c1-19-13-15-21(17-19)11-9-7-5-3-4-6-8-10-12-22-16-14-20(2)18-22;;/h13-18H,3-12H2,1-2H3;2*1H/q+2;;/p-2"
C4(DIm)2-2Br,35,25.0,10.1016/j.colsurfa.2007.02.012,,CCCCCCCCCC[n+]1ccn(CCCCn2cc[n+](CCCCCCCCCC)c2)c1.[Br-].[Br-],0.002,2.6989700043360187,632.6140000000004,"InChI=1S/C30H56N4.2BrH/c1-3-5-7-9-11-13-15-17-21-31-25-27-33(29-31)23-19-20-24-34-28-26-32(30-34)22-18-16-14-12-10-8-6-4-2;;/h25-30H,3-24H2,1-2H3;2*1H/q+2;;/p-2"
