Surfactant,Temperature/ K,CMC/ mM,α,ΔGo/ Kcal/mol,source_doi,SMILES,reference_doi,method
C12E0SO4Na,288.15,8.4,0.23,-8.92,10.1007/BF01550555,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,conductometry
C12E0SO4Na,293.15,8.1,0.22,-9.16,10.1007/BF01550555,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,conductometry
C12E0SO4Na,298.15,8.1,0.21,-9.38,10.1007/BF01550555,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,conductometry
C12E0SO4Na,303.15,8.1,0.23,-9.42,10.1007/BF01550555,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,conductometry
C12E0SO4Na,308.15,8.3,0.25,-9.45,10.1007/BF01550555,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,conductometry
C12E0SO4Na,313.15,8.5,0.29,-9.36,10.1007/BF01550555,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,conductometry
C12E0SO4Na,318.15,8.6,0.33,-9.26,10.1007/BF01550555,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,conductometry
C12E0SO4Na,323.15,8.9,0.38,-9.09,10.1007/BF01550555,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,conductometry
C12E1SO4Na,278.15,5.0,0.27,-8.91,10.1007/BF01550555,CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],,conductometry
C12E1SO4Na,283.15,4.8,0.26,-9.17,10.1007/BF01550555,CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],,conductometry
C12E1SO4Na,288.15,4.5,0.21,-9.65,10.1007/BF01550555,CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],,conductometry
C12E1SO4Na,293.15,4.5,0.25,-9.62,10.1007/BF01550555,CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],,conductometry
C12E1SO4Na,298.15,4.5,0.29,-9.54,10.1007/BF01550555,CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],,conductometry
