identifier,Temp_Celsius,source_doi,reference_doi,SMILES,method,CMC,pCMC,Molecular_Weight,InChI
1,25,10.1021/la901641f,,CCCCCCCCCCC(CCC(CCCCCCCCC)[n+]1ccccc1)[n+]1ccccc1.[Br-].[Br-],tensiometry,0.00043,3.3665315444204134,640.6330000000002,"InChI=1S/C33H56N2.2BrH/c1-3-5-7-9-11-13-15-19-25-33(35-30-22-17-23-31-35)27-26-32(34-28-20-16-21-29-34)24-18-14-12-10-8-6-4-2;;/h16-17,20-23,28-33H,3-15,18-19,24-27H2,1-2H3;2*1H/q+2;;/p-2"
2,25,10.1021/la901641f,,CCCCCCCCCCCCC(CCC(CCCCCCCCCCC)[n+]1ccccc1)[n+]1ccccc1.[Br-].[Br-],tensiometry,0.0001,4.0,696.7410000000003,"InChI=1S/C37H64N2.2BrH/c1-3-5-7-9-11-13-15-17-19-23-29-37(39-34-26-21-27-35-39)31-30-36(38-32-24-20-25-33-38)28-22-18-16-14-12-10-8-6-4-2;;/h20-21,24-27,32-37H,3-19,22-23,28-31H2,1-2H3;2*1H/q+2;;/p-2"
3,25,10.1021/la901641f,,CCCCCCCCCCCCCCC(CCC(CCCCCCCCCCCCC)[n+]1ccccc1)[n+]1ccccc1.[Br-].[Br-],tensiometry,2.9999999999999997e-05,4.522878745280337,752.8490000000005,"InChI=1S/C41H72N2.2BrH/c1-3-5-7-9-11-13-15-17-19-21-23-27-33-41(43-38-30-25-31-39-43)35-34-40(42-36-28-24-29-37-42)32-26-22-20-18-16-14-12-10-8-6-4-2;;/h24-25,28-31,36-41H,3-23,26-27,32-35H2,1-2H3;2*1H/q+2;;/p-2"
4,30,10.1021/la901641f,,CCCCCCCCCCCCC(CSCCSCCSCCSCC(CCCCCCCCCCC)[n+]1ccccc1)[n+]1ccccc1.[Br-].[Br-],conductometry,0.00083,3.0809219076239263,909.1709999999994,"InChI=1S/C43H76N2S4.2BrH/c1-3-5-7-9-11-13-15-17-19-23-29-43(45-32-26-21-27-33-45)41-49-39-37-47-35-34-46-36-38-48-40-42(44-30-24-20-25-31-44)28-22-18-16-14-12-10-8-6-4-2;;/h20-21,24-27,30-33,42-43H,3-19,22-23,28-29,34-41H2,1-2H3;2*1H/q+2;;/p-2"
5,25,10.1021/la901641f,,CCCCCCCCCCCCC(CSCCSCCSCCSCC(CCCCCCCCCCC)[n+]1ccccc1)[n+]1ccccc1.[Cl-].[Cl-],conductometry,0.00151,2.8210230527068307,820.2689999999993,"InChI=1S/C43H76N2S4.2ClH/c1-3-5-7-9-11-13-15-17-19-23-29-43(45-32-26-21-27-33-45)41-49-39-37-47-35-34-46-36-38-48-40-42(44-30-24-20-25-31-44)28-22-18-16-14-12-10-8-6-4-2;;/h20-21,24-27,30-33,42-43H,3-19,22-23,28-29,34-41H2,1-2H3;2*1H/q+2;;/p-2"
6,25,10.1021/la901641f,,CCCCCCCCCCCCC(CSCCSCCSCCSCCSCC(CCCCCCCCCCC)[n+]1ccccc1)[n+]1ccccc1.[Cl-].[Cl-],conductometry,0.00128,2.8927900303521317,880.3899999999994,"InChI=1S/C45H80N2S5.2ClH/c1-3-5-7-9-11-13-15-17-19-23-29-45(47-32-26-21-27-33-47)43-52-41-39-50-37-35-48-34-36-49-38-40-51-42-44(46-30-24-20-25-31-46)28-22-18-16-14-12-10-8-6-4-2;;/h20-21,24-27,30-33,44-45H,3-19,22-23,28-29,34-43H2,1-2H3;2*1H/q+2;;/p-2"
7,25,10.1021/la901641f,,CCCCCCCCCCCCC(CSCCSCCSCCSCCSCCSCCSCCSCCSCC(CCCCCCCCCCC)[n+]1ccccc1)[n+]1ccccc1.[Cl-].[Cl-],conductometry,0.00111,2.9546770212133424,1120.873999999999,"InChI=1S/C53H96N2S9.2ClH/c1-3-5-7-9-11-13-15-17-19-23-29-53(55-32-26-21-27-33-55)51-64-49-47-62-45-43-60-41-39-58-37-35-56-34-36-57-38-40-59-42-44-61-46-48-63-50-52(54-30-24-20-25-31-54)28-22-18-16-14-12-10-8-6-4-2;;/h20-21,24-27,30-33,52-53H,3-19,22-23,28-29,34-51H2,1-2H3;2*1H/q+2;;/p-2"
8,25,10.1021/la901641f,,CCCCCCCCCCCCC(CSCCSCCSCCSCCSCCSCCSCCSCCSCCSCCSCCSCCSCC(CCCCCCCCCCC)[n+]1ccccc1)[n+]1ccccc1.[Cl-].[Cl-],conductometry,0.00022,3.657577319177794,1361.3579999999997,"InChI=1S/C61H112N2S13.2ClH/c1-3-5-7-9-11-13-15-17-19-23-29-61(63-32-26-21-27-33-63)59-76-57-55-74-53-51-72-49-47-70-45-43-68-41-39-66-37-35-64-34-36-65-38-40-67-42-44-69-46-48-71-50-52-73-54-56-75-58-60(62-30-24-20-25-31-62)28-22-18-16-14-12-10-8-6-4-2;;/h20-21,24-27,30-33,60-61H,3-19,22-23,28-29,34-59H2,1-2H3;2*1H/q+2;;/p-2"
9,25,10.1021/la901641f,,CCCCCCCCCCCCC(CSCCSCCSCC(CCCCCCCCCCC)[n+]1ccccc1)[n+]1ccccc1.CS(=O)(=O)[O-].CS(=O)(=O)[O-],conductometry,0.00207,2.684029654543082,879.4399999999999,"InChI=1S/C41H72N2S3.2CH4O3S/c1-3-5-7-9-11-13-15-17-19-23-29-41(43-32-26-21-27-33-43)39-46-37-35-44-34-36-45-38-40(42-30-24-20-25-31-42)28-22-18-16-14-12-10-8-6-4-2;2*1-5(2,3)4/h20-21,24-27,30-33,40-41H,3-19,22-23,28-29,34-39H2,1-2H3;2*1H3,(H,2,3,4)/q+2;;/p-2"
10,25,10.1021/la901641f,,CCCCCCCCCCCCC(CSCCSCCSCCSCC(CCCCCCCCCCC)[n+]1ccccc1)[n+]1ccccc1.CS(=O)(=O)[O-].CS(=O)(=O)[O-],conductometry,0.00209,2.679853713888946,939.5609999999995,"InChI=1S/C43H76N2S4.2CH4O3S/c1-3-5-7-9-11-13-15-17-19-23-29-43(45-32-26-21-27-33-45)41-49-39-37-47-35-34-46-36-38-48-40-42(44-30-24-20-25-31-44)28-22-18-16-14-12-10-8-6-4-2;2*1-5(2,3)4/h20-21,24-27,30-33,42-43H,3-19,22-23,28-29,34-41H2,1-2H3;2*1H3,(H,2,3,4)/q+2;;/p-2"
