identifier,AW_ST_CMC,Area_min,C20,Temp_Celsius,source_doi,reference_doi,SMILES,method,CMC,Gamma_max,pCMC,pC20,Molecular_Weight,InChI
[12-(S-2-S)-12]im,39.7,0.63,0.000117,25,10.1021/la202201r,,CCCCCCCCCCC(CSCCSCC(CCCCCCCCCC)[n+]1ccn(C)c1)[n+]1ccn(C)c1.[Br-].[Br-],tensiometry,0.00032,2.6e-06,3.494850021680094,3.9318141382538383,752.8560000000003,"InChI=1S/C34H64N4S2.2BrH/c1-5-7-9-11-13-15-17-19-21-33(37-25-23-35(3)31-37)29-39-27-28-40-30-34(38-26-24-36(4)32-38)22-20-18-16-14-12-10-8-6-2;;/h23-26,31-34H,5-22,27-30H2,1-4H3;2*1H/q+2;;/p-2"
[12-(S-3-S)-12]im,40.7,0.77,8.74e-05,25,10.1021/la202201r,,CCCCCCCCCCC(CSCCCSCC(CCCCCCCCCC)[n+]1ccn(C)c1)[n+]1ccn(C)c1.[Br-].[Br-],tensiometry,0.00026000000000000003,2.13e-06,3.585026652029182,4.058488567365597,766.8830000000003,"InChI=1S/C35H66N4S2.2BrH/c1-5-7-9-11-13-15-17-19-22-34(38-26-24-36(3)32-38)30-40-28-21-29-41-31-35(39-27-25-37(4)33-39)23-20-18-16-14-12-10-8-6-2;;/h24-27,32-35H,5-23,28-31H2,1-4H3;2*1H/q+2;;/p-2"
[12-(S-4-S)-12]im,40.8,0.8,7.58e-05,25,10.1021/la202201r,,CCCCCCCCCCC(CSCCCCSCC(CCCCCCCCCC)[n+]1ccn(C)c1)[n+]1ccn(C)c1.[Br-].[Br-],tensiometry,0.00022,2.06e-06,3.657577319177794,4.120330794367947,780.9100000000001,"InChI=1S/C36H68N4S2.2BrH/c1-5-7-9-11-13-15-17-19-23-35(39-27-25-37(3)33-39)31-41-29-21-22-30-42-32-36(40-28-26-38(4)34-40)24-20-18-16-14-12-10-8-6-2;;/h25-28,33-36H,5-24,29-32H2,1-4H3;2*1H/q+2;;/p-2"
[14-(S-2-S)-14]im,42.9,0.78,2.93e-05,25,10.1021/la202201r,,CCCCCCCCCCCCC(CSCCSCC(CCCCCCCCCCCC)[n+]1ccn(C)c1)[n+]1ccn(C)c1.[Br-].[Br-],tensiometry,7.199999999999999e-05,2.12e-06,4.142667503568732,4.533132379645891,808.964,"InChI=1S/C38H72N4S2.2BrH/c1-5-7-9-11-13-15-17-19-21-23-25-37(41-29-27-39(3)35-41)33-43-31-32-44-34-38(42-30-28-40(4)36-42)26-24-22-20-18-16-14-12-10-8-6-2;;/h27-30,35-38H,5-26,31-34H2,1-4H3;2*1H/q+2;;/p-2"
[14-(S-3-S)-14]im,45.8,0.53,3.83e-05,25,10.1021/la202201r,,CCCCCCCCCCCCC(CSCCCSCC(CCCCCCCCCCCC)[n+]1ccn(C)c1)[n+]1ccn(C)c1.[Br-].[Br-],tensiometry,6.3e-05,3.09e-06,4.200659450546418,4.416801226031377,822.991,"InChI=1S/C39H74N4S2.2BrH/c1-5-7-9-11-13-15-17-19-21-23-26-38(42-30-28-40(3)36-42)34-44-32-25-33-45-35-39(43-31-29-41(4)37-43)27-24-22-20-18-16-14-12-10-8-6-2;;/h28-31,36-39H,5-27,32-35H2,1-4H3;2*1H/q+2;;/p-2"
[14-(S-4-S)-14]im,46.6,0.53,4.1e-05,25,10.1021/la202201r,,CCCCCCCCCCCCC(CSCCCCSCC(CCCCCCCCCCCC)[n+]1ccn(C)c1)[n+]1ccn(C)c1.[Br-].[Br-],tensiometry,5.8e-05,3.1e-06,4.236572006437063,4.3872161432802645,837.0179999999998,"InChI=1S/C40H76N4S2.2BrH/c1-5-7-9-11-13-15-17-19-21-23-27-39(43-31-29-41(3)37-43)35-45-33-25-26-34-46-36-40(44-32-30-42(4)38-44)28-24-22-20-18-16-14-12-10-8-6-2;;/h29-32,37-40H,5-28,33-36H2,1-4H3;2*1H/q+2;;/p-2"
[12-(S-2-S)-12]im,,,,25,10.1021/la202201r,,CCCCCCCCCCC(CSCCSCC(CCCCCCCCCC)[n+]1ccn(C)c1)[n+]1ccn(C)c1.[Br-].[Br-],conductometry,0.0004,,3.3979400086720375,,752.8560000000003,"InChI=1S/C34H64N4S2.2BrH/c1-5-7-9-11-13-15-17-19-21-33(37-25-23-35(3)31-37)29-39-27-28-40-30-34(38-26-24-36(4)32-38)22-20-18-16-14-12-10-8-6-2;;/h23-26,31-34H,5-22,27-30H2,1-4H3;2*1H/q+2;;/p-2"
[12-(S-3-S)-12]im,,,,25,10.1021/la202201r,,CCCCCCCCCCC(CSCCCSCC(CCCCCCCCCC)[n+]1ccn(C)c1)[n+]1ccn(C)c1.[Br-].[Br-],conductometry,0.00035,,3.4559319556497243,,766.8830000000003,"InChI=1S/C35H66N4S2.2BrH/c1-5-7-9-11-13-15-17-19-22-34(38-26-24-36(3)32-38)30-40-28-21-29-41-31-35(39-27-25-37(4)33-39)23-20-18-16-14-12-10-8-6-2;;/h24-27,32-35H,5-23,28-31H2,1-4H3;2*1H/q+2;;/p-2"
[12-(S-4-S)-12]im,,,,25,10.1021/la202201r,,CCCCCCCCCCC(CSCCCCSCC(CCCCCCCCCC)[n+]1ccn(C)c1)[n+]1ccn(C)c1.[Br-].[Br-],conductometry,0.00031,,3.5086383061657274,,780.9100000000001,"InChI=1S/C36H68N4S2.2BrH/c1-5-7-9-11-13-15-17-19-23-35(39-27-25-37(3)33-39)31-41-29-21-22-30-42-32-36(40-28-26-38(4)34-40)24-20-18-16-14-12-10-8-6-2;;/h25-28,33-36H,5-24,29-32H2,1-4H3;2*1H/q+2;;/p-2"
[14-(S-2-S)-14]im,,,,25,10.1021/la202201r,,CCCCCCCCCCCCC(CSCCSCC(CCCCCCCCCCCC)[n+]1ccn(C)c1)[n+]1ccn(C)c1.[Br-].[Br-],conductometry,0.0001,,4.0,,808.964,"InChI=1S/C38H72N4S2.2BrH/c1-5-7-9-11-13-15-17-19-21-23-25-37(41-29-27-39(3)35-41)33-43-31-32-44-34-38(42-30-28-40(4)36-42)26-24-22-20-18-16-14-12-10-8-6-2;;/h27-30,35-38H,5-26,31-34H2,1-4H3;2*1H/q+2;;/p-2"
