surfactant,cmc (mM),cmc err (mM),β,γcmc mN/m,γcmc err mN/m,106Γmax n = 2 (mol/m2),106Γmax n =2 err (mol/m2),106Γmax n = 3 (mol/m2),106Γmax n =3 err (mol/m2),Amin n=2 (nm2),Amin n=2 err (nm2),Amin n=3 (nm2),Amin n=3 err (nm2),C20 (M),ΔG°mic kJmol-1,ΔG°mic err kJmol-1,ΔG°ads kJmol-1,ΔG°ads err kJmol-1,Temp_Celsius,source_doi,reference_doi,SMILES,method
[12-(S-2-S)-12]im,0.32,0.01,,39.7,0.1,2.6,0.036,1.73,0.024,0.63,0.009,0.95,0.012,0.000117,,,45.57,0.21,25,10.1021/la202201r,,CN1C=C[N+](C(CSCCSCC([N+]2=CN(C)C=C2)CCCCCCCCCC)CCCCCCCCCC)=C1.[Br-].[Br-],tensiometry
[12-(S-3-S)-12]im,0.26,0.01,,40.7,0.1,2.13,0.096,1.42,0.064,0.77,0.034,1.16,0.051,8.74E-05,,,48.21,0.21,25,10.1021/la202201r,,CN1C=C[N+](C(CSCCCSCC([N+]2=CN(C)C=C2)CCCCCCCCCC)CCCCCCCCCC)=C1.[Br-].[Br-],tensiometry
[12-(S-4-S)-12]im,0.22,0.01,,40.8,0.1,2.06,0.069,1.37,0.046,0.8,0.026,1.21,0.039,7.58E-05,,,47.51,0.22,25,10.1021/la202201r,,CN1C=C[N+](C(CSCCCCSCC([N+]2=CN(C)C=C2)CCCCCCCCCC)CCCCCCCCCC)=C1.[Br-].[Br-],tensiometry
[14-(S-2-S)-14]im,0.072,0.002,,42.9,0.1,2.12,0.12,1.41,0.08,0.78,0.043,1.17,0.064,2.93E-05,,,47.8,0.22,25,10.1021/la202201r,,CN1C=C[N+](C(CSCCSCC([N+]2=CN(C)C=C2)CCCCCCCCCCCC)CCCCCCCCCCCC)=C1.[Br-].[Br-],tensiometry
[14-(S-3-S)-14]im,0.063,0.002,,45.8,0.1,3.09,0.11,2.06,0.074,0.53,0.019,0.8,0.028,3.83E-05,,,42.31,0.23,25,10.1021/la202201r,,CN1C=C[N+](C(CSCCCSCC([N+]2=CN(C)C=C2)CCCCCCCCCCCC)CCCCCCCCCCCC)=C1.[Br-].[Br-],tensiometry
[14-(S-4-S)-14]im,0.058,0.002,,46.6,0.1,3.1,0.075,2.07,0.05,0.53,0.014,0.8,0.021,4.10E-05,,,42.82,0.24,25,10.1021/la202201r,,CN1C=C[N+](C(CSCCCCSCC([N+]2=CN(C)C=C2)CCCCCCCCCCCC)CCCCCCCCCCCC)=C1.[Br-].[Br-],tensiometry
[12-(S-2-S)-12]im,0.4,0.01,0.63,,,,,,,,,,,,33.14,0.19,,,25,10.1021/la202201r,,CN1C=C[N+](C(CSCCSCC([N+]2=CN(C)C=C2)CCCCCCCCCC)CCCCCCCCCC)=C1.[Br-].[Br-],conductometry
[12-(S-3-S)-12]im,0.35,0.01,0.63,,,,,,,,,,,,33.52,0.19,,,25,10.1021/la202201r,,CN1C=C[N+](C(CSCCCSCC([N+]2=CN(C)C=C2)CCCCCCCCCC)CCCCCCCCCC)=C1.[Br-].[Br-],conductometry
[12-(S-4-S)-12]im,0.31,0.01,0.58,,,,,,,,,,,,32.36,0.2,,,25,10.1021/la202201r,,CN1C=C[N+](C(CSCCCCSCC([N+]2=CN(C)C=C2)CCCCCCCCCC)CCCCCCCCCC)=C1.[Br-].[Br-],conductometry
[14-(S-2-S)-14]im,0.1,0.002,0.54,,,,,,,,,,,,34.08,0.2,,,25,10.1021/la202201r,,CN1C=C[N+](C(CSCCSCC([N+]2=CN(C)C=C2)CCCCCCCCCCCC)CCCCCCCCCCCC)=C1.[Br-].[Br-],conductometry
[14-(S-3-S)-14]im,0.085,0.002,0.52,,,,,,,,,,,,33.83,0.21,,,25,10.1021/la202201r,,CN1C=C[N+](C(CSCCCSCC([N+]2=CN(C)C=C2)CCCCCCCCCCCC)CCCCCCCCCCCC)=C1.[Br-].[Br-],conductometry
[14-(S-4-S)-14]im,0.071,0.002,0.53,,,,,,,,,,,,34.62,0.22,,,25,10.1021/la202201r,,CN1C=C[N+](C(CSCCCCSCC([N+]2=CN(C)C=C2)CCCCCCCCCCCC)CCCCCCCCCCCC)=C1.[Br-].[Br-],conductometry
[16-(S-2-S)-16]im,0.022,0.001,0.67,,,,,,,,,,,,42.72,0.2,,,25,10.1021/la202201r,,CN1C=C[N+](C(CSCCSCC([N+]2=CN(C)C=C2)CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)=C1.[Br-].[Br-],conductometry
[16-(S-3-S)-16]im,0.021,0.001,0.66,,,,,,,,,,,,42.49,0.21,,,25,10.1021/la202201r,,CN1C=C[N+](C(CSCCCSCC([N+]2=CN(C)C=C2)CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)=C1.[Br-].[Br-],conductometry
[16-(S-4-S)-16]im,0.02,0.001,0.65,,,,,,,,,,,,42.26,0.22,,,25,10.1021/la202201r,,CN1C=C[N+](C(CSCCCCSCC([N+]2=CN(C)C=C2)CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)=C1.[Br-].[Br-],conductometry
