identifier,AW_ST_CMC,Area_min,C20,source_doi,SMILES,Temp_Celsius,reference_doi,method,Molecular_Weight,InChI,CMC,pCMC,Gamma_max,pC20
Est14MPC,35.5,0.83,0.000281,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Cl-],25,,tensiometry,376.0250000000001,"InChI=1S/C21H42NO2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-16-19-24-21(23)20-22(2)17-14-15-18-22;/h3-20H2,1-2H3;1H/q+1;/p-1",0.0014399999999999999,2.8416375079047502,1.99e-06,3.55129368009492
Est14MPB,32.1,1.07,8.31e-05,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Br-],25,,tensiometry,420.4760000000001,"InChI=1S/C21H42NO2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-16-19-24-21(23)20-22(2)17-14-15-18-22;/h3-20H2,1-2H3;1H/q+1;/p-1",0.00107,2.9706162223147903,2.13e-06,4.080398976215889
Est16MPC,41.0,0.6,0.000141,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Cl-],25,,tensiometry,404.0790000000002,"InChI=1S/C23H46NO2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-18-21-26-23(25)22-24(2)19-16-17-20-24;/h3-22H2,1-2H3;1H/q+1;/p-1",0.00037,3.431798275933005,2.06e-06,3.85078088734462
Est16MPB,37.1,0.9,6.16e-05,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Br-],25,,tensiometry,448.53000000000014,"InChI=1S/C23H46NO2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-18-21-26-23(25)22-24(2)19-16-17-20-24;/h3-22H2,1-2H3;1H/q+1;/p-1",0.00031,3.5086383061657274,2.12e-06,4.210419287835575
Est14MPC,,,,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Cl-],25,,conductometry,376.0250000000001,"InChI=1S/C21H42NO2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-16-19-24-21(23)20-22(2)17-14-15-18-22;/h3-20H2,1-2H3;1H/q+1;/p-1",0.00165,2.7825160557860937,,
Est14MPB,,,,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Br-],25,,conductometry,420.4760000000001,"InChI=1S/C21H42NO2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-16-19-24-21(23)20-22(2)17-14-15-18-22;/h3-20H2,1-2H3;1H/q+1;/p-1",0.00121,2.91721462968355,,
Est16MPC,,,,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Cl-],25,,conductometry,404.0790000000002,"InChI=1S/C23H46NO2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-18-21-26-23(25)22-24(2)19-16-17-20-24;/h3-22H2,1-2H3;1H/q+1;/p-1",0.0004,3.3979400086720375,,
Est16MPB,,,,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Br-],25,,conductometry,448.53000000000014,"InChI=1S/C23H46NO2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-18-21-26-23(25)22-24(2)19-16-17-20-24;/h3-22H2,1-2H3;1H/q+1;/p-1",0.00032,3.494850021680094,,
Est14MPC,,,,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Cl-],25,,fluorimetry,376.0250000000001,"InChI=1S/C21H42NO2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-16-19-24-21(23)20-22(2)17-14-15-18-22;/h3-20H2,1-2H3;1H/q+1;/p-1",0.00123,2.910094888560602,,
Est14MPB,,,,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Br-],25,,fluorimetry,420.4760000000001,"InChI=1S/C21H42NO2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-16-19-24-21(23)20-22(2)17-14-15-18-22;/h3-20H2,1-2H3;1H/q+1;/p-1",0.00098,3.0087739243075053,,
Est16MPC,,,,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Cl-],25,,fluorimetry,404.0790000000002,"InChI=1S/C23H46NO2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-18-21-26-23(25)22-24(2)19-16-17-20-24;/h3-22H2,1-2H3;1H/q+1;/p-1",0.00041,3.3872161432802645,,
Est16MPB,,,,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Br-],25,,fluorimetry,448.53000000000014,"InChI=1S/C23H46NO2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-18-21-26-23(25)22-24(2)19-16-17-20-24;/h3-22H2,1-2H3;1H/q+1;/p-1",0.00035,3.4559319556497243,,
