Surfactant,cmc (mM),γcmc mN.m-1,106 Γmax (mol.m-2),Amin (nm2),C20 (M),source_doi,SMILES,Temp_Celsius,reference_doi,method
Est14MPC,1.44,35.5,1.99,0.83,0.000281,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Cl-],25,,tensiometry
Est14MPB,1.07,32.1,2.13,1.07,8.31E-05,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Br-],25,,tensiometry
Est16MPC,0.37,41,2.06,0.6,0.000141,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Cl-],25,,tensiometry
Est16MPB,0.31,37.1,2.12,0.9,6.16E-05,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Br-],25,,tensiometry
Est14MPC,1.65,,,,,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Cl-],25,,conductometry
Est14MPB,1.21,,,,,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Br-],25,,conductometry
Est16MPC,0.4,,,,,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Cl-],25,,conductometry
Est16MPB,0.32,,,,,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Br-],25,,conductometry
Est14MPC,1.23,,,,,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Cl-],25,,fluorimetry
Est14MPB,0.98,,,,,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Br-],25,,fluorimetry
Est16MPC,0.41,,,,,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Cl-],25,,fluorimetry
Est16MPB,0.35,,,,,10.1007/s00396-013-2971-4,CCCCCCCCCCCCCCCCOC(=O)C[N+]1(C)CCCC1.[Br-],25,,fluorimetry
