Surfactant,CMC (mM),CMC err (mM),γCMC (mN/m),γCMC err (mN /m),106 Γmax (mol/m2),106 Γmax err (mol /m2),Amin (nm2),Amin err (nm2),C20 (M),source_doi,SMILES,Temp_Celsius,reference_doi,method
[C12PIP(2Es)-C12PIP]2Br,0.56,0.02,41.6,0.2,1.48,0.02,1.12,0.02,0.000209,10.1039/C5CP02115D,CCCCCCCCCCCC[N+]1(CCCCC1)CC(OCCOC(C[N+]2(CCCCC2)CCCCCCCCCCCC)=O)=O.[Br-].[Br-],25,,tensiometry
[C12PYR(2Es)-C12PYR]2Br,0.67,0.02,40,0.2,1.39,0.02,1.19,0.02,0.000224,10.1039/C5CP02115D,CCCCCCCCCCCC[N+]1(CCCC1)CC(OCCOC(C[N+]2(CCCC2)CCCCCCCCCCCC)=O)=O.[Br-].[Br-],25,,tensiometry
[C12MOR(2Es)-C12MOR]2Br,0.79,0.02,41.1,0.2,1.46,0.02,1.14,0.02,0.000302,10.1039/C5CP02115D,CCCCCCCCCCCC[N+]1(CCOCC1)CC(OCCOC(C[N+]2(CCOCC2)CCCCCCCCCCCC)=O)=O.[Br-].[Br-],25,,tensiometry
[C12QA(2Es)-C12QA]2Br,0.75,0.02,40.9,0.2,1.02,0.02,1.63,0.02,0.000178,10.1039/C5CP02115D,CCCCCCCCCCCC[N+](CC)(CC(OCCOC(C[N+](CC)(CCCCCCCCCCCC)CC)=O)=O)CC.[Br-].[Br-],25,,tensiometry
[C12PIP(2Es)-C12PIP]2Br,0.6,0.01,,,,,,,,10.1039/C5CP02115D,CCCCCCCCCCCC[N+]1(CCCCC1)CC(OCCOC(C[N+]2(CCCCC2)CCCCCCCCCCCC)=O)=O.[Br-].[Br-],25,,tensiometry
[C12PYR(2Es)-C12PYR]2Br,0.73,0.01,,,,,,,,10.1039/C5CP02115D,CCCCCCCCCCCC[N+]1(CCCC1)CC(OCCOC(C[N+]2(CCCC2)CCCCCCCCCCCC)=O)=O.[Br-].[Br-],25,,tensiometry
[C12MOR(2Es)-C12MOR]2Br,0.96,0.01,,,,,,,,10.1039/C5CP02115D,CCCCCCCCCCCC[N+]1(CCOCC1)CC(OCCOC(C[N+]2(CCOCC2)CCCCCCCCCCCC)=O)=O.[Br-].[Br-],25,,tensiometry
[C12QA(2Es)-C12QA]2Br,0.92,0.01,,,,,,,,10.1039/C5CP02115D,CCCCCCCCCCCC[N+](CC)(CC(OCCOC(C[N+](CC)(CCCCCCCCCCCC)CC)=O)=O)CC.[Br-].[Br-],25,,tensiometry
[C12PIP(2Es)-C12PIP]2Br,0.58,0.01,,,,,,,,10.1039/C5CP02115D,CCCCCCCCCCCC[N+]1(CCCCC1)CC(OCCOC(C[N+]2(CCCCC2)CCCCCCCCCCCC)=O)=O.[Br-].[Br-],25,,tensiometry
[C12PYR(2Es)-C12PYR]2Br,0.69,0.01,,,,,,,,10.1039/C5CP02115D,CCCCCCCCCCCC[N+]1(CCCC1)CC(OCCOC(C[N+]2(CCCC2)CCCCCCCCCCCC)=O)=O.[Br-].[Br-],25,,tensiometry
[C12MOR(2Es)-C12MOR]2Br,0.93,0.01,,,,,,,,10.1039/C5CP02115D,CCCCCCCCCCCC[N+]1(CCOCC1)CC(OCCOC(C[N+]2(CCOCC2)CCCCCCCCCCCC)=O)=O.[Br-].[Br-],25,,tensiometry
[C12QA(2Es)-C12QA]2Br,0.79,0.01,,,,,,,,10.1039/C5CP02115D,CCCCCCCCCCCC[N+](CC)(CC(OCCOC(C[N+](CC)(CCCCCCCCCCCC)CC)=O)=O)CC.[Br-].[Br-],25,,tensiometry
