Surfactant,T (oC),CMC (mM),β,ΔGmic (kJ mol-1),ΔGads (kJ mol-1),ΔHmic (kJ mol-1),TΔSmic (kJ mol-1),source_doi,reference_doi
14.3,(0.2) ,17.2 (0.2),,,,,,10.1039/C5CP02115D,
16.6,( 0.2),,,,,,,10.1039/C5CP02115D,
16.2,( 0.2),,,,,,,10.1039/C5CP02115D,
16.0,( 0.2),,,,,,,10.1039/C5CP02115D,
10.6,( 0.2), 20.9 ( 0.2),,,,,,10.1039/C5CP02115D,
20.6,( 0.2),,,,,,,10.1039/C5CP02115D,
20.3,( 0.2),,,,,,,10.1039/C5CP02115D,
19.9,( 0.2),,,,,,,10.1039/C5CP02115D,
11.6,( 0.2), 19.1 ( 0.2),,,,,,10.1039/C5CP02115D,
18.7,( 0.2),,,,,,,10.1039/C5CP02115D,
19.6,( 0.2),,,,,,,10.1039/C5CP02115D,
18.5,( 0.2),,,,,,,10.1039/C5CP02115D,
9.5,( 0.2), 20.0 ( 0.2),,,,,,10.1039/C5CP02115D,
19.8,( 0.2),,,,,,,10.1039/C5CP02115D,
19.6,( 0.2),,,,,,,10.1039/C5CP02115D,
18.9,( 0.2),,,,,,,10.1039/C5CP02115D,
