identifier,source_doi,reference_doi,SMILES,Temp_Celsius,method,InChI,Molecular_Weight,CMC,pCMC
4-O-4,10.1016/j.crci.2019.04.002,,CCCC[N+](C)(C)CCOCC[N+](C)(C)CCCC.[Br-].[Br-],25.0,conductometry,"InChI=1S/C16H38N2O.2BrH/c1-7-9-11-17(3,4)13-15-19-16-14-18(5,6)12-10-8-2;;/h7-16H2,1-6H3;2*1H/q+2;;/p-2",434.301,0.1585,0.7999707334462297
6-O-6,10.1016/j.crci.2019.04.002,,CCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCC.[Br-].[Br-],25.0,conductometry,"InChI=1S/C20H46N2O.2BrH/c1-7-9-11-13-15-21(3,4)17-19-23-20-18-22(5,6)16-14-12-10-8-2;;/h7-20H2,1-6H3;2*1H/q+2;;/p-2",490.40900000000016,0.08109999999999999,1.090979145788844
8-O-8,10.1016/j.crci.2019.04.002,,CCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],25.0,conductometry,"InChI=1S/C24H54N2O.2BrH/c1-7-9-11-13-15-17-19-25(3,4)21-23-27-24-22-26(5,6)20-18-16-14-12-10-8-2;;/h7-24H2,1-6H3;2*1H/q+2;;/p-2",546.5170000000003,0.0211,1.6757175447023074
10-O-10,10.1016/j.crci.2019.04.002,,CCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],25.0,conductometry,"InChI=1S/C28H62N2O.2BrH/c1-7-9-11-13-15-17-19-21-23-29(3,4)25-27-31-28-26-30(5,6)24-22-20-18-16-14-12-10-8-2;;/h7-28H2,1-6H3;2*1H/q+2;;/p-2",602.6250000000005,0.0065899999999999995,2.1811145854059903
12-O-12,10.1016/j.crci.2019.04.002,,CCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25.0,conductometry,"InChI=1S/C32H70N2O.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-33(3,4)29-31-35-32-30-34(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-32H2,1-6H3;2*1H/q+2;;/p-2",658.7330000000006,0.001047,2.9800533183211577
14-O-14,10.1016/j.crci.2019.04.002,,CCCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],25.0,conductometry,"InChI=1S/C36H78N2O.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-37(3,4)33-35-39-36-34-38(5,6)32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-36H2,1-6H3;2*1H/q+2;;/p-2",714.8410000000005,0.000201,3.696803942579511
16-O-16,10.1016/j.crci.2019.04.002,,CCCCCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],25.0,conductometry,"InChI=1S/C40H86N2O.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-41(3,4)37-39-43-40-38-42(5,6)36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-40H2,1-6H3;2*1H/q+2;;/p-2",770.9490000000002,3.2e-05,4.494850021680094
18-O-18,10.1016/j.crci.2019.04.002,,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-].[Br-],25.0,conductometry,"InChI=1S/C44H94N2O.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-39-45(3,4)41-43-47-44-42-46(5,6)40-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-44H2,1-6H3;2*1H/q+2;;/p-2",827.0569999999998,3.3e-05,4.481486060122113
8-2-8,10.1016/j.crci.2019.04.002,10.26850/1678-4618eqj.v32.2.2007.p47-54,CCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCC.[Br-].[Br-],25.0,conductometry,"InChI=1S/C22H50N2.2BrH/c1-7-9-11-13-15-17-19-23(3,4)21-22-24(5,6)20-18-16-14-12-10-8-2;;/h7-22H2,1-6H3;2*1H/q+2;;/p-2",502.4640000000002,0.055,1.2596373105057561
10-2-10,10.1016/j.crci.2019.04.002,10.26850/1678-4618eqj.v32.2.2007.p47-54,CCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],25.0,conductometry,"InChI=1S/C26H58N2.2BrH/c1-7-9-11-13-15-17-19-21-23-27(3,4)25-26-28(5,6)24-22-20-18-16-14-12-10-8-2;;/h7-26H2,1-6H3;2*1H/q+2;;/p-2",558.5720000000003,0.0052,2.283996656365201
12-2-12,10.1016/j.crci.2019.04.002,10.26850/1678-4618eqj.v32.2.2007.p47-54,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25.0,conductometry,"InChI=1S/C30H66N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-31(3,4)29-30-32(5,6)28-26-24-22-20-18-16-14-12-10-8-2;;/h7-30H2,1-6H3;2*1H/q+2;;/p-2",614.6800000000005,0.00106,2.9746941347352296
