n,identifier,cmc (mM),source_doi,reference_doi,SMILES,Temp_Celsius
8,8-2-8,55.0,10.1016/j.crci.2019.04.002,10.26850/1678-4618eqj.v32.2.2007.p47-54,CCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCC.[Br-].[Br-],25
10,10-2-10,5.2,10.1016/j.crci.2019.04.002,10.26850/1678-4618eqj.v32.2.2007.p47-54,CCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],25
12,12-2-12,1.06,10.1016/j.crci.2019.04.002,10.26850/1678-4618eqj.v32.2.2007.p47-54,CCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],25
14,14-2-14,,10.1016/j.crci.2019.04.002,10.26850/1678-4618eqj.v32.2.2007.p47-54,CCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],25
16,16-2-16,0.04,10.1016/j.crci.2019.04.002,10.26850/1678-4618eqj.v32.2.2007.p47-54,CCCCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],25
18,18-2-18,,10.1016/j.crci.2019.04.002,10.26850/1678-4618eqj.v32.2.2007.p47-54,CCCCCCCCCCCCCCCCCC[N+](C)(C)CC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-].[Br-],25
8,8-3-8,,10.1016/j.crci.2019.04.002,10.1007/BF02517994,CCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCC.[Cl-].[Cl-],20
10,10-3-10,,10.1016/j.crci.2019.04.002,10.1007/BF02517994,CCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCC.[Cl-].[Cl-],20
12,12-3-12,0.98,10.1016/j.crci.2019.04.002,10.1007/BF02517994,CCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],20
14,14-3-14,0.11,10.1016/j.crci.2019.04.002,10.1007/BF02517994,CCCCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],20
16,16-3-16,0.015,10.1016/j.crci.2019.04.002,10.1007/BF02517994,CCCCCCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],20
18,18-3-18,,10.1016/j.crci.2019.04.002,10.1007/BF02517994,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Cl-].[Cl-],20
8,8-4-8,56.0,10.1016/j.crci.2019.04.002,10.1021/la9910576,CCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],23
10,10-4-10,8.78,10.1016/j.crci.2019.04.002,10.1021/la9910576,CCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],23
12,12-4-12,0.93,10.1016/j.crci.2019.04.002,10.1021/la9910576,CCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],23
