Surfactant,10^6 Γmax (mol/m2),10^20 Amin (m^2),pC20,CMC (mol dm^-3),∏cmc (mN/m),CMC/C20,-ΔG0cmc kJ/mol,-ΔG0cmc/CH2,-ΔG0ads kJ/mol,-ΔG0ads/CH2,Temp_Celsius,source_doi,reference_doi,method
C10-MGA,3.96,42,3.6,0.00129,36.1,5.2,16.2,,20.2,,20.0,10.1006/jcis.2001.7704,,tensiometry
C12-MGA,3.99,42,4.78,0.000146,37.6,8.8,21.5,,26.8,,20.0,10.1006/jcis.2001.7704,,tensiometry
C14-MGA,3.97,42,5.55,2.36e-05,37.8,8.5,26.0,-1.8,31.2,-1.9,20.0,10.1006/jcis.2001.7704,,tensiometry
C16-MGA,3.65,45,6.11,7.74e-06,38.5,10.1,28.7,,34.3,,20.0,10.1006/jcis.2001.7704,,tensiometry
C18-MGA,3.97,42,6.46,2.85e-06,39.7,8.1,31.1,,36.2,,20.0,10.1006/jcis.2001.7704,,tensiometry
C10-MLA,4.14,40,3.29,0.00231,33.9,4.6,14.8,,18.5,,20.0,10.1006/jcis.2001.7704,,tensiometry
C12-MLA,3.98,42,4.45,0.000249,36.8,7.1,20.2,,25.0,,20.0,10.1006/jcis.2001.7704,,tensiometry
C14-MLA,3.76,44,5.4,3.64e-05,37.1,9.2,24.9,-2.0,30.3,-2.2,20.0,10.1006/jcis.2001.7704,,tensiometry
C16-MLA,3.76,44,6.01,9.3e-06,37.2,9.5,28.2,,33.7,,20.0,10.1006/jcis.2001.7704,,tensiometry
C18-MLA,3.96,42,6.34,3.3e-06,38.2,7.2,30.8,,35.6,,20.0,10.1006/jcis.2001.7704,,tensiometry
OL-MGA,3.89,43,5.37,3.22e-05,38.0,7.5,23.9,,30.1,,20.0,10.1006/jcis.2001.7704,,tensiometry
OL-MLA,3.84,43,5.09,5.38e-05,37.0,6.7,24.0,,28.6,,20.0,10.1006/jcis.2001.7704,,tensiometry
