Surfactant,T (°C),cmc (mmol/l),α,β,ΔG0m (kJ/mol),ΔH0m (kJ/mol),TΔS0m (kJ/mol),SMILES,source_doi,reference_doi
C10-4-10PB,15,5.72,0.25,0.75,27.57,0.59,26.98,CCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1016/j.jcis.2011.12.025,
C10-4-10PB,20,5.74,0.26,0.74,27.65,0.68,26.97,CCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1016/j.jcis.2011.12.025,
C10-4-10PB,25,5.76,0.29,0.71,27.45,0.77,26.68,CCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1016/j.jcis.2011.12.025,
C10-4-10PB,30,5.78,0.32,0.68,27.2,0.86,26.34,CCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1016/j.jcis.2011.12.025,
C10-4-10PB,35,5.81,0.33,0.67,27.54,0.97,26.57,CCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1016/j.jcis.2011.12.025,
C12-4-12PB,15,0.8,0.25,0.75,33.38,5.52,27.86,CCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1016/j.jcis.2011.12.025,
C12-4-12PB,20,0.82,0.26,0.74,33.52,5.65,27.87,CCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1016/j.jcis.2011.12.025,
C12-4-12PB,25,0.83,0.27,0.73,33.75,5.79,27.96,CCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1016/j.jcis.2011.12.025,
C12-4-12PB,30,0.87,0.31,0.69,33.05,5.8,27.25,CCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1016/j.jcis.2011.12.025,
C12-4-12PB,35,0.9,0.34,0.66,32.73,5.85,26.88,CCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1016/j.jcis.2011.12.025,
C14-4-14PB,15,0.11,0.35,0.65,36.99,8.07,28.92,CCCCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1016/j.jcis.2011.12.025,
C14-4-14PB,20,0.12,0.38,0.62,36.21,8.35,27.86,CCCCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1016/j.jcis.2011.12.025,
C14-4-14PB,25,0.13,0.43,0.57,35.7,8.69,27.01,CCCCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1016/j.jcis.2011.12.025,
C14-4-14PB,30,0.14,0.44,0.56,36.65,8.93,27.72,CCCCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1016/j.jcis.2011.12.025,
C14-4-14PB,35,0.15,0.49,0.51,35.15,9.23,25.92,CCCCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1016/j.jcis.2011.12.025,
C16-4-16PB,15,0.021,0.41,0.59,38.6,22.35,16.25,CCCCCCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1016/j.jcis.2011.12.025,
C16-4-16PB,20,0.025,0.41,0.59,38.85,23.16,15.69,CCCCCCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1016/j.jcis.2011.12.025,
C16-4-16PB,25,0.029,0.41,0.59,39.08,23.94,15.14,CCCCCCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1016/j.jcis.2011.12.025,
C16-4-16PB,30,0.033,0.4,0.6,39.57,24.86,14.71,CCCCCCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1016/j.jcis.2011.12.025,
C16-4-16PB,35,0.039,0.41,0.59,39.73,25.65,14.08,CCCCCCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],10.1016/j.jcis.2011.12.025,
