Surfactants,CMC no salt (mM),CMC with salt (mM),γ_CMC no salt (mN/m),γ_CMC with salt (mN/m),A_min no salt (nm2),A_min with salt (nm2),CMC second breakpoint no salt (mM),CMC second breakpoint with salt (mM),γ_CMC second breakpoint no salt (mN/m),γ_CMC second breakpoint with salt (mN/m),source_doi,reference_doi,Temp_Celsius,SMILES,method
C12–C3–C12PB,0.41,0.32,35.4,34.8,1.47,1.02,,,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],tensiometry
C12–C4–C12PB,0.62,0.49,38.1,35.3,1.7,1.21,,,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],tensiometry
C12–C6–C12PB,0.49,0.46,40.8,40.2,1.78,1.22,,,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],tensiometry
C12–C8–C12PB,0.35,0.33,39.2,38.8,1.86,1.3,,,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],tensiometry
C12–C10–C12PB,0.3,0.17,38.3,37.5,1.96,1.38,,,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],tensiometry
C12–C12–C12PB,0.19,0.066,38.2,37.4,2.64,1.49,,,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCCCCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],tensiometry
C12–C14–C12PB,0.066,0.045,38.9,38.2,3.36,1.61,,,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCCCCCCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],tensiometry
C12–C14–C12PB,,,,,,,9.24,7.45,33.5,33.4,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCCCCCCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],tensiometry
C12–C16–C12PB,0.032,0.016,41,40.8,3.78,1.7,,,,,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCCCCCCCCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],tensiometry
C12–C16–C12PB,,,,,,,3.52,1.45,33,33,10.1039/c3sm50916h,,25,CCCCCCCCCCCC[N+]1(CCCCCCCCCCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],tensiometry
