Surfactants,T (oC),cmc mmol L-1,α,β,ΔG0m kJ mol-1,ΔH0m kJ mol-1,TΔS0m kJ mol-1,source_doi,reference_doi,SMILES,method
C12-C3-C12PB,15,0.6,0.17,0.83,36.39,11.92,24.47,10.1039/c3sm50916h,,CCCCCCCCCCCC[N+]1(CCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],conductometry
C12-C3-C12PB,20,0.63,0.19,0.81,36.34,12.17,24.18,10.1039/c3sm50916h,,CCCCCCCCCCCC[N+]1(CCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],conductometry
C12-C3-C12PB,25,0.66,0.21,0.79,36.29,12.41,23.88,10.1039/c3sm50916h,,CCCCCCCCCCCC[N+]1(CCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],conductometry
C12-C3-C12PB,30,0.7,0.22,0.78,36.29,12.69,23.6,10.1039/c3sm50916h,,CCCCCCCCCCCC[N+]1(CCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],conductometry
C12-C3-C12PB,35,0.78,0.24,0.76,35.88,12.86,23.02,10.1039/c3sm50916h,,CCCCCCCCCCCC[N+]1(CCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],conductometry
C12-C4-C12PB,15,0.8,0.25,0.75,33.38,5.52,27.86,10.1039/c3sm50916h,,CCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],conductometry
C12-C4-C12PB,20,0.82,0.26,0.74,33.52,5.65,27.87,10.1039/c3sm50916h,,CCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],conductometry
C12-C4-C12PB,25,0.83,0.27,0.73,33.75,5.79,27.96,10.1039/c3sm50916h,,CCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],conductometry
C12-C4-C12PB,30,0.87,0.31,0.69,33.05,5.8,27.25,10.1039/c3sm50916h,,CCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],conductometry
C12-C4-C12PB,35,0.9,0.34,0.66,32.73,5.85,26.88,10.1039/c3sm50916h,,CCCCCCCCCCCC[N+]1(CCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],conductometry
