identifier,AW_ST_CMC,Area_min,Temp_Celsius,source_doi,SMILES,reference_doi,Molecular_Weight,InChI,CMC,pCMC,Gamma_max
10-2-10,39.6,5.73,25.0,10.1016/j.molliq.2017.01.056,CCCCCCCCCC[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)CCCCCCCCCC.[Cl-].[Cl-],,613.7960000000004,"InChI=1S/C32H66N2O4.2ClH/c1-7-9-11-13-15-17-19-21-25-33(3,4)27-29-37-31(35)23-24-32(36)38-30-28-34(5,6)26-22-20-18-16-14-12-10-8-2;;/h7-30H2,1-6H3;2*1H/q+2;;/p-2",0.001514,2.819874124835946,2.9e-07
12-2-12,34.9,2.77,25.0,10.1016/j.molliq.2017.01.056,CCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],,669.9040000000001,"InChI=1S/C36H74N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-29-37(3,4)31-33-41-35(39)27-28-36(40)42-34-32-38(5,6)30-26-24-22-20-18-16-14-12-10-8-2;;/h7-34H2,1-6H3;2*1H/q+2;;/p-2",0.00021799999999999999,3.6615435063953954,6e-07
14-2-14,32.8,2.1,25.0,10.1016/j.molliq.2017.01.056,CCCCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],,726.0119999999997,"InChI=1S/C40H82N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-33-41(3,4)35-37-45-39(43)31-32-40(44)46-38-36-42(5,6)34-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-38H2,1-6H3;2*1H/q+2;;/p-2",0.00020899999999999998,3.679853713888946,7.900000000000001e-07
16-2-16,36.7,1.79,25.0,10.1016/j.molliq.2017.01.056,CCCCCCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],,782.1199999999994,"InChI=1S/C44H90N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37-45(3,4)39-41-49-43(47)35-36-44(48)50-42-40-46(5,6)38-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-42H2,1-6H3;2*1H/q+2;;/p-2",2.2e-05,4.657577319177793,9.300000000000001e-07
18-2-18,32.7,2.02,25.0,10.1016/j.molliq.2017.01.056,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Cl-].[Cl-],,838.227999999999,"InChI=1S/C48H98N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-41-49(3,4)43-45-53-47(51)39-40-48(52)54-46-44-50(5,6)42-38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-46H2,1-6H3;2*1H/q+2;;/p-2",4e-05,4.3979400086720375,8.2e-07
10-6-10,32.0,3.69,25.0,10.1016/j.molliq.2017.01.056,CCCCCCCCCC[N+](C)(C)CCOC(=O)CCCCCCC(=O)OCC[N+](C)(C)CCCCCCCCCC.[Cl-].[Cl-],,669.9040000000001,"InChI=1S/C36H74N2O4.2ClH/c1-7-9-11-13-15-17-21-25-29-37(3,4)31-33-41-35(39)27-23-19-20-24-28-36(40)42-34-32-38(5,6)30-26-22-18-16-14-12-10-8-2;;/h7-34H2,1-6H3;2*1H/q+2;;/p-2",0.002291,2.6399749108106025,4.5000000000000003e-07
12-6-12,39.2,3.39,25.0,10.1016/j.molliq.2017.01.056,CCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCCCCCC(=O)OCC[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],,726.0119999999998,"InChI=1S/C40H82N2O4.2ClH/c1-7-9-11-13-15-17-19-21-25-29-33-41(3,4)35-37-45-39(43)31-27-23-24-28-32-40(44)46-38-36-42(5,6)34-30-26-22-20-18-16-14-12-10-8-2;;/h7-38H2,1-6H3;2*1H/q+2;;/p-2",0.001479,2.8300318260031077,4.9e-07
14-6-14,32.6,4.05,25.0,10.1016/j.molliq.2017.01.056,CCCCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCCCCCC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],,782.1199999999994,"InChI=1S/C44H90N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-29-33-37-45(3,4)39-41-49-43(47)35-31-27-28-32-36-44(48)50-42-40-46(5,6)38-34-30-26-24-22-20-18-16-14-12-10-8-2;;/h7-42H2,1-6H3;2*1H/q+2;;/p-2",0.000537,3.2700257143004445,4.1e-07
16-6-16,30.6,2.21,25.0,10.1016/j.molliq.2017.01.056,CCCCCCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCCCCCC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],,838.2279999999994,"InChI=1S/C48H98N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-33-37-41-49(3,4)43-45-53-47(51)39-35-31-32-36-40-48(52)54-46-44-50(5,6)42-38-34-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-46H2,1-6H3;2*1H/q+2;;/p-2",4.2000000000000004e-05,4.376750709602099,7.5e-07
18-6-18,33.2,1.93,25.0,10.1016/j.molliq.2017.01.056,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCCCCCC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Cl-].[Cl-],,894.335999999999,"InChI=1S/C52H106N2O4.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-33-37-41-45-53(3,4)47-49-57-51(55)43-39-35-36-40-44-52(56)58-50-48-54(5,6)46-42-38-34-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-50H2,1-6H3;2*1H/q+2;;/p-2",2.2e-05,4.657577319177793,8.6e-07
