Surfactants,CMC(mmol/L),γcmc(mN/m),∂γ/∂lnC,Гmax × 1010/(mol/cm2),Amin/nm2,Temp_Celsius,source_doi,SMILES,reference_doi,method
10-2-10,1.514,39.6,-5.0,0.29,5.73,25.0,10.1016/j.molliq.2017.01.056,CCCCCCCCCC[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)CCCCCCCCCC.[Cl-].[Cl-],,tensiometry
12-2-12,0.218,34.9,-10.3,0.6,2.77,25.0,10.1016/j.molliq.2017.01.056,CCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],,tensiometry
14-2-14,0.209,32.8,-13.5,0.79,2.1,25.0,10.1016/j.molliq.2017.01.056,CCCCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],,tensiometry
16-2-16,0.022,36.7,-15.9,0.93,1.79,25.0,10.1016/j.molliq.2017.01.056,CCCCCCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],,tensiometry
18-2-18,0.04,32.7,-14.0,0.82,2.02,25.0,10.1016/j.molliq.2017.01.056,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Cl-].[Cl-],,tensiometry
10-6-10,2.291,32.0,-7.7,0.45,3.69,25.0,10.1016/j.molliq.2017.01.056,CCCCCCCCCC[N+](C)(C)CCOC(=O)CCCCCCC(=O)OCC[N+](C)(C)CCCCCCCCCC.[Cl-].[Cl-],,tensiometry
12-6-12,1.479,39.2,-8.4,0.49,3.39,25.0,10.1016/j.molliq.2017.01.056,CCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCCCCCC(=O)OCC[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],,tensiometry
14-6-14,0.537,32.6,-7.0,0.41,4.05,25.0,10.1016/j.molliq.2017.01.056,CCCCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCCCCCC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],,tensiometry
16-6-16,0.042,30.6,-12.8,0.75,2.21,25.0,10.1016/j.molliq.2017.01.056,CCCCCCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCCCCCC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],,tensiometry
18-6-18,0.022,33.2,-14.8,0.86,1.93,25.0,10.1016/j.molliq.2017.01.056,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCOC(=O)CCCCCCC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Cl-].[Cl-],,tensiometry
