identifier,AW_ST_CMC,Area_min,source_doi,SMILES,reference_doi,Temp_Celsius,method,Molecular_Weight,InChI,CMC,pCMC,C20,pC20
4a,23.2,0.93,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Cl-],,25,tensiometry,346.943,"InChI=1S/C18H35N2O2.ClH/c1-3-4-5-6-7-8-9-10-11-14-22-16-18(21)15-20-13-12-19(2)17-20;/h12-13,17-18,21H,3-11,14-16H2,1-2H3;1H/q+1;/p-1",0.0037099999999999998,2.4306260903849544,0.000123,3.910094888560602
4b,21.92,0.92,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Br-],,25,tensiometry,391.394,"InChI=1S/C18H35N2O2.BrH/c1-3-4-5-6-7-8-9-10-11-14-22-16-18(21)15-20-13-12-19(2)17-20;/h12-13,17-18,21H,3-11,14-16H2,1-2H3;1H/q+1;/p-1",0.00346,2.4609239012072233,0.00011999999999999999,3.9208187539523753
5a,31.06,0.96,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Cl-],,25,tensiometry,374.99699999999996,"InChI=1S/C20H39N2O2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-16-24-18-20(23)17-22-15-14-21(2)19-22;/h14-15,19-20,23H,3-13,16-18H2,1-2H3;1H/q+1;/p-1",0.00134,2.8728952016351923,0.000177,3.7520267336381936
5b,29.29,0.88,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Br-],,25,tensiometry,419.448,"InChI=1S/C20H39N2O2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-16-24-18-20(23)17-22-15-14-21(2)19-22;/h14-15,19-20,23H,3-13,16-18H2,1-2H3;1H/q+1;/p-1",0.00117,2.9318141382538383,0.000199,3.701146923590293
6a,42.01,0.88,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Cl-],,25,tensiometry,403.05100000000004,"InChI=1S/C22H43N2O2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-18-26-20-22(25)19-24-17-16-23(2)21-24;/h16-17,21-22,25H,3-15,18-20H2,1-2H3;1H/q+1;/p-1",0.00035,3.4559319556497243,0.000125,3.9030899869919438
6b,40.67,0.8,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Br-],,25,tensiometry,447.502,"InChI=1S/C22H43N2O2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-18-26-20-22(25)19-24-17-16-23(2)21-24;/h16-17,21-22,25H,3-15,18-20H2,1-2H3;1H/q+1;/p-1",0.00027,3.5686362358410126,0.0001,4.0
4a,,,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Cl-],,25,conductometry,346.943,"InChI=1S/C18H35N2O2.ClH/c1-3-4-5-6-7-8-9-10-11-14-22-16-18(21)15-20-13-12-19(2)17-20;/h12-13,17-18,21H,3-11,14-16H2,1-2H3;1H/q+1;/p-1",0.00495,2.305394801066431,,
4b,,,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Br-],,25,conductometry,391.394,"InChI=1S/C18H35N2O2.BrH/c1-3-4-5-6-7-8-9-10-11-14-22-16-18(21)15-20-13-12-19(2)17-20;/h12-13,17-18,21H,3-11,14-16H2,1-2H3;1H/q+1;/p-1",0.00413,2.384049948343599,,
5a,,,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Cl-],,25,conductometry,374.99699999999996,"InChI=1S/C20H39N2O2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-16-24-18-20(23)17-22-15-14-21(2)19-22;/h14-15,19-20,23H,3-13,16-18H2,1-2H3;1H/q+1;/p-1",0.00133,2.876148359032914,,
5b,,,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Br-],,25,conductometry,419.448,"InChI=1S/C20H39N2O2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-16-24-18-20(23)17-22-15-14-21(2)19-22;/h14-15,19-20,23H,3-13,16-18H2,1-2H3;1H/q+1;/p-1",0.00127,2.896196279044043,,
6a,,,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Cl-],,25,conductometry,403.05100000000004,"InChI=1S/C22H43N2O2.ClH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-18-26-20-22(25)19-24-17-16-23(2)21-24;/h16-17,21-22,25H,3-15,18-20H2,1-2H3;1H/q+1;/p-1",0.00031,3.5086383061657274,,
6b,,,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Br-],,25,conductometry,447.502,"InChI=1S/C22H43N2O2.BrH/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-18-26-20-22(25)19-24-17-16-23(2)21-24;/h16-17,21-22,25H,3-15,18-20H2,1-2H3;1H/q+1;/p-1",0.00025,3.6020599913279625,,
