IL,CMC (mmol/L),CMC err (mmol/L),γcmc (mN/m),γcmc err (mN/m),∏CMC (mN/m),C20 (10-4),τmax (mol/m2),τmax err (mol/m2),Amin (nm2),Amin err (nm2),cmc/C20,α,ΔG0mic (kJ/mol),ΔG0mic err (kJ/mol),ΔG0ads (kJ/mol),ΔG0ads err (kJ/mol),source_doi,SMILES,reference_doi,Temp_Celsius,method
4a,3.71,0.02,23.2,0.1,49.4,1.23,1.77,0.001,0.93,0.001,3.01,0.33,-39.63,0.001,-67.53,0.01,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Cl-],,25,tensiometry
4b,3.46,0.02,21.92,0.1,50.68,1.2,1.79,0.003,0.92,0.002,2.88,0.23,-42.33,0.001,-70.64,0.01,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Br-],,25,tensiometry
5a,1.34,0.03,31.06,0.1,41.54,1.77,1.72,0.003,0.96,0.002,0.75,0.4,-42.08,0.02,-66.23,0.01,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Cl-],,25,tensiometry
5b,1.17,0.03,29.29,0.1,43.31,1.99,1.88,0.003,0.88,0.002,0.58,0.31,-45.07,0.01,-68.12,0.01,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Br-],,25,tensiometry
6a,0.35,0.01,42.01,0.1,30.59,1.25,1.88,0.003,0.88,0.002,0.28,0.35,-48.70,0.001,-64.97,0.01,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Cl-],,25,tensiometry
6b,0.27,0.01,40.67,0.1,31.93,1,2.07,0.003,0.8,0.001,0.27,0.24,-53.33,0.001,-68.76,0.01,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Br-],,25,tensiometry
4a,4.95,0.1,,,,,,,,,,,,,,,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Cl-],,25,conductometry
4b,4.13,0.1,,,,,,,,,,,,,,,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Br-],,25,conductometry
5a,1.33,0.1,,,,,,,,,,,,,,,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Cl-],,25,conductometry
5b,1.27,0.1,,,,,,,,,,,,,,,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Br-],,25,conductometry
6a,0.31,0.1,,,,,,,,,,,,,,,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Cl-],,25,conductometry
6b,0.25,0.1,,,,,,,,,,,,,,,10.1016/j.colsurfa.2011.11.022,CCCCCCCCCCCCCCCOCC(O)C[n+]1ccn(C)c1.[Br-],,25,conductometry
