identifier,method,AW_ST_CMC,Gamma_max μmol/m2 (n = 2),Area_min,Pi_CMC,SMILES,Temp_Celsius,source_doi,reference_doi,InChI,Molecular_Weight,CMC,pCMC,Gamma_max
11,tensiometry,26.2,1.25,1.32,45.8,CCCCCCCCCCOc1ccc[n+](CC(O)C[n+]2cccc(OCCCCCCCCCC)c2)c1.[Br-].[Br-],25,10.1021/la5045267,,"InChI=1S/C33H56N2O3.2BrH/c1-3-5-7-9-11-13-15-17-25-37-32-21-19-23-34(29-32)27-31(36)28-35-24-20-22-33(30-35)38-26-18-16-14-12-10-8-6-4-2;;/h19-24,29-31,36H,3-18,25-28H2,1-2H3;2*1H/q+2;;/p-2",688.6300000000005,0.001,3.0,1.25e-06
12,tensiometry,33.64,1.14,1.45,38.36,CCCCCCCCCCCCOc1ccc[n+](CC(O)C[n+]2cccc(OCCCCCCCCCCCC)c2)c1.[Br-].[Br-],25,10.1021/la5045267,,"InChI=1S/C37H64N2O3.2BrH/c1-3-5-7-9-11-13-15-17-19-21-29-41-36-25-23-27-38(33-36)31-35(40)32-39-28-24-26-37(34-39)42-30-22-20-18-16-14-12-10-8-6-4-2;;/h23-28,33-35,40H,3-22,29-32H2,1-2H3;2*1H/q+2;;/p-2",744.7380000000003,0.00014000000000000001,3.853871964321762,1.1399999999999999e-06
13,tensiometry,47.8,0.82,2.0,24.2,CCCCCCCCCCCCCCOc1ccc[n+](CC(O)C[n+]2cccc(OCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],25,10.1021/la5045267,,"InChI=1S/C41H72N2O3.2BrH/c1-3-5-7-9-11-13-15-17-19-21-23-25-33-45-40-29-27-31-42(37-40)35-39(44)36-43-32-28-30-41(38-43)46-34-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h27-32,37-39,44H,3-26,33-36H2,1-2H3;2*1H/q+2;;/p-2",800.846,2.6e-05,4.585026652029182,8.2e-07
14,tensiometry,,,,,CCCCCCCCCCCCCCCCOc1ccc[n+](CC(O)C[n+]2cccc(OCCCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],25,10.1021/la5045267,,"InChI=1S/C45H80N2O3.2BrH/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-37-49-44-33-31-35-46(41-44)39-43(48)40-47-36-32-34-45(42-47)50-38-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h31-36,41-43,48H,3-30,37-40H2,1-2H3;2*1H/q+2;;/p-2",856.9539999999997,,,
11,conductometry,,,,,CCCCCCCCCCOc1ccc[n+](CC(O)C[n+]2cccc(OCCCCCCCCCC)c2)c1.[Br-].[Br-],25,10.1021/la5045267,,"InChI=1S/C33H56N2O3.2BrH/c1-3-5-7-9-11-13-15-17-25-37-32-21-19-23-34(29-32)27-31(36)28-35-24-20-22-33(30-35)38-26-18-16-14-12-10-8-6-4-2;;/h19-24,29-31,36H,3-18,25-28H2,1-2H3;2*1H/q+2;;/p-2",688.6300000000005,0.001,3.0,
12,conductometry,,,,,CCCCCCCCCCCCOc1ccc[n+](CC(O)C[n+]2cccc(OCCCCCCCCCCCC)c2)c1.[Br-].[Br-],25,10.1021/la5045267,,"InChI=1S/C37H64N2O3.2BrH/c1-3-5-7-9-11-13-15-17-19-21-29-41-36-25-23-27-38(33-36)31-35(40)32-39-28-24-26-37(34-39)42-30-22-20-18-16-14-12-10-8-6-4-2;;/h23-28,33-35,40H,3-22,29-32H2,1-2H3;2*1H/q+2;;/p-2",744.7380000000003,0.00015,3.8239087409443187,
13,conductometry,,,,,CCCCCCCCCCCCCCOc1ccc[n+](CC(O)C[n+]2cccc(OCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],25,10.1021/la5045267,,"InChI=1S/C41H72N2O3.2BrH/c1-3-5-7-9-11-13-15-17-19-21-23-25-33-45-40-29-27-31-42(37-40)35-39(44)36-43-32-28-30-41(38-43)46-34-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h27-32,37-39,44H,3-26,33-36H2,1-2H3;2*1H/q+2;;/p-2",800.846,2.7e-05,4.568636235841013,
14,conductometry,,,,,CCCCCCCCCCCCCCCCOc1ccc[n+](CC(O)C[n+]2cccc(OCCCCCCCCCCCCCCCC)c2)c1.[Br-].[Br-],25,10.1021/la5045267,,"InChI=1S/C45H80N2O3.2BrH/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-37-49-44-33-31-35-46(41-44)39-43(48)40-47-36-32-34-45(42-47)50-38-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2;;/h31-36,41-43,48H,3-30,37-40H2,1-2H3;2*1H/q+2;;/p-2",856.9539999999997,3e-06,5.522878745280337,
11,fluorimetry,,,,,CCCCCCCCCCOc1ccc[n+](CC(O)C[n+]2cccc(OCCCCCCCCCC)c2)c1.[Br-].[Br-],25,10.1021/la5045267,,"InChI=1S/C33H56N2O3.2BrH/c1-3-5-7-9-11-13-15-17-25-37-32-21-19-23-34(29-32)27-31(36)28-35-24-20-22-33(30-35)38-26-18-16-14-12-10-8-6-4-2;;/h19-24,29-31,36H,3-18,25-28H2,1-2H3;2*1H/q+2;;/p-2",688.6300000000005,0.0009,3.0457574905606752,
12,fluorimetry,,,,,CCCCCCCCCCCCOc1ccc[n+](CC(O)C[n+]2cccc(OCCCCCCCCCCCC)c2)c1.[Br-].[Br-],25,10.1021/la5045267,,"InChI=1S/C37H64N2O3.2BrH/c1-3-5-7-9-11-13-15-17-19-21-29-41-36-25-23-27-38(33-36)31-35(40)32-39-28-24-26-37(34-39)42-30-22-20-18-16-14-12-10-8-6-4-2;;/h23-28,33-35,40H,3-22,29-32H2,1-2H3;2*1H/q+2;;/p-2",744.7380000000003,0.0001,4.0,
