surfactant,method,cmc mM,cmc err,beta,g_cmc mN/m,g_cmc mN/m err,Gamma_max μmol/m2 (n = 2),Gamma_max μmol/m2 (n = 3),Gamma_max μmol/m2 err,Amin nm2 (n = 2),Amin nm2 (n  = 3),Amin nm2 err,C20 (10−4),Pi_cmc mN/m,Pi_cmc mN/m err,ΔGaods kJ/mol,ΔGaods kJ/mol err,SMILES,Temp_Celsius,source_doi,reference_doi
11,tensiometry,1,,,26.2,0.1,1.25,0.83,0.04,1.32,1.98,0.03,1.34,45.8,0.1,-71.54,0.12,OC(C[N+]1=CC=CC(OCCCCCCCCCC)=C1)C[N+]2=CC(OCCCCCCCCCC)=CC=C2.[Br-].[Br-],25,10.1021/la5045267,
12,tensiometry,0.14,,,33.64,0.1,1.14,0.76,0.03,1.45,2.1,0.02,0.21,38.36,0.1,-70.39,0.1,OC(C[N+]1=CC=CC(OCCCCCCCCCCCC)=C1)C[N+]2=CC(OCCCCCCCCCCCC)=CC=C2.[Br-].[Br-],25,10.1021/la5045267,
13,tensiometry,0.026,,,47.8,0.1,0.82,0.55,0.03,2,3,0.02,0.17,24.2,0.1,-65.51,0.13,OC(C[N+]1=CC=CC(OCCCCCCCCCCCCCC)=C1)C[N+]2=CC(OCCCCCCCCCCCCCC)=CC=C2.[Br-].[Br-],25,10.1021/la5045267,
14,tensiometry,,,,,,,,,,,,,,,,,OC(C[N+]1=CC=CC(OCCCCCCCCCCCCCCCC)=C1)C[N+]2=CC(OCCCCCCCCCCCCCCCC)=CC=C2.[Br-].[Br-],25,10.1021/la5045267,
11,conductometry,1,,0.79,,,,,,,,,,,,,,OC(C[N+]1=CC=CC(OCCCCCCCCCC)=C1)C[N+]2=CC(OCCCCCCCCCC)=CC=C2.[Br-].[Br-],25,10.1021/la5045267,
12,conductometry,0.15,,0.63,,,,,,,,,,,,,,OC(C[N+]1=CC=CC(OCCCCCCCCCCCC)=C1)C[N+]2=CC(OCCCCCCCCCCCC)=CC=C2.[Br-].[Br-],25,10.1021/la5045267,
13,conductometry,0.027,,0.5,,,,,,,,,,,,,,OC(C[N+]1=CC=CC(OCCCCCCCCCCCCCC)=C1)C[N+]2=CC(OCCCCCCCCCCCCCC)=CC=C2.[Br-].[Br-],25,10.1021/la5045267,
14,conductometry,0.003,,0.37,,,,,,,,,,,,,,OC(C[N+]1=CC=CC(OCCCCCCCCCCCCCCCC)=C1)C[N+]2=CC(OCCCCCCCCCCCCCCCC)=CC=C2.[Br-].[Br-],25,10.1021/la5045267,
11,fluorimetry,0.9,,,,,,,,,,,,,,,,OC(C[N+]1=CC=CC(OCCCCCCCCCC)=C1)C[N+]2=CC(OCCCCCCCCCC)=CC=C2.[Br-].[Br-],25,10.1021/la5045267,
12,fluorimetry,0.1,,,,,,,,,,,,,,,,OC(C[N+]1=CC=CC(OCCCCCCCCCCCC)=C1)C[N+]2=CC(OCCCCCCCCCCCC)=CC=C2.[Br-].[Br-],25,10.1021/la5045267,
13,fluorimetry,0.025,,,,,,,,,,,,,,,,OC(C[N+]1=CC=CC(OCCCCCCCCCCCCCC)=C1)C[N+]2=CC(OCCCCCCCCCCCCCC)=CC=C2.[Br-].[Br-],25,10.1021/la5045267,
14,fluorimetry,0.004,,,,,,,,,,,,,,,,OC(C[N+]1=CC=CC(OCCCCCCCCCCCCCCCC)=C1)C[N+]2=CC(OCCCCCCCCCCCCCCCC)=CC=C2.[Br-].[Br-],25,10.1021/la5045267,
11,calorimetry,1.02,0.01,,,,,,,,,,,,,,,OC(C[N+]1=CC=CC(OCCCCCCCCCC)=C1)C[N+]2=CC(OCCCCCCCCCC)=CC=C2.[Br-].[Br-],25,10.1021/la5045267,
12,calorimetry,0.15,0.01,,,,,,,,,,,,,,,OC(C[N+]1=CC=CC(OCCCCCCCCCCCC)=C1)C[N+]2=CC(OCCCCCCCCCCCC)=CC=C2.[Br-].[Br-],25,10.1021/la5045267,
13,calorimetry,0.021,0.002,,,,,,,,,,,,,,,OC(C[N+]1=CC=CC(OCCCCCCCCCCCCCC)=C1)C[N+]2=CC(OCCCCCCCCCCCCCC)=CC=C2.[Br-].[Br-],25,10.1021/la5045267,
14,calorimetry,0.006,0.002,,,,,,,,,,,,,,,OC(C[N+]1=CC=CC(OCCCCCCCCCCCCCCCC)=C1)C[N+]2=CC(OCCCCCCCCCCCCCCCC)=CC=C2.[Br-].[Br-],25,10.1021/la5045267,
