identifier,CMC,AW_ST_CMC,F x 10^20/ m2,source_doi,SMILES,reference_doi,Temp_Celsius,method,Molecular_Weight,InChI,Gamma_max,Area_min,pCMC
I,0.42,42.4,119.9,10.1016/0021-9797(86)90417-0,CCCCCC[N+](C)(C)CCCCCCC[N+](C)(C)CCCCCC.[Br-].[Br-],,20,tensiometry,516.4910000000002,"InChI=1S/C23H52N2.2BrH/c1-7-9-11-16-20-24(3,4)22-18-14-13-15-19-23-25(5,6)21-17-12-10-8-2;;/h7-23H2,1-6H3;2*1H/q+2;;/p-2",1.38e-06,1.199,0.37675070960209955
II,0.049,40.3,116.9,10.1016/0021-9797(86)90417-0,CCCCCCCC[N+](C)(C)CCCCCCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],,20,tensiometry,572.5990000000003,"InChI=1S/C27H60N2.2BrH/c1-7-9-11-13-16-20-24-28(3,4)26-22-18-15-19-23-27-29(5,6)25-21-17-14-12-10-8-2;;/h7-27H2,1-6H3;2*1H/q+2;;/p-2",1.42e-06,1.169,1.3098039199714864
III,0.015,39.7,129.6,10.1016/0021-9797(86)90417-0,CCCCCCCCC[N+](C)(C)CCCCCCC[N+](C)(C)CCCCCCCCC.[Br-].[Br-],,20,tensiometry,600.6530000000004,"InChI=1S/C29H64N2.2BrH/c1-7-9-11-13-15-18-22-26-30(3,4)28-24-20-17-21-25-29-31(5,6)27-23-19-16-14-12-10-8-2;;/h7-29H2,1-6H3;2*1H/q+2;;/p-2",1.28e-06,1.2959999999999998,1.8239087409443189
IV,0.0077,39.5,127.6,10.1016/0021-9797(86)90417-0,CCCCCCCCCC[N+](C)(C)CCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],,20,tensiometry,628.7070000000004,"InChI=1S/C31H68N2.2BrH/c1-7-9-11-13-15-17-20-24-28-32(3,4)30-26-22-19-23-27-31-33(5,6)29-25-21-18-16-14-12-10-8-2;;/h7-31H2,1-6H3;2*1H/q+2;;/p-2",1.3e-06,1.276,2.113509274827518
V,0.0023,40.1,100.2,10.1016/0021-9797(86)90417-0,CCCCCCCCCCC[N+](C)(C)CCCCCCC[N+](C)(C)CCCCCCCCCCC.[Br-].[Br-],,20,tensiometry,656.7610000000005,"InChI=1S/C33H72N2.2BrH/c1-7-9-11-13-15-17-19-22-26-30-34(3,4)32-28-24-21-25-29-33-35(5,6)31-27-23-20-18-16-14-12-10-8-2;;/h7-33H2,1-6H3;2*1H/q+2;;/p-2",1.66e-06,1.002,2.638272163982407
VI,0.001,40.0,114.5,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCC[N+](C)(C)CCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],,20,tensiometry,684.8150000000006,"InChI=1S/C35H76N2.2BrH/c1-7-9-11-13-15-17-19-21-24-28-32-36(3,4)34-30-26-23-27-31-35-37(5,6)33-29-25-22-20-18-16-14-12-10-8-2;;/h7-35H2,1-6H3;2*1H/q+2;;/p-2",1.4499999999999999e-06,1.145,3.0
VII,0.00049,39.7,122.8,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCCC[N+](C)(C)CCCCCCC[N+](C)(C)CCCCCCCCCCCCC.[Br-].[Br-],,20,tensiometry,712.8690000000005,"InChI=1S/C37H80N2.2BrH/c1-7-9-11-13-15-17-19-21-23-26-30-34-38(3,4)36-32-28-25-29-33-37-39(5,6)35-31-27-24-22-20-18-16-14-12-10-8-2;;/h7-37H2,1-6H3;2*1H/q+2;;/p-2",1.35e-06,1.228,3.309803919971486
VIII,0.0002,39.6,119.9,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCCCC[N+](C)(C)CCCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],,20,tensiometry,740.9230000000003,"InChI=1S/C39H84N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-28-32-36-40(3,4)38-34-30-27-31-35-39-41(5,6)37-33-29-26-24-22-20-18-16-14-12-10-8-2;;/h7-39H2,1-6H3;2*1H/q+2;;/p-2",1.38e-06,1.199,3.6989700043360187
IX,9.3e-06,36.6,104.8,10.1016/0021-9797(86)90417-0,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],,20,tensiometry,797.0310000000001,"InChI=1S/C43H92N2.2BrH/c1-7-9-11-13-15-17-19-21-23-25-27-29-32-36-40-44(3,4)42-38-34-31-35-39-43-45(5,6)41-37-33-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h7-43H2,1-6H3;2*1H/q+2;;/p-2",1.5800000000000001e-06,1.048,5.031517051446065
X,0.037,37.1,98.3,10.1016/0021-9797(86)90417-0,CCCCCCCC[N+](C)(C)CCCN(C)CCC[N+](C)(C)CCCCCCCC.[Br-].[Br-],,20,tensiometry,587.6140000000004,"InChI=1S/C27H61N3.2BrH/c1-8-10-12-14-16-18-24-29(4,5)26-20-22-28(3)23-21-27-30(6,7)25-19-17-15-13-11-9-2;;/h8-27H2,1-7H3;2*1H/q+2;;/p-2",1.69e-06,0.9829999999999999,1.431798275933005
