Compound,R,X,CMC/ mol/dm3,γcmc/ mN/m,-(dγ/dlogc)T,Γmax x 10^6/ mol/m2,F x 10^20/ m2,-ΔGm/ kJ/mol,(nCH2)eq,I,source_doi,SMILES,reference_doi,Temp_Celsius,
I,Hexyl,CH2,0.42,42.4,15.54,1.38,119.9,2.1,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCC)CCCCCCC[N+](C)(CCCCCC)C.[Br-].[Br-],,20,tensiometry
II,Octyl,CH2,0.049,40.3,15.95,1.42,116.9,7.4,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCC)CCCCCCC[N+](C)(CCCCCCCC)C.[Br-].[Br-],,20,tensiometry
III,Nonyl,CH2,0.015,39.7,14.38,1.28,129.6,10.3,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCC)CCCCCCC[N+](C)(CCCCCCCCC)C.[Br-].[Br-],,20,tensiometry
IV,Decyl,CH2,0.0077,39.5,14.61,1.3,127.6,11.9,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCC)CCCCCCC[N+](C)(CCCCCCCCCC)C.[Br-].[Br-],,20,tensiometry
V,Undecyl,CH2,0.0023,40.1,18.61,1.66,100.2,14.8,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCC)CCCCCCC[N+](C)(CCCCCCCCCCC)C.[Br-].[Br-],,20,tensiometry
VI,Dodecyl,CH2,0.001,40,16.28,1.45,114.5,16.8,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCC)CCCCCCC[N+](C)(CCCCCCCCCCCC)C.[Br-].[Br-],,20,tensiometry
VII,Tridecyl,CH2,0.00049,39.7,15.18,1.35,122.8,18.6,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCC)CCCCCCC[N+](C)(CCCCCCCCCCCCC)C.[Br-].[Br-],,20,tensiometry
VIII,Tetradecyl,CH2,0.0002,39.6,15.55,1.38,119.9,20.8,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCCC)CCCCCCC[N+](C)(CCCCCCCCCCCCCC)C.[Br-].[Br-],,20,tensiometry
IX,Hexadecyl,CH2,9.30E-06,36.6,17.79,1.58,104.8,28.3,,,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCCCCCCCCCC)CCCCCCC[N+](C)(CCCCCCCCCCCCCCCC)C.[Br-].[Br-],,20,tensiometry
X,Octyl,NCH3,0.037,37.1,18.96,1.69,98.3,8,7.9,0.99,10.1016/0021-9797(86)90417-0,C[N+](C)(CCCCCCCC)CCCN(C)CCC[N+](C)(CCCCCCCC)C.[Br-].[Br-],,20,tensiometry
