Monomeric surfactants,γ/ mN/m,cmc/ mol/L,πcmc/ mN/m,Γmax/ 10^10 mol/cm2,Amin/ nm2,pC20,ΔG0mic (kJ/mol),ΔG0ads/ kJ/mol,source_doi,SMILES,reference_doi,Temp_Celsius
M12,36,0.05,36,0.692,2.399,0.001,14.816,14.868,10.1080/01932691.2012.683979,O=C(Oc(ccc1)c2c1ccc[n+]2CCCCCCCCCC)CCCCCCCCCCC.[Br-],,25.0
M14,45,0.042,27,0.784,2.118,0.0046,15.693,15.728,10.1080/01932691.2012.683979,O=C(Oc(ccc1)c2c1ccc[n+]2CCCCCCCCCC)CCCCCCCCCCCCC.[Br-],,25.0
M16,49,0.02,26,0.799,2.078,0.0026,19.363,19.395,10.1080/01932691.2012.683979,O=C(Oc(ccc1)c2c1ccc[n+]2CCCCCCCCCC)CCCCCCCCCCCCCCC.[Br-],,25.0
M18,47,0.015,23,0.873,1.901,0.006,20.787,20.813,10.1080/01932691.2012.683979,O=C(Oc(ccc1)c2c1ccc[n+]2CCCCCCCCCC)CCCCCCCCCCCCCCCCC.[Br-],,25.0
12-6-12,41,0.02,31,0.388,4.279,0.00032,19.369,19.443,10.1080/01932691.2012.683979,CCCCCCCCCCCC(Oc(ccc1)c2c1ccc[n+]2CCCCCC[n+](ccc3)c4c3cccc4OC(CCCCCCCCCCC)=O)=O.[Br-].[Br-],,25.0
14-6-14,43,0.016,29,0.44,3.77,0.00145,20.467,20.533,10.1080/01932691.2012.683979,CCCCCCCCCCCCCC(Oc(ccc1)c2c1ccc[n+]2CCCCCC[n+](ccc3)c4c3cccc4OC(CCCCCCCCCCCCC)=O)=O.[Br-].[Br-],,25.0
16-6-16,44,0.01,28,0.461,3.599,0.00054,22.794,22.854,10.1080/01932691.2012.683979,CCCCCCCCCCCCCCCC(Oc(ccc1)c2c1ccc[n+]2CCCCCC[n+](ccc3)c4c3cccc4OC(CCCCCCCCCCCCCCC)=O)=O.[Br-].[Br-],,25.0
18-6-18,46,0.01,26,0.513,3.24,0.0022,22.794,22.848,10.1080/01932691.2012.683979,CCCCCCCCCCCCCCCCCC(Oc(ccc1)c2c1ccc[n+]2CCCCCC[n+](ccc3)c4c3cccc4OC(CCCCCCCCCCCCCCCCC)=O)=O.[Br-].[Br-],,25.0
12-10-12,43,0.01,29,0.367,4.519,0.0003,22.794,22.872,10.1080/01932691.2012.683979,CCCCCCCCCCCC(Oc(ccc1)c2c1ccc[n+]2CCCCCCCCCC[n+](ccc3)c4c3cccc4OC(CCCCCCCCCCC)=O)=O.[Br-].[Br-],,25.0
14-10-14,45,0.0056,27,0.401,4.14,0.00054,25.663,25.731,10.1080/01932691.2012.683979,CCCCCCCCCCCCCC(Oc(ccc1)c2c1ccc[n+]2CCCCCCCCCC[n+](ccc3)c4c3cccc4OC(CCCCCCCCCCCCC)=O)=O.[Br-].[Br-],,25.0
16-10-16,46,0.0025,26,0.418,3.97,0.00021,29.655,29.717,10.1080/01932691.2012.683979,CCCCCCCCCCCCCCCC(Oc(ccc1)c2c1ccc[n+]2CCCCCCCCCC[n+](ccc3)c4c3cccc4OC(CCCCCCCCCCCCCCC)=O)=O.[Br-].[Br-],,25.0
18-10-18,50,0.0002,22,0.449,3.698,0.0001,42.157,42.206,10.1080/01932691.2012.683979,CCCCCCCCCCCCCCCCCC(Oc(ccc1)c2c1ccc[n+]2CCCCCCCCCC[n+](ccc3)c4c3cccc4OC(CCCCCCCCCCCCCCCCC)=O)=O.[Br-].[Br-],,25.0
