identifier,Temp_Celsius,CMC,AW_ST_CMC,source_doi,SMILES,reference_doi,method,Molecular_Weight,InChI,pCMC
C4n6,20,0.796,34.3,10.1007/BF01500880,CCCCOCCOCCOCCOCCOCCOCCO,,tensiometry,338.4410000000001,"InChI=1S/C16H34O7/c1-2-3-5-18-7-9-20-11-13-22-15-16-23-14-12-21-10-8-19-6-4-17/h17H,2-16H2,1H3",0.09908693226233094
C4n6,30,0.76,,10.1007/BF01500880,CCCCOCCOCCOCCOCCOCCOCCO,,tensiometry,338.4410000000001,"InChI=1S/C16H34O7/c1-2-3-5-18-7-9-20-11-13-22-15-16-23-14-12-21-10-8-19-6-4-17/h17H,2-16H2,1H3",0.11918640771920865
C4n6,40,0.71,,10.1007/BF01500880,CCCCOCCOCCOCCOCCOCCOCCO,,tensiometry,338.4410000000001,"InChI=1S/C16H34O7/c1-2-3-5-18-7-9-20-11-13-22-15-16-23-14-12-21-10-8-19-6-4-17/h17H,2-16H2,1H3",0.14874165128092473
C6n6,20,0.074,35.0,10.1007/BF01500880,CCCCCCOCCOCCOCCOCCOCCOCCO,,tensiometry,366.4950000000002,"InChI=1S/C18H38O7/c1-2-3-4-5-7-20-9-11-22-13-15-24-17-18-25-16-14-23-12-10-21-8-6-19/h19H,2-18H2,1H3",1.1307682802690238
C6n6,30,0.065,,10.1007/BF01500880,CCCCCCOCCOCCOCCOCCOCCOCCO,,tensiometry,366.4950000000002,"InChI=1S/C18H38O7/c1-2-3-4-5-7-20-9-11-22-13-15-24-17-18-25-16-14-23-12-10-21-8-6-19/h19H,2-18H2,1H3",1.1870866433571443
C6n6,40,0.052,,10.1007/BF01500880,CCCCCCOCCOCCOCCOCCOCCOCCO,,tensiometry,366.4950000000002,"InChI=1S/C18H38O7/c1-2-3-4-5-7-20-9-11-22-13-15-24-17-18-25-16-14-23-12-10-21-8-6-19/h19H,2-18H2,1H3",1.2839966563652008
Me2n6,20,0.91,35.0,10.1007/BF01500880,CC(C)CCOCCOCCOCCOCCOCCOCCO,,tensiometry,352.46800000000013,"InChI=1S/C17H36O7/c1-17(2)3-5-19-7-9-21-11-13-23-15-16-24-14-12-22-10-8-20-6-4-18/h17-18H,3-16H2,1-2H3",0.040958607678906384
Me2n6,30,0.88,,10.1007/BF01500880,CC(C)CCOCCOCCOCCOCCOCCOCCO,,tensiometry,352.46800000000013,"InChI=1S/C17H36O7/c1-17(2)3-5-19-7-9-21-11-13-23-15-16-24-14-12-22-10-8-20-6-4-18/h17-18H,3-16H2,1-2H3",0.05551732784983137
Me2n6,40,0.85,,10.1007/BF01500880,CC(C)CCOCCOCCOCCOCCOCCOCCO,,tensiometry,352.46800000000013,"InChI=1S/C17H36O7/c1-17(2)3-5-19-7-9-21-11-13-23-15-16-24-14-12-22-10-8-20-6-4-18/h17-18H,3-16H2,1-2H3",0.07058107428570728
Et2n6,20,0.1,33.6,10.1007/BF01500880,CCC(CC)CCOCCOCCOCCOCCOCCOCCO,,tensiometry,380.5220000000002,"InChI=1S/C19H40O7/c1-3-19(4-2)5-7-21-9-11-23-13-15-25-17-18-26-16-14-24-12-10-22-8-6-20/h19-20H,3-18H2,1-2H3",1.0
Et2n6,30,0.093,,10.1007/BF01500880,CCC(CC)CCOCCOCCOCCOCCOCCOCCO,,tensiometry,380.5220000000002,"InChI=1S/C19H40O7/c1-3-19(4-2)5-7-21-9-11-23-13-15-25-17-18-26-16-14-24-12-10-22-8-6-20/h19-20H,3-18H2,1-2H3",1.031517051446065
Et2n6,40,0.087,,10.1007/BF01500880,CCC(CC)CCOCCOCCOCCOCCOCCOCCO,,tensiometry,380.5220000000002,"InChI=1S/C19H40O7/c1-3-19(4-2)5-7-21-9-11-23-13-15-25-17-18-26-16-14-24-12-10-22-8-6-20/h19-20H,3-18H2,1-2H3",1.0604807473813815
Pr2n6,20,0.023,31.7,10.1007/BF01500880,CCCC(CCC)CCOCCOCCOCCOCCOCCOCCO,,tensiometry,408.5760000000003,"InChI=1S/C21H44O7/c1-3-5-21(6-4-2)7-9-23-11-13-25-15-17-27-19-20-28-18-16-26-14-12-24-10-8-22/h21-22H,3-20H2,1-2H3",1.6382721639824072
