Compound,Temperature/ oC,CMC/ mol/L,deltaHm,deltaSm,Ao*/ A2,limiting at 20oC/ dynes/cm,source_doi,SMILES,reference_doi
C4n6,20,0.796,0.8,2.0,45.0,34.3,10.1007/BF01500880,CCCCOCCOCCOCCOCCOCCOCCO,
C4n6,30,0.76,,,,,10.1007/BF01500880,CCCCOCCOCCOCCOCCOCCOCCO,
C4n6,40,0.71,,,,,10.1007/BF01500880,CCCCOCCOCCOCCOCCOCCOCCO,
C6n6,20,0.074,2.2,7.4,30.0,35.0,10.1007/BF01500880,CCCCCCOCCOCCOCCOCCOCCOCCO,
C6n6,30,0.065,,,,,10.1007/BF01500880,CCCCCCOCCOCCOCCOCCOCCOCCO,
C6n6,40,0.052,,,,,10.1007/BF01500880,CCCCCCOCCOCCOCCOCCOCCOCCO,
Me2n6,20,0.91,0.6,2.2,20.0,35.0,10.1007/BF01500880,C(C)(C)CCOCCOCCOCCOCCOCCOCCO,
Me2n6,30,0.88,,,,,10.1007/BF01500880,C(C)(C)CCOCCOCCOCCOCCOCCOCCO,
Me2n6,40,0.85,,,,,10.1007/BF01500880,C(C)(C)CCOCCOCCOCCOCCOCCOCCO,
Et2n6,20,0.1,1.2,4.0,45.0,33.6,10.1007/BF01500880,C(CC)(CC)CCOCCOCCOCCOCCOCCOCCO,
Et2n6,30,0.093,,,,,10.1007/BF01500880,C(CC)(CC)CCOCCOCCOCCOCCOCCOCCO,
Et2n6,40,0.087,,,,,10.1007/BF01500880,C(CC)(CC)CCOCCOCCOCCOCCOCCOCCO,
Pr2n6,30,0.023,2.0,6.7,35.0,31.7,10.1007/BF01500880,C(CCC)(CCC)CCOCCOCCOCCOCCOCCOCCO,
Pr2n6,30,0.02,,,,,10.1007/BF01500880,C(CCC)(CCC)CCOCCOCCOCCOCCOCCOCCO,
Bu2n6,15,0.00336,2.9,9.7,40.0,28.3,10.1007/BF01500880,C(CCCC)(CCCC)CCOCCOCCOCCOCCOCCOCCO,
Bu2n6,20,0.0031,,,,,10.1007/BF01500880,C(CCCC)(CCCC)CCOCCOCCOCCOCCOCCOCCO,
Bu2n6,25,0.00284,,,,,10.1007/BF01500880,C(CCCC)(CCCC)CCOCCOCCOCCOCCOCCOCCO,
Bu2n9,20,0.0032,2.3,7.7,,32.6,10.1007/BF01500880,C(CCCC)(CCCC)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,
Bu2n9,30,0.00279,,,,,10.1007/BF01500880,C(CCCC)(CCCC)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,
Bu2n9,40,0.00243,,,,,10.1007/BF01500880,C(CCCC)(CCCC)CCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,
