id,SMILES,Canonical_SMILES fixed,Ref_CMC,Primary source
831,CCCCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,CCCCCCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,10.1021/acs.iecr.6b02890,10.1006/jcis.1996.0054
853,CCCCCCCCCCCCOC1CC(O)C(OC2OC(CO)C(O)C(O)C2O)C(CO)O1,CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,10.1021/acs.iecr.6b02890,10.1021/la026943m
880,CCCCCCCCCCCCOCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,CCCCCCCCCCCC(=O)OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,10.1021/acs.iecr.6b02890,10.1021/la001309z
1150,CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,CCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,10.1021/acs.iecr.6b02890,10.1006/jcis.2001.7704
1166,CCCCCCCCCCOC1CC(O)C(OC2OC(CO)C(O)C(O)C2O)C(CO)O1,CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,10.1021/acs.iecr.6b02890,10.1021/la980519x
1285,CCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,CCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,10.1021/acs.iecr.6b02890,10.1006/jcis.1996.0054
1288,CCCCCCCCCOC1OC(CO)C(O)C(O)C1O,CCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,10.1021/acs.iecr.6b02890,10.1021/la035613e
1450,CCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,CCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,10.1021/acs.iecr.6b02890,10.1006/jcis.1996.0054
1452,CCCCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCCOCC(O)C(O)C(O)CO,10.1021/acs.iecr.6b02890,10.1016/S0378-5173(99)00078-2
1501,CCCCCSC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,CCCCCSCC(O)C(O)C(O)CO,10.1021/acs.iecr.6b02890,10.1016/S0378-5173(99)00078-2
35,CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,CC(C)CCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,10.1021/acs.iecr.6b02890
36,CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,CC(C)CCCC(C)CCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,10.1021/acs.iecr.6b02890,10.1016/j.chemphyslip.2005.01.001
83,CCCCCCCC(=O)C(O)C1OC(N)C(O)C(O)C1O,CCCCCCCC(=O)N[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,10.1021/acs.iecr.6b02890,10.1080/07328309408011677
85,CCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,CCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,10.1021/acs.iecr.6b02890,10.1246/bcsj.60.2719
111,CCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,CCCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,10.1021/acs.iecr.6b02890,10.1246/bcsj.60.2719
149,CCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,CCCCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO\,10.1021/acs.iecr.6b02890,10.1246/bcsj.60.2719
464,CCCCCCCCCCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,CCCCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,10.1021/acs.iecr.6b02890,10.1006/jcis.2001.7704
516,CCCCCCCCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,CCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,10.1021/acs.iecr.6b02890,10.1006/jcis.2001.7704
84,CCCCCCCC(=O)CN(N=O)C1OC(CO)C(O)C(O)C1O,CCCCCCCC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,10.1021/acs.iecr.6b02890,10.1080/07328309408011677
665,CCCCCCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(O)C(O)C(O)C1O)C(O)CO,CCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,10.1021/acs.iecr.6b02890,10.1006/jcis.2001.7704
197,CCCCCCCCCCC(=O)OC(O)[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@H]3O[C@H](O[C@]4(CO)O[C@H](CO)[C@@H](O)[C@@H]4O)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,CCCCCCCCCCCC(=O)OC(O)[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@H]3O[C@H](O[C@]4(CO)O[C@H](CO)[C@@H](O)[C@@H]4O)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,10.1021/acs.iecr.6b02890,10.1016/0927-7757(95)03250-H
1153,CCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,CCCCCCCCCCNC(=O)[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,10.1021/acs.iecr.6b02890,10.1006/jcis.1996.0054
