molecule,CMC (mM),T (°C),log CMC (M),set,ref,SMILES,pCMC,method
"octyl-D,L-glycerol",5.8,25,−2.2,T,10,CCCCCCCCOCC(O)CO,2.2365720064370627,
octyl glycol,4.9,25,−2.3,T,10,CCCCCCCCOCCO,2.309803919971486,
octyl-β-D-glucoside,20.0,25,−1.7,T,14,CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1.6989700043360187,
octyl-α-D-mannoside,6.0,25,−2.2,T,14,,2.221848749616356,
octyl-β-D-galactoside,16.0,25,−1.8,T,14,,1.79588001734407,
decyl-α-D-mannoside,0.25,25,−3.6,T,14,,3.6020599913279625,
decyl-β-D-galactoside,0.7,25,−3.1,V,14,,3.154901959985743,
dodecyl-α-D-mannoside,0.05,25,−4.3,T,14,,4.301029995663981,
dodecyl-β-D-Galactoside,0.2,25,−3.7,T,14,,3.6989700043360187,
"1-O-butyl-D,L-xylitol",58.0,25,−1.2,T,53,,1.2365720064370627,
"1-O-pentyl-D,L-xylitol",38.0,25,−1.4,T,53,,1.4202164033831899,
"1-O-hexyl-D,L-xylitol",9.4,25,−2.0,T,53,,2.0268721464003012,
"1-O-heptyl-D,L-xylitol",9.2,25,−2.0,V,53,CCCCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,2.036212172654445,
"1-O-octyl-D,L-xylitol",6.7,25,−2.2,T,53,CCCCCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,2.1739251972991736,
"1-O-nonyl-D,L-xylitol",2.1,25,−2.7,T,53,CCCCCCCCCOC([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,2.6777807052660805,
"1-O-pentanoyl-D,L-xylitol",120.0,25,−0.9,T,53,CCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,0.9208187539523752,
"1-O-hexanoyl-D,L-xylitol",58.0,25,−1.2,V,53,CCCCCCOC(=O)C([C@@H](O)C(O)[C@@H](O)CO)[C@@H](O)CO,1.2365720064370627,
