ref,key
1,rosen2012
2,dembitsky2004
3,myers2006
4,eby1989
5,fuerstenau1985
6,muller2015
7,jones1999
8,carpenter2008
9,ruiz2009
10,shinoda1959
11,liljekvist2001
12,bazin1998
13,kjellin2010
14,matsumura1990
15,hill2009
16,rojas2009
17,israelachvili1976
18,rangel-yagui2005
21,lu2016
22,esumi2003
23,mukerjee1971
24,du noüy1925
25,fayet2016
26,creton2012
27,nieto-draghi2015
28,stephenson2006
29,vishnyakov2013
30,klevens1953
31,huibers1996
32,hu2010
33,katritzky2010
34,nicolotti2014
35,gasteiger2003
36,dagnélie2011
37,gasteiger1993
38,katritzky2008
39,estrada1996
40,varnek2007
41,varnek2011
42,saunders2004
43,khayamian2005
44,mozrzymas2010
45,roy2012
46,mattei2013
47,anoune2002
48,gaudin2015
49,mahmood2013
50,moroi1988
51,syper1998
52,frisch2009
53,savelli1999
54,matsumura1991
55,kjellin2001
56,boyere2013
58,chermette1999
59,geerlings2003
60,mulliken1955
61,reed1985
62,huibers1999
63,yee2012
64,fayet2010
65,fayet2011
67,rücker2007
68,nicolotti2006
69,tropsha2003
70,schüürman2008
71,consonni2009
72,lawrence1989
73,lawrence1992
74,roy2012
75,chirico2012
76,jaworska2005
77,gissi2014
78,zefirov1987
79,tanford1979
80,marchant1055
81,gaudin2015
82,nilsson1998
83,antonelli1994
84,mesa1993
85,walter1990
86,okawauchi1987
87,harada1994
88,ferrer2002
89,becerra2008
90,soderberg1995
91,lalot2004
92,plusquellec1994
93,minamikawa2005
94,boullanger1996
95,burczyk2001
96,zhu1999
97,aveyard1998
98,persson2003
99,milkereit2005
100,zhang1996a
101,wilk2001
102,ericsson2004
103,molina-bolivar2004
