molecule,CMC (mM),T (°C),log CMC (M),set,ref
"octyl-D,L-glycerol",5.8,25,−2.2,T,10
octyl glycol,4.9,25,−2.3,T,10
octyl-β-D-glucoside,20,25,−1.7,T,14
octyl-α-D-mannoside,6,25,−2.2,T,14
octyl-β-D-galactoside,16,25,−1.8,T,14
decyl-α-D-mannoside,0.25,25,−3.6,T,14
decyl-β-D-galactoside,0.7,25,−3.1,V,14
dodecyl-α-D-mannoside,0.05,25,−4.3,T,14
dodecyl-β-D-Galactoside,0.2,25,−3.7,T,14
"1-O-butyl-D,L-xylitol",58,25,−1.2,T,53
"1-O-pentyl-D,L-xylitol",38,25,−1.4,T,53
"1-O-hexyl-D,L-xylitol",9.4,25,−2.0,T,53
"1-O-heptyl-D,L-xylitol",9.2,25,−2.0,V,53
"1-O-octyl-D,L-xylitol",6.7,25,−2.2,T,53
"1-O-nonyl-D,L-xylitol",2.1,25,−2.7,T,53
"1-O-pentanoyl-D,L-xylitol",120,25,−0.9,T,53
"1-O-hexanoyl-D,L-xylitol",58,25,−1.2,V,53
"1-O-heptanoyl-D,L-xylitol",10,25,−2.0,T,53
"1-O-octanoyl-D,L-xylitol",18,25,−1.7,T,53
"1-O-nonanoyl-D,L-xylitol",4.4,25,−2.4,V,53
"1-O-decanoyl-D,L-xylitol",1.8,25,−2.7,T,53
"S-butyl-1-thio-D,L-xylitol",180,25,−0.7,T,53
"S-pentyl-1-thio-D,L-xylitol",46,25,−1.3,T,53
S-hexyl-1-thio-L-xylitol,12,20,−1.9,T,91
S-octyl-1-thio-L-xylitol,1.2,20,−2.9,T,91
S-decyl-1-thio-L-xylitol,0.4,20,−3.4,T,91
S-hexyl-1-thio-D-lyxitol,18,20,−1.7,V,91
S-octyl-1-thio-D-lyxitol,1.8,20,−2.7,V,91
S-hexyl-1-thio-L-ribitol,10.2,20,−2.0,T,91
S-octyl-1-thio-L-ribitol,0.38,20,−3.4,V,91
S-hexyl-5-thio-D-arabinonolactone,6.7,20,−2.2,V,91
S-octyl-5-thio-D-arabinonolactone,0.48,20,−3.3,T,91
S-decyl-5-thio-D-arabinonolactone,0.033,20,−4.5,T,91
S-hexyl-5-thio-D-xylonolactone,5,20,−2.3,V,91
S-octyl-5-thio-D-xylonolactone,0.53,20,−3.3,T,91
S-decyl-5-thio-D-xylonolactone,0.023,20,−4.6,T,91
1-butylhexyl-β-D-glucoside,15,25,−1.8,T,54
1-propylheptyl-β-D-glucoside,12,25,−1.9,V,54
1-ethyloctyl-β-D-glucoside,8.5,25,−2.1,T,54
1-methylnonyl-β-D-glucoside,4.5,25,−2.3,T,54
octanoyl-β-D-galactosylamine,45,25,−1.3,V,92
octanoyl-β-D-glucosylamine,70,25,−1.2,T,92
"3,7-dimethyloctyl-β-D-glucoside",4,25,−2.4,T,93
"3,7-dimethyloctyl-β-D-maltoside",5.3,25,−2.3,T,93
"3,7-dimethyloctyl-β-D-maltotrioside",5,25,−2.3,T,93
2-amino-2-deoxy-octyl-β-D-glucoside,23,25,−1.6,T,94
2-amino-2-deoxy-nonyl-β-D-glucoside,7,25,−2.2,T,94
N-decyl-N-methyl gluconamide,1.3,25,−2.9,V,95
N-dodecyl-N-methyl gluconamide,0.14,20,−3.8,V,95
N-tetradecyl-N-methyl gluconamide,0.024,20,−4.6,V,95
N-oleyl-N-methyl gluconamide,0.032,20,−4.5,T,95
N-decyl-N-methyl lactobionamide,2.3,20,−2.6,V,95
N-dodecyl-N-methyl lactobionamide,0.25,20,−3.6,T,95
N-tetradecyl-N-methyl lactobionamide,0.036,20,−4.4,V,95
N-hexadecyl-N-methyl lactobionamide,0.0093,20,−5.0,V,95
N-octadecyl-N-methyl lactobionamide,0.0033,20,−5.5,T,95
N-oleyl-N-methyl lactobionamide,0.054,20,−4.3,V,95
dodecanoyl-N-methylglyceramine,0.23,25,−3.6,V,96
dodecanoyl-N-methylxylamine,0.36,25,−3.4,T,96
octanoyl-N-methylglucamine,69,25,−1.2,T,86
nonanoyl-N-methylglucamine,21,25,−1.7,V,86
decanoyl-N-methylglucamine,6.7,25,−2.2,T,86
decyl-β-D-maltoside,2,25,−2.7,T,97
decyl-β-D-glucoside,2,25,−2.7,V,97
dodecyl-β-D-maltoside,0.17,22,−3.8,T,98
oleyl-β-D-maltoside,0.02,25,−4.7,T,99
oleyl-β-D-maltotrioside,0.042,25,−4.4,T,99
[N-(oleoyl)-2 -ethylamino]-β-D-maltoside,0.09,25,−4.0,T,99
hexyl-D-maltonamide,83,25,−1.1,V,100
octyl-D-maltonamide,5.7,25,−2.2,V,100
decyl-D-maltonamide,1.3,25,−2.9,T,100
dodecyl-D-maltonamide,0.31,25,−3.5,V,100
decyl-D-lactobionamide,1.3,25,−2.9,T,51
6′-O-dodecanoylmaltose,0.33,22,−3.5,T,55
N-decanoyl-N-methyl lactitolamine,3.3,25,−2.5,T,101
N-dodecanoyl-N-methyl lactitolamine,0.45,25,−3.3,T,101
N-tetradecanoyl-N-methyl lactitolamine,0.068,25,−4.2,T,101
nonyl-β-D-glucoside,6.9,20,−2.2,V,102
6-O-[(hexyloctyl)-3-propylsulfide)ethanoyl]-D-mannose,0.0063,25,−5.2,T,56
6-O-dodecanoylsucrose,0.46,20,−3.3,V,90
6-O-dodecanoylraffinose,0.95,20,−3.0,T,90
6-O-dodecanoylstachyose,2.3,20,−2.6,T,90
octyl-β-D-thioglucoside,8.5,25,−2.0,V,103
