Surfactant,γCMC (mN/m), T(K),Set,Reference,method
S-Octyl 5-Thio- D-Arabinonolactone,24.1,293,T,51,tensiometry
"Octyl- D,L-Glycerol",24.5,298,V,43,tensiometry
1-Butylhexyl- b-D-Glucoside,25.1,298,T,20,tensiometry
S-Hexyl 5-Thio- D-Arabinonolactone,25.1,293,T,51,tensiometry
"1-O-Nonanoyl- D,L-Xylitol",25.4,298,V,19,tensiometry
S-Octyl 5-Thio- D-Xylonolactone,25.7,293,T,51,tensiometry
"1-O-Decanoyl- D,L-Xylitol",26,298,V,19,tensiometry
1-Propylheptyl- b-D-Glucoside,26,298,T,20,tensiometry
Dodecanoyl- N-Methylglyceramine,26.1,298,T,46,tensiometry
S-Hexyl 5-Thio- D-Xylonolactone,26.3,293,T,51,tensiometry
Octyl Glycol,26.7,298,V,43,tensiometry
1-Ethyloctyl- b-D-Glucoside,27,298,T,20,tensiometry
S-Hexyl 1-Thio- L-Ribitol,27.2,293,T,51,tensiometry
"3,7-Dimethyloctyl- b-D-Glucoside",27.7,298,V,52,tensiometry
1-Methylnonyl- b-D-Glucoside,28,298,V,20,tensiometry
Decyl- b-D-Galactoside,28,298,T,42,tensiometry
Dodecanoyl- N-Methylxylamine,28,298,T,46,tensiometry
S-Hexyl 1-Thio- L-Xylitol,28.2,293,T,51,tensiometry
Dodecyl- a-D-Mannoside,28.4,298,T,42,tensiometry
6-O-[(Hexyloctyl)-3-Propylsulﬁde)ethanoyl]- D-Mannose,28.5,298,T,22,tensiometry
Decyl- a-D-Mannoside,28.5,298,V,42,tensiometry
Decyl- b-D-Glucoside,28.5,298,T,53,tensiometry
"1-O-Octanoyl- D,L-Xylitol",28.6,298,V,19,tensiometry
Octyl- b-D-Thioglucoside,28.7,298,T,54,tensiometry
Octanoyl- b-D-Galactosylamine,29.3,298,T,55,tensiometry
S-Octyl 1-Thio- D-Lyxitol,29.3,293,V,51,tensiometry
Pentyl Isosorbide,29.8,298,T,56,tensiometry
"1-O-Heptanoyl- D,L-Xylitol",30,298,T,19,tensiometry
"1-O-Pentanoyl- D,L-Xylitol",30,298,T,19,tensiometry
S-Hexyl 1-Thio- D-Lyxitol,30,293,V,51,tensiometry
2-Amino-2-Deoxy-Nonyl- b-D-Glucoside,30.2,298,T,57,tensiometry
Nonyl- b-D-Glucoside,30.4,293,V,58,tensiometry
Octyl- a-D-Mannoside,30.5,298,T,42,tensiometry
Octyl- b-D-Galactoside,30.5,298,V,42,tensiometry
Octyl- b-D-Glucoside,30.5,298,T,42,tensiometry
Dodecyl- b-D-Galactoside,31.5,298,T,42,tensiometry
Octyl- D-Maltonamide,31.8,298,T,59,tensiometry
Butyl Isosorbide,32.1,298,V,56,tensiometry
Hexyl- D-Maltonamide,32.2,298,T,59,tensiometry
2-Amino-2-Deoxy-Octyl- b-D-Glucoside,32.5,298,V,57,tensiometry
Decanoyl- N-Methylglucamine,32.5,303,T,60,tensiometry
Nonanoyl- N-Methylglucamine,32.9,303,T,61,tensiometry
Decyl- D-Lactobionamide,33,298,T,47,tensiometry
"1-O-Hexanoyl- D,L-Xylitol",33.2,298,V,19,tensiometry
Dodecyl- D-Maltonamide,33.6,298,T,59,tensiometry
"3,7-Dimethyloctyl- b-D-Maltoside",33.7,298,T,52,tensiometry
Decyl- D-Maltonamide,33.9,298,V,59,tensiometry
N-Octadecyl- N-Methyl Lactobionamide,34.6,293,T,62,tensiometry
N-Oleyl- N-Methyl Gluconamide,34.8,293,T,62,tensiometry
N-Tetradecyl- N-Methyl Gluconamide,35,293,V,62,tensiometry
[N-(Oleoyl)-2 -Ethylamino]- b-D-Maltoside,35.1,298,T,63,tensiometry
N-Dodecyl- N-Methyl Gluconamide,35.2,293,T,62,tensiometry
Dodecyl- b-D-Maltoside,35.3,295,V,64,tensiometry
Decyl- b-D-Maltoside,35.6,298,T,53,tensiometry
N-Hexadecyl- N-Methyl Lactobionamide,35.6,293,T,62,tensiometry
N-Tetradecyl- N-Methyl Lactobionamide,35.7,293,V,62,tensiometry
N-Oleyl- N-Methyl Lactobionamide,35.8,293,T,62,tensiometry
N-Dodecyl- N-Methyl Lactobionamide,36,293,T,62,tensiometry
N-Decyl- N-Methyl Gluconamide,36.7,298,V,62,tensiometry
N-Tetradecanoyl- N-Methyl Lactitolamine,37,298,T,65,tensiometry
N-Dodecanoyl- N-Methyl Lactitolamine,37.2,298,T,65,tensiometry
6-O-Dodecanoylsucrose,37.4,293,V,49,tensiometry
Oleyl- b-D-Maltoside,37.8,298,T,63,tensiometry
N-Decyl- N-Methyl Lactobionamide,38.9,293,T,62,tensiometry
60-O-Dodecanoylmaltose,39,295,V,21,tensiometry
"3,7-Dimethyloctyl- b-D-Maltotrioside",39.6,298,T,52,tensiometry
N-Decanoyl- N-Methyl Lactitolamine,40.3,298,T,65,tensiometry
Oleyl- b-D-Maltotrioside,42.5,298,V,63,tensiometry
6-O-Dodecanoylstachyose,43,293,T,49,tensiometry
6-O-Dodecanoylrafﬁnose,44.1,293,T,49,tensiometry
