ref_no,ref_key
1,octave2009
2,alba2015
3,carpenter2008
4,kjellin2010
5,ruiz2009
6,fayet2016
7,rosen2012
8,myers2006
9,wang2002
10,wang2003
11,wang2005
12,gaudin2017
13,gaudin2016
14,huibers1996
15,katritzky2008
16,mahmood2013
17,moroi1988
19,savelli1999
20,matsumura1991
21,kjellin2001
22,boyere2013
24,chermette1999
25,geerlings2003
26,mulliken1955
27,reed1985
28,fayet2010
29,fayet2010
30,rucker2007
31,tropsha2003
32,schuurman2008
33,consonni2009
34,chirico2012
35,roy2012
36,jaworska2005
37,gissi2014
38,zefirov1987
41,anoune2002
42,matsumura1990
43,shinoda1959
44,shinoda1961
45,yuan2010
46,zhu1999
47,syper1998
48,ferrer2002
49,soderberg1995
50,becerra2008
51,lalot2004
52,minamikawa2005
53,aveyard1998
54,molina-bolivar2004
55,plusquellec1994
56,zhu2008
57,boullanger1996
58,ericsson2004
59,zhang1996a
60,molina-bolivar2007
61,okawauchi1987
62,burczyk2001
63,milkereit2005
64,persson2003
65,wilk2001
