identifier,CMC,source_doi,reference_doi,Temp_Celsius,SMILES,method,pCMC,Molecular_Weight,InChI
C16TBr,0.00085,10.1007/s00396-003-0905-2,10.1021/la00039a012,25.0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],conductometry,3.070581074285707,364.45599999999996,"InChI=1S/C19H42N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(2,3)4;/h5-19H2,1-4H3;1H/q+1;/p-1"
C14TBr,0.0038,10.1007/s00396-003-0905-2,,25.0,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],conductometry,2.42021640338319,336.40199999999993,"InChI=1S/C17H38N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18(2,3)4;/h5-17H2,1-4H3;1H/q+1;/p-1"
C12TBr,0.0152,10.1007/s00396-003-0905-2,,25.0,CCCCCCCCCCCC[N+](C)(C)C.[Br-],conductometry,1.8181564120552274,308.34799999999996,"InChI=1S/C15H34N.BrH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1"
C16BCl,0.00049,10.1007/s00396-003-0905-2,10.1016/S0927-7757(01)00754-3,25.0,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],conductometry,3.309803919971486,396.10300000000007,"InChI=1S/C25H46N.ClH/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-20-23-26(2,3)24-25-21-18-17-19-22-25;/h17-19,21-22H,4-16,20,23-24H2,1-3H3;1H/q+1;/p-1"
C16BCl,0.00041,10.1007/s00396-003-0905-2,10.1021/la00039a012,25.0,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],conductometry,3.3872161432802645,396.10300000000007,"InChI=1S/C25H46N.ClH/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-20-23-26(2,3)24-25-21-18-17-19-22-25;/h17-19,21-22H,4-16,20,23-24H2,1-3H3;1H/q+1;/p-1"
C14BCl,0.00199,10.1007/s00396-003-0905-2,10.1016/S0927-7757(01)00754-3,25.0,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],conductometry,2.701146923590293,368.049,"InChI=1S/C23H42N.ClH/c1-4-5-6-7-8-9-10-11-12-13-14-18-21-24(2,3)22-23-19-16-15-17-20-23;/h15-17,19-20H,4-14,18,21-22H2,1-3H3;1H/q+1;/p-1"
C14BCl,0.00215,10.1007/s00396-003-0905-2,10.1021/la00039a012,25.0,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],conductometry,2.6675615400843946,368.049,"InChI=1S/C23H42N.ClH/c1-4-5-6-7-8-9-10-11-12-13-14-18-21-24(2,3)22-23-19-16-15-17-20-23;/h15-17,19-20H,4-14,18,21-22H2,1-3H3;1H/q+1;/p-1"
C12BCl,0.0088,10.1007/s00396-003-0905-2,,25.0,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],conductometry,2.0555173278498313,339.995,"InChI=1S/C21H38N.ClH/c1-4-5-6-7-8-9-10-11-12-16-19-22(2,3)20-21-17-14-13-15-18-21;/h13-15,17-18H,4-12,16,19-20H2,1-3H3;1H/q+1;/p-1"
C14BBr,0.0015,10.1007/s00396-003-0905-2,10.1021/la00039a012,30.0,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],conductometry,2.8239087409443187,412.49999999999994,"InChI=1S/C23H42N.BrH/c1-4-5-6-7-8-9-10-11-12-13-14-18-21-24(2,3)22-23-19-16-15-17-20-23;/h15-17,19-20H,4-14,18,21-22H2,1-3H3;1H/q+1;/p-1"
C16PyCl,0.001,10.1007/s00396-003-0905-2,10.1021/la00039a012,25.0,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],conductometry,3.0,339.9949999999999,"InChI=1S/C21H38N.ClH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-19-22-20-17-15-18-21-22;/h15,17-18,20-21H,2-14,16,19H2,1H3;1H/q+1;/p-1"
C12PyCl,0.0162,10.1007/s00396-003-0905-2,,25.0,CCCCCCCCCCCC[n+]1ccccc1.[Cl-],conductometry,1.790484985457369,283.887,"InChI=1S/C17H30N.ClH/c1-2-3-4-5-6-7-8-9-10-12-15-18-16-13-11-14-17-18;/h11,13-14,16-17H,2-10,12,15H2,1H3;1H/q+1;/p-1"
C14PyC7SO3,0.00052,10.1007/s00396-003-0905-2,10.1007/BF01451652,25.0,CCCCCCCCCCCCCC[n+]1ccccc1.CCCCCCCS(=O)(=O)[O-],conductometry,3.283996656365201,455.7490000000003,"InChI=1S/C19H34N.C7H16O3S/c1-2-3-4-5-6-7-8-9-10-11-12-14-17-20-18-15-13-16-19-20;1-2-3-4-5-6-7-11(8,9)10/h13,15-16,18-19H,2-12,14,17H2,1H3;2-7H2,1H3,(H,8,9,10)/q+1;/p-1"
SDS,0.0083,10.1007/s00396-003-0905-2,10.1246/bcsj.45.428,25.0,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],conductometry,2.0809219076239263,288.385,"InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15;/h2-12H2,1H3,(H,13,14,15);/q;+1/p-1"
