Compound,cmc M,2nd cmc m,2nd cmc/cmc,Reference,source_doi,reference_doi,Temp_Celsius,SMILES
C16TBr,0.00085,0.00775,9.12,[15],10.1007/s00396-003-0905-2,10.1021/la00039a012,25.0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
C14TBr,0.0038,0.023,6.05,present result,10.1007/s00396-003-0905-2,,25.0,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
C12TBr,0.0152,0.07,4.6,[25],10.1007/s00396-003-0905-2,,25.0,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
C16BCl,0.00049,0.00127,2.59,[18],10.1007/s00396-003-0905-2,10.1016/S0927-7757(01)00754-3,25.0,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
C16BCl,0.00041,0.0013,3.17,[15],10.1007/s00396-003-0905-2,10.1021/la00039a012,25.0,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
C14BCl,0.00199,0.0068,3.42,[18],10.1007/s00396-003-0905-2,10.1016/S0927-7757(01)00754-3,25.0,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
C14BCl,0.00215,0.0067,3.12,[15],10.1007/s00396-003-0905-2,10.1021/la00039a012,25.0,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
C12BCl,0.0088,0.0828,9.41,present result,10.1007/s00396-003-0905-2,,25.0,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
C14BBr,0.0015,0.01,6.67,[15],10.1007/s00396-003-0905-2,10.1021/la00039a012,30.0,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-]
C16PyCl,0.001,0.0034,3.4,[15],10.1007/s00396-003-0905-2,10.1021/la00039a012,25.0,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-]
C12PyCl,0.0162,0.0327,2.02,present result,10.1007/s00396-003-0905-2,,25.0,CCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-]
C14PyC7SO3,0.00052,0.00185,3.56,[30],10.1007/s00396-003-0905-2,10.1007/BF01451652,25.0,CCCCCCCCCCCCCC[N+]1=CC=CC=C1.CCCCCCCS(=O)(=O)[O-]
SDS,0.0083,0.065,7.83,[3],10.1007/s00396-003-0905-2,10.1246/bcsj.45.428,25.0,CCCCCCCCCCCCOS(=O)([O-])=O.[Na+]
