ID,Tail_1,Tail_2,Ion_1,Ion_2,Spacer,−logCMC_exp,−logCMC_calc,Surfactant_Type,Ref_CMC,Note,SMILES,Surfactant_Type,Temp_Celsius
1,C8H17,C8H17,PO4-,(CH3)2N+,C2H4,3,3.843,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCC,cationic gemini,25.0
2,C8H17,C10H21,PO4-,(CH3)2N+,C2H4,3.9586,4.1391,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCC,cationic gemini,25.0
3,C10H21,C8H17,PO4-,(CH3)2N+,C2H4,4,4.096,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCC,cationic gemini,25.0
4,C8H17,C12H25,PO4-,(CH3)2N+,C2H4,4.8539,4.435,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCCCC,cationic gemini,25.0
5,C12H25,C8H17,PO4-,(CH3)2N+,C2H4,4.7447,4.4207,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCC,cationic gemini,25.0
6,C10H21,C10H21,PO4-,(CH3)2N+,C2H4,4.8861,4.4421,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCC,cationic gemini,25.0
7,C8H17,C14H29,PO4-,(CH3)2N+,C2H4,5.2147,4.7807,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCCCCCC,cationic gemini,25.0
8,C14H29,C8H17,PO4-,(CH3)2N+,C2H4,5.0969,4.752,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCC,cationic gemini,25.0
9,C10H21,C12H25,PO4-,(CH3)2N+,C2H4,4.8861,4.7888,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCCCC,cationic gemini,25.0
10,C10H21,C14H29,PO4-,(CH3)2N+,C2H4,5.2757,5.0698,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCCCCCC,cationic gemini,25.0
11,C14H29,C10H21,PO4-,(CH3)2N+,C2H4,5.2596,5.0576,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCC,cationic gemini,25.0
12,C12H25,C12H25,PO4-,(CH3)2N+,C2H4,5.0458,5.0973,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCCCC,cationic gemini,25.0
13,C8H17,C18H36,PO4-,(CH3)2N+,C2H4,5.3188,5.3902,gemini,10.1016/j.chemosphere.2011.05.031,"electrical conductivity of surfactant solutions with varying concentration on a conductometer at 25 °. Representative structures of the B–CmHn means branched alkyl Gemini surfactants, E–CmO represents esterquat Gemini surfactants with the formula: [H2m−1Cm−1COOCH2CH2(CH3)2N+(CH2)nN+(CH3)2CH2CH2OOCCm−1H2m−1]2Br−.",CCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCCCCCCCCCC,cationic gemini,25.0
