SAA,T (K),CMC (mmol/L),α,β,ΔG0mic (kJ/moL),ΔG0ads (kJ/moL),ΔH0mic (kJ/moL),ΔS0mic (J/moL),TΔS0mic (kJ/moL),method,source_doi,SMILES
DHBA-12,298.2,8.48,0.462,0.538,–33.5,–47.2,–7.61,86.9,–25.9,conductometry,10.1007/s11743-015-1706-6,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1CO.[Cl-]
DHBA-12,308.2,9.03,0.478,0.522,–34.0,–49.0,–8.04,84.2,–26.0,conductometry,10.1007/s11743-015-1706-6,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1CO.[Cl-]
DHBA-12,318.2,9.70,0.487,0.513,–34.6,–50.7,–8.52,82.0,–26.1,conductometry,10.1007/s11743-015-1706-6,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1CO.[Cl-]
DHBA-14,298.2,1.91,0.504,0.496,–38.1,–53.4,–7.29,103.4,–30.8,conductometry,10.1007/s11743-015-1706-6,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1CO.[Cl-]
DHBA-14,308.2,2.06,0.550,0.450,–37.9,–54.2,–7.55,98.5,–30.3,conductometry,10.1007/s11743-015-1706-6,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1CO.[Cl-]
DHBA-14,318.2,2.17,0.558,0.442,–38.7,–56.1,–8.00,96.5,–30.7,conductometry,10.1007/s11743-015-1706-6,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1CO.[Cl-]
DHBA-16,298.2,0.276,0.637,0.363,–41.2,–57.3,–4.23,124.2,–37.0,conductometry,10.1007/s11743-015-1706-6,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1CO.[Cl-]
DHBA-16,308.2,0.287,0.651,0.349,–42.1,–59.2,–4.47,122.0,–37.6,conductometry,10.1007/s11743-015-1706-6,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1CO.[Cl-]
DHBA-16,318.2,0.300,0.664,0.336,–42.8,–61.3,–4.72,119.9,–38.1,conductometry,10.1007/s11743-015-1706-6,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1CO.[Cl-]
DHBA-18,298.2,0.0493,0.687,0.313,–45.3,–67.0,–3.39,140.7,–41.9,conductometry,10.1007/s11743-015-1706-6,CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1CO.[Cl-]
DHBA-18,308.2,0.0502,0.709,0.291,–46.0,–68.8,–3.56,137.8,–42.4,conductometry,10.1007/s11743-015-1706-6,CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1CO.[Cl-]
DHBA-18,318.2,0.0528,0.716,0.284,–47.1,–70.8,–3.78,136.2,–43.3,conductometry,10.1007/s11743-015-1706-6,CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1CO.[Cl-]
DDBAC-12,298.2,9.15,0.413,0.587,–34.2,–48.9,–10.1,81.1,–24.2,conductometry,10.1007/s11743-015-1706-6,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
DDBAC-12,308.2,10.44,0.504,0.496,–32.9,–50.0,–10.2,73.8,–22.7,conductometry,10.1007/s11743-015-1706-6,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
DDBAC-12,318.2,10.87,0.509,0.491,–33.7,–52.0,–10.8,72.0,–22.9,conductometry,10.1007/s11743-015-1706-6,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
