Chemical name,Trade name,Molecular weight,W,HLB,HLB/W,CMC (mM),CMC [M],CMC (mM)(calculated),Temp_Celsius
Tween POE(20) sorbitan monolaurate,Tween 20,1227.54,0.7168,16.7,23.29,0.05,0.00005,,24.85
Tween POE(20) sorbitan monopalmitate,Tween 40,1283.65,0.6855,15.6,22.75,0.023,0.000023,,24.85
Tween POE(20) sorbitan monostearate,Tween 60,1311.7,0.6708,14.9,22.21,0.021,0.000021,,24.85
Tween POE(20) sorbitan monooleate,Tween 80,1309.68,0.6719,15,22.32,0.01,0.00001,,24.85
Tween POE(20) sorbitan tristearate,Tween 65,1899.54,0.4632,10.5,22.66,,,0.00018,24.85
Tween POE(20) sorbitan trioleate,Tween 85,1838.6,0.4786,11,22.98,,,0.00029,24.85
Myrj POE(8) stearate,Myrj 45,635,0.5543,11.1,20.024,0.373,0.000373,,24.85
Myrj POE(40) stearate,Myrj 52,2043,0.8614,16.9,19.617,,,,24.85
Myrj POE(50) stearate,Myrj 53,2483,0.886,17.9,20.202,,,,24.85
Myrj POE(100) stearate,Myrj 59,4683,0.9395,18.8,20.011,,,,24.85
Triton X p-t-O-P-POE(1)E,TX-15,250,0.1761,3.6,20.45,,,0.0145,24.85
Triton X p-t-O-P-POE(3)E,TX-35,338,0.3905,7.8,19.97,,,0.047,24.85
Triton X p-t-O-P-POE(5)E,TX-45,426,0.5164,10.4,20.14,0.1,0.0001,,24.85
Triton X p-t-O-P-POE(7.5)E,TX-114,536,0.6156,12.4,20.14,0.168,0.000168,,24.85
Triton X p-t-O-P-POE(9.5)E,TX-100,625,0.6688,13.5,20.19,0.24,0.00024,,24.85
Triton X p-t-O-P-POE(12.5)E,TX-102,756,0.7275,14.6,20.06,0.35,0.00035,,24.85
Triton X p-t-O-P-POE(16)E,TX-165,910,0.7736,15.8,20.42,0.439,0.000439,,24.85
Triton X p-t-O-P-POE(30)E,TX-305,1526,0.865,17.3,20,0.72,0.00072,,24.85
Triton X p-t-O-P-POE(40)E,TX-405,1966,0.8952,17.9,20,0.81,0.00081,,24.85
Triton X p-t-O-P-POE(70)E,TX-705,3286,0.9373,18.7,19.95,,,1.0413,24.85
Brij POE(4) lauryl ether,Brij 30,362,0.4862,9.7,19.95,0.004,0.000004,,24.85
Brij POE(23) lauryl ether,Brij 35,1198,0.8447,16.9,20.01,0.06,0.00006,,24.85
Brij POE(2) cetyl ether,Brij 52,330,0.2666,5.3,19.88,,,0.000067,24.85
Brij POE(10) cetyl ether,Brij 56,682,0.6452,12.9,20,0.002,0.000002,,24.85
Brij POE(20) cetyl ether,Brij 58,1120,0.7857,15.7,19.98,0.007,0.000007,,24.85
Brij POE(2) stearyl ether,Brij 72,358,0.2458,4.9,19.93,,,0.00025,24.85
Brij POE(10) stearyl ether,Brij 76,710,0.6197,12.4,20.01,0.003,0.000003,,24.85
Brij POE(20) stearyl ether,Brij 78,1096,0.8029,15.3,19.01,,,0.0057,24.85
Brij POE(2) oleyl ether,Brij 92,356,0.2472,4.9,19.82,,,24.845,24.85
Brij POE(10) oleyl ether,Brij 97,710,0.6197,12.4,20.01,0.94,0.00094,,24.85
Brij POE(20) oleyl ether,Brij 99,1094,0.8043,15.3,19.02,0.265,0.000265,,24.85
Brij POE(100) stearyl ether,Brij 700,4670,0.9421,18.8,19.95,0.02,0.00002,,24.85
Brij POE(21) stearyl ether,Brij 721,1194,0.7738,15.5,20.03,0.0039,0.0000039,,24.85
