Chemical name,SMILES,Notes,Updated SMILES
Tween POE(20) sorbitan monolaurate,CCCCCCCCCCCC(=O)OCCOCC(C1C(C(CO1)OCCO)OCCO)OCCO,,
Tween POE(20) sorbitan monopalmitate,CCCCCCCCCCCC(=O)OCCOCC(C1C(C(CO1)OCCO)OCCO)OCCO,,
Tween POE(20) sorbitan monostearate,CCCCCCCCCCCCCCCCCC(=O)OCCOCCOCCOCCOCC(OCCOCCOCCOCCO)[C@H]1OC[C@@H](OCCOCCOCCOCCO)[C@@H]1OCCOCCOCCOCCO
Tween POE(20) sorbitan monooleate,CCCCCCCCC=CCCCCCCCC(=O)OCCOCC(C1C(CC(O1)OCCO)OCCO)OCCO,,
Tween POE(20) sorbitan tristearate,O=C(CCCCCCCCCCC)OCCOCC(C1OCC(C1OCCO)OCCO)OCCO,,
Tween POE(20) sorbitan trioleate,OCC(OC(CCCCCCC/C=C\CCCCCCCC)=O)C1C(OC(CCCCCCC/C=C\CCCCCCCC)=O)C(OC(CCCCCCC/C=C\CCCCCCCC)=O)CO1,,
Myrj POE(8) stearate,CCCCCCCCCCCCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCO,,
Myrj POE(40) stearate,CCCCCCCCCCCCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,,
Myrj POE(50) stearate,CCCCCCCCCCCCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,,
Myrj POE(100) stearate,CCCCCCCCCCCCCCCCCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,,
Triton X p-t-O-P-POE(1)E,CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,Note: calculated,
Triton X p-t-O-P-POE(3)E,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,Note: calculated,
Triton X p-t-O-P-POE(5)E,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,,
Triton X p-t-O-P-POE(7.5)E,mixture,,
Triton X p-t-O-P-POE(9.5)E,mixture,,
Triton X p-t-O-P-POE(12.5)E,mixture,,
Triton X p-t-O-P-POE(16)E,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,,
Triton X p-t-O-P-POE(30)E,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,,
Triton X p-t-O-P-POE(40)E,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,,
Triton X p-t-O-P-POE(70)E,CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,Note: calculated,
Brij POE(4) lauryl ether,CCCCCCCCCCCCOCCOCCOCCOCCO,,
Brij POE(23) lauryl ether,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,,
Brij POE(2) cetyl ether,CCCCCCCCCCCCCCCCOCCOCCO,Note: calculated,
Brij POE(10) cetyl ether,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,,
Brij POE(20) cetyl ether,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,,
Brij POE(2) stearyl ether,CCCCCCCCCCCCCCCCCCOCCOCCO,Note: calculated,
Brij POE(10) stearyl ether,CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,,
Brij POE(20) stearyl ether,CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,Note: calculated,
Brij POE(2) oleyl ether,CCCCCCCCCCCCCCCCCCOCCOCCO,Note: calculated,
Brij POE(10) oleyl ether,CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,,
Brij POE(20) oleyl ether,CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,,
Brij POE(100) stearyl ether,CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,,
Brij POE(21) stearyl ether,CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,,
