mixture,α1,CMC (mM),γCMC (mN m-1),Γmax (10-10 mol cm-2),Amin (A ̊ 2),Ideal Amin (A ̊ 2),pC20,source_doi,SMILES,Temp_Celsius
APG/DDAC,1,0.89,26.67,4.49,36.98,36.98,3.84,10.1007/s11743-015-1705-7,,25.0
APG/DDAC,0.8017,0.53,25.82,2.27,73.15,72.25,4.67,10.1007/s11743-015-1705-7,,25.0
APG/DDAC,0.6025,0.51,26.04,1.93,86.04,77.24,4.83,10.1007/s11743-015-1705-7,,25.0
APG/DDAC,0.4025,0.47,26.13,2.22,74.80,82.69,4.62,10.1007/s11743-015-1705-7,,25.0
APG/DDAC,0.2017,0.54,26.25,2.12,78.33,89.66,4.55,10.1007/s11743-015-1705-7,,25.0
APG/DDAC,0,0.98,27.61,1.48,112.20,112.20,4.45,10.1007/s11743-015-1705-7,[Cl-].C(CCCCC[N+](C)(CCCCCCCCCC)C)CCCC,25.0
AEG/DDAC,1,0.06,28.60,3.28,50.63,50.63,5.47,10.1007/s11743-015-1705-7,,25.0
AEG/DDAC,0.7566,0.022,27.33,3.51,47.31,65.54,5.44,10.1007/s11743-015-1705-7,,25.0
AEG/DDAC,0.5382,0.033,27.95,2.57,64.61,68.13,5.48,10.1007/s11743-015-1705-7,,25.0
AEG/DDAC,0.3412,0.10,28.17,2.74,60.60,67.56,5.17,10.1007/s11743-015-1705-7,,25.0
AEG/DDAC,0.1626,0.156,28.62,2.45,67.78,74.64,5.00,10.1007/s11743-015-1705-7,,25.0
AEG/DDAC,0,0.98,27.61,1.48,112.20,112.20,4.45,10.1007/s11743-015-1705-7,[Cl-].C(CCCCC[N+](C)(CCCCCCCCCC)C)CCCC,25.0
AEG-EC/DDAC,1,0.034,29.88,2.28,72.83,72.83,5.06,10.1007/s11743-015-1705-7,,25.0
AEG-EC/DDAC,0.6935,0.015,29.21,2.23,74.47,86.23,5.41,10.1007/s11743-015-1705-7,,25.0
AEG-EC/DDAC,0.4590,0.0213,26.83,1.88,88.33,89.33,5.69,10.1007/s11743-015-1705-7,,25.0
AEG-EC/DDAC,0.2738,0.052,26.70,1.84,90.25,90.58,5.48,10.1007/s11743-015-1705-7,,25.0
AEG-EC/DDAC,0.1239,0.064,26.30,1.98,83.87,92.68,5.35,10.1007/s11743-015-1705-7,,25.0
AEG-EC/DDAC,0,0.98,27.61,1.48,112.20,112.20,4.45,10.1007/s11743-015-1705-7,[Cl-].C(CCCCC[N+](C)(CCCCCCCCCC)C)CCCC,25.0
