identifier,Temp_Celsius,AW_ST_CMC,Area_min,pC20,source_doi,SMILES,reference_doi,method,α,β,ΔG0m (kJ/moL),ΔH0m (kJ/moL),ΔS0m (kJ/moL),TΔS0m (kJ/moL),Molecular_Weight,InChI,CMC,pCMC,Gamma_max,C20
BAPA-11,20,45.9,1.45,3.36,10.1007/s11743-013-1502-0,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCNC(=O)CCCCCCCCCCC)cc1.[Cl-].[Cl-],,tensiometry,,,,,,,744.0339999999998,"InChI=1S/C42H78N4O2.2ClH/c1-7-9-11-13-15-17-19-21-23-27-41(47)43-33-25-35-45(3,4)37-39-29-31-40(32-30-39)38-46(5,6)36-26-34-44-42(48)28-24-22-20-18-16-14-12-10-8-2;;/h29-32H,7-28,33-38H2,1-6H3;2*1H",0.0009,3.0457574905606752,1.1399999999999999e-06,0.0004365158322401661
BAPA-11,30,45.2,1.6,3.31,10.1007/s11743-013-1502-0,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCNC(=O)CCCCCCCCCCC)cc1.[Cl-].[Cl-],,tensiometry,,,,,,,744.0339999999998,"InChI=1S/C42H78N4O2.2ClH/c1-7-9-11-13-15-17-19-21-23-27-41(47)43-33-25-35-45(3,4)37-39-29-31-40(32-30-39)38-46(5,6)36-26-34-44-42(48)28-24-22-20-18-16-14-12-10-8-2;;/h29-32H,7-28,33-38H2,1-6H3;2*1H",0.00117,2.9318141382538383,1.04e-06,0.0004897788193684461
BAPA-11,45,44.2,1.77,3.25,10.1007/s11743-013-1502-0,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCNC(=O)CCCCCCCCCCC)cc1.[Cl-].[Cl-],,tensiometry,,,,,,,744.0339999999998,"InChI=1S/C42H78N4O2.2ClH/c1-7-9-11-13-15-17-19-21-23-27-41(47)43-33-25-35-45(3,4)37-39-29-31-40(32-30-39)38-46(5,6)36-26-34-44-42(48)28-24-22-20-18-16-14-12-10-8-2;;/h29-32H,7-28,33-38H2,1-6H3;2*1H",0.0011799999999999998,2.9281179926938745,9.370000000000001e-07,0.0005623413251903491
BAPA-13,20,46.2,1.88,4.37,10.1007/s11743-013-1502-0,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCC)cc1.[Cl-].[Cl-],,tensiometry,,,,,,,800.1419999999995,"InChI=1S/C46H86N4O2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-31-45(51)47-37-29-39-49(3,4)41-43-33-35-44(36-34-43)42-50(5,6)40-30-38-48-46(52)32-28-26-24-22-20-18-16-14-12-10-8-2;;/h33-36H,7-32,37-42H2,1-6H3;2*1H",0.00013000000000000002,3.886056647693163,8.8e-07,4.265795188015926e-05
BAPA-13,30,45.5,1.9,4.34,10.1007/s11743-013-1502-0,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCC)cc1.[Cl-].[Cl-],,tensiometry,,,,,,,800.1419999999995,"InChI=1S/C46H86N4O2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-31-45(51)47-37-29-39-49(3,4)41-43-33-35-44(36-34-43)42-50(5,6)40-30-38-48-46(52)32-28-26-24-22-20-18-16-14-12-10-8-2;;/h33-36H,7-32,37-42H2,1-6H3;2*1H",0.00011,3.958607314841775,8.7e-07,4.5708818961487516e-05
BAPA-13,45,44.4,2.24,4.19,10.1007/s11743-013-1502-0,CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCC)cc1.[Cl-].[Cl-],,tensiometry,,,,,,,800.1419999999995,"InChI=1S/C46H86N4O2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-31-45(51)47-37-29-39-49(3,4)41-43-33-35-44(36-34-43)42-50(5,6)40-30-38-48-46(52)32-28-26-24-22-20-18-16-14-12-10-8-2;;/h33-36H,7-32,37-42H2,1-6H3;2*1H",0.00016,3.795880017344075,7.43e-07,6.456542290346549e-05
BAPA-15,45,46.8,2.92,5.15,10.1007/s11743-013-1502-0,CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],,tensiometry,,,,,,,856.2499999999994,"InChI=1S/C50H94N4O2.2ClH/c1-7-9-11-13-15-17-19-21-23-25-27-29-31-35-49(55)51-41-33-43-53(3,4)45-47-37-39-48(40-38-47)46-54(5,6)44-34-42-52-50(56)36-32-30-28-26-24-22-20-18-16-14-12-10-8-2;;/h37-40H,7-36,41-46H2,1-6H3;2*1H",1.02e-05,4.991399828238082,5.96e-07,7.079457843841373e-06
BAPA-11,20,,,,10.1007/s11743-013-1502-0,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCNC(=O)CCCCCCCCCCC)cc1.[Cl-].[Cl-],,conductometry,0.351,0.649,-58.8,-5.08,0.183,-53.7,744.0339999999998,"InChI=1S/C42H78N4O2.2ClH/c1-7-9-11-13-15-17-19-21-23-27-41(47)43-33-25-35-45(3,4)37-39-29-31-40(32-30-39)38-46(5,6)36-26-34-44-42(48)28-24-22-20-18-16-14-12-10-8-2;;/h29-32H,7-28,33-38H2,1-6H3;2*1H",0.00102,2.9913998282380825,,
BAPA-11,30,,,,10.1007/s11743-013-1502-0,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCNC(=O)CCCCCCCCCCC)cc1.[Cl-].[Cl-],,conductometry,0.421,0.579,-57.1,-5.11,0.171,-52.0,744.0339999999998,"InChI=1S/C42H78N4O2.2ClH/c1-7-9-11-13-15-17-19-21-23-27-41(47)43-33-25-35-45(3,4)37-39-29-31-40(32-30-39)38-46(5,6)36-26-34-44-42(48)28-24-22-20-18-16-14-12-10-8-2;;/h29-32H,7-28,33-38H2,1-6H3;2*1H",0.0010500000000000002,2.9788107009300617,,
BAPA-11,40,,,,10.1007/s11743-013-1502-0,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCNC(=O)CCCCCCCCCCC)cc1.[Cl-].[Cl-],,conductometry,0.484,0.516,-55.5,-5.14,0.16,-50.3,744.0339999999998,"InChI=1S/C42H78N4O2.2ClH/c1-7-9-11-13-15-17-19-21-23-27-41(47)43-33-25-35-45(3,4)37-39-29-31-40(32-30-39)38-46(5,6)36-26-34-44-42(48)28-24-22-20-18-16-14-12-10-8-2;;/h29-32H,7-28,33-38H2,1-6H3;2*1H",0.00108,2.96657624451305,,
