identifier,AW_ST_CMC,source_doi,SMILES,reference_doi,Temp_Celsius,method,Molecular_Weight,InChI,CMC,pCMC
12-4-12 (OH),35.6,10.1016/j.colsurfa.2008.04.028,CCCCCCCCCCCC[N+](CCO)(CCO)CCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],,25,tensiometry,762.8380000000001,"InChI=1S/C36H78N2O4.2BrH/c1-3-5-7-9-11-13-15-17-19-21-25-37(29-33-39,30-34-40)27-23-24-28-38(31-35-41,32-36-42)26-22-20-18-16-14-12-10-8-6-4-2;;/h39-42H,3-36H2,1-2H3;2*1H/q+2;;/p-2",0.00075,3.1249387366083
12-6-12 (OH),36.3,10.1016/j.colsurfa.2008.04.028,CCCCCCCCCCCC[N+](CCO)(CCO)CCCCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],,25,tensiometry,790.8919999999999,"InChI=1S/C38H82N2O4.2BrH/c1-3-5-7-9-11-13-15-17-19-23-27-39(31-35-41,32-36-42)29-25-21-22-26-30-40(33-37-43,34-38-44)28-24-20-18-16-14-12-10-8-6-4-2;;/h41-44H,3-38H2,1-2H3;2*1H/q+2;;/p-2",0.00054,3.2676062401770314
12-8-12 (OH),36.0,10.1016/j.colsurfa.2008.04.028,CCCCCCCCCCCC[N+](CCO)(CCO)CCCCCCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],,25,tensiometry,818.9459999999998,"InChI=1S/C40H86N2O4.2BrH/c1-3-5-7-9-11-13-15-17-21-25-29-41(33-37-43,34-38-44)31-27-23-19-20-24-28-32-42(35-39-45,36-40-46)30-26-22-18-16-14-12-10-8-6-4-2;;/h43-46H,3-40H2,1-2H3;2*1H/q+2;;/p-2",0.00045,3.3467874862246565
12-10-12 (OH),36.3,10.1016/j.colsurfa.2008.04.028,CCCCCCCCCCCC[N+](CCO)(CCO)CCCCCCCCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],,25,tensiometry,846.9999999999998,"InChI=1S/C42H90N2O4.2BrH/c1-3-5-7-9-11-13-15-19-23-27-31-43(35-39-45,36-40-46)33-29-25-21-17-18-22-26-30-34-44(37-41-47,38-42-48)32-28-24-20-16-14-12-10-8-6-4-2;;/h45-48H,3-42H2,1-2H3;2*1H/q+2;;/p-2",0.00023999999999999998,3.619788758288394
12-4-12 (OH),,10.1016/j.colsurfa.2008.04.028,CCCCCCCCCCCC[N+](CCO)(CCO)CCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],,25,conductometry,762.8380000000001,"InChI=1S/C36H78N2O4.2BrH/c1-3-5-7-9-11-13-15-17-19-21-25-37(29-33-39,30-34-40)27-23-24-28-38(31-35-41,32-36-42)26-22-20-18-16-14-12-10-8-6-4-2;;/h39-42H,3-36H2,1-2H3;2*1H/q+2;;/p-2",0.0009,3.0457574905606752
12-6-12 (OH),,10.1016/j.colsurfa.2008.04.028,CCCCCCCCCCCC[N+](CCO)(CCO)CCCCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],,25,conductometry,790.8919999999999,"InChI=1S/C38H82N2O4.2BrH/c1-3-5-7-9-11-13-15-17-19-23-27-39(31-35-41,32-36-42)29-25-21-22-26-30-40(33-37-43,34-38-44)28-24-20-18-16-14-12-10-8-6-4-2;;/h41-44H,3-38H2,1-2H3;2*1H/q+2;;/p-2",0.00068,3.167491087293764
12-8-12 (OH),,10.1016/j.colsurfa.2008.04.028,CCCCCCCCCCCC[N+](CCO)(CCO)CCCCCCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],,25,conductometry,818.9459999999998,"InChI=1S/C40H86N2O4.2BrH/c1-3-5-7-9-11-13-15-17-21-25-29-41(33-37-43,34-38-44)31-27-23-19-20-24-28-32-42(35-39-45,36-40-46)30-26-22-18-16-14-12-10-8-6-4-2;;/h43-46H,3-40H2,1-2H3;2*1H/q+2;;/p-2",0.00055,3.2596373105057563
12-10-12 (OH),,10.1016/j.colsurfa.2008.04.028,CCCCCCCCCCCC[N+](CCO)(CCO)CCCCCCCCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],,25,conductometry,846.9999999999998,"InChI=1S/C42H90N2O4.2BrH/c1-3-5-7-9-11-13-15-19-23-27-31-43(35-39-45,36-40-46)33-29-25-21-17-18-22-26-30-34-44(37-41-47,38-42-48)32-28-24-20-16-14-12-10-8-6-4-2;;/h45-48H,3-42H2,1-2H3;2*1H/q+2;;/p-2",0.00032,3.494850021680094
12-4-12 (OH),,10.1016/j.colsurfa.2008.04.028,CCCCCCCCCCCC[N+](CCO)(CCO)CCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],,25,calorimetry,762.8380000000001,"InChI=1S/C36H78N2O4.2BrH/c1-3-5-7-9-11-13-15-17-19-21-25-37(29-33-39,30-34-40)27-23-24-28-38(31-35-41,32-36-42)26-22-20-18-16-14-12-10-8-6-4-2;;/h39-42H,3-36H2,1-2H3;2*1H/q+2;;/p-2",0.00074,3.1307682802690238
12-6-12 (OH),,10.1016/j.colsurfa.2008.04.028,CCCCCCCCCCCC[N+](CCO)(CCO)CCCCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],,25,calorimetry,790.8919999999999,"InChI=1S/C38H82N2O4.2BrH/c1-3-5-7-9-11-13-15-17-19-23-27-39(31-35-41,32-36-42)29-25-21-22-26-30-40(33-37-43,34-38-44)28-24-20-18-16-14-12-10-8-6-4-2;;/h41-44H,3-38H2,1-2H3;2*1H/q+2;;/p-2",0.00053,3.275724130399211
12-8-12 (OH),,10.1016/j.colsurfa.2008.04.028,CCCCCCCCCCCC[N+](CCO)(CCO)CCCCCCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],,25,calorimetry,818.9459999999998,"InChI=1S/C40H86N2O4.2BrH/c1-3-5-7-9-11-13-15-17-21-25-29-41(33-37-43,34-38-44)31-27-23-19-20-24-28-32-42(35-39-45,36-40-46)30-26-22-18-16-14-12-10-8-6-4-2;;/h43-46H,3-40H2,1-2H3;2*1H/q+2;;/p-2",0.00044,3.3565473235138126
