Structure name,log(cmc 40C),log(cmc Eq2),log(cmc Eq3),Ref
c06so3,-0.496,-0.063,-0.378,18
c08so3,-0.796,-0.678,-0.953,19
c10so3,-1.398,-1.273,-1.527,20
c12so3,-1.959,-1.886,-2.102,20
c13so3a,-2.421,-2.195,-2.390,21
c14so3,-2.602,-2.505,-2.676,19
c15so3a,-3.139,-2.813,-2.964,21
c16so3,-3.131,-3.125,-3.250,22
c17so3a,-3.635,-3.435,-3.539,21
c122zso3,-1.886,-1.752,-1.909,22
c142zso3,-2.569,-2.366,-2.483,22
c162zso3,-3.215,-2.985,-3.058,22
c182zso3,-3.745,-3.605,-3.632,22
2c12so3,-1.827,-1.815,-1.817,23
3c12so3,-1.730,-1.710,-1.718,23
4c12so3,-1.635,-1.632,-1.622,23
5c12so3,-1.548,-1.575,-1.526,23
6c12so3,-1.442,-1.539,-1.430,23
8c15so3a,-2.144,-2.318,-2.095,24
c07bso3,-1.582,-1.650,-1.607,25
c08bso3,-1.907,-1.950,-1.889,26
3c09bso3,-1.967,-2.155,-1.929,6
2c10bso3,-2.303,-2.501,-2.294,5
3c10bso3,-2.200,-2.437,-2.209,5
5c10bso3,-2.047,-2.350,-2.017,5
2c11bso3,-2.721,-2.804,-2.575,27
2c12bso3a,-2.692,-3.099,-2.857,16
3c12bso3,-2.606,-3.018,-2.771,6
4c12bso3a,-2.721,-2.955,-2.675,28
6c12bso3,-2.585,-2.868,-2.482,29
2c13bso3,-3.208,-3.397,-3.138,27
2c15bso3,-3.577,-3.992,-3.703,27
c08so4,-0.854,-0.782,-0.931,30
c10so4,-1.481,-1.396,-1.505,30
c11so4a,-1.783,-1.718,-1.791,31
c12so4,-2.066,-2.001,-2.080,32
c13so4,-2.367,-2.308,-2.365,33
c14so4,-2.658,-2.610,-2.654,34
c15so4,-2.921,-2.927,-2.940,33
c16so4,-3.237,-3.238,-3.228,30
c18so4,-3.796,-3.856,-3.803,35
2c10so4a,-1.328,-1.257,-1.332,32
2c14so4,-2.481,-2.449,-2.481,30
3c14so4,-2.367,-2.324,-2.374,30
4c14so4,-2.288,-2.218,-2.278,30
5c14so4,-2.171,-2.141,-2.181,30
7c14so4,-2.013,-2.053,-1.989,30
2c15so4,-2.767,-2.737,-2.770,30
3c15so4,-2.658,-2.619,-2.660,30
5c15so4,-2.469,-2.421,-2.467,30
8c15so4,-2.177,-2.298,-2.179,30
4c16so4,-2.764,-2.797,-2.852,30
6c16so4,-2.629,-2.590,-2.659,30
8c16so4,-2.372,-2.541,-2.467,30
2c17so4,-3.310,-3.292,-3.344,30
9c17so4,-2.629,-2.771,-2.657,30
2c18so4,-3.585,-3.595,-3.630,30
4c18so4,-3.347,-3.365,-3.426,30
6c18so4,-3.143,-3.158,-3.233,30
10c19so4,-3.027,-3.305,-3.135,30
5c19so4,-3.481,-3.529,-3.616,30
2c15cso4,-3.097,-3.061,-3.035,33
3c15cso4,-3.046,-2.943,-2.927,33
4c15cso4,-2.959,-2.859,-2.831,33
5c15cso4,-2.824,-2.782,-2.735,33
6c16cso4,-2.699,-2.728,-2.638,33
7c15cso4,-2.638,-2.677,-2.542,33
8c15cso4,-2.523,-2.672,-2.446,33
c12e1so4a,-2.396,-2.534,-,20
c12e2so4,-2.553,-2.850,-,20
c123aso3,-1.606,-1.795,-,22
c123bso3a,-2.118,-2.129,-,36
c123cso3a,-2.301,-2.339,-,36
c123dso3a,-2.420,-2.564,-,36
c123eso3a,-2.458,-2.602,-,36
c123fso3a,-2.817,-2.796,-,36
c123gso3a,-3.185,-3.266,-,36
c123hso3a,-3.922,-3.753,-,36
c123iso3a,-3.501,-3.761,-,36
c123lso3a,-2.708,-2.770,-,36
c123xso3,-1.541,-1.794,-,22
c143aso3,-2.199,-2.338,-,22
c142jso3a,-3.445,-2.693,-,36
c143kso3a,-2.922,-2.744,-,36
c143lso3a,-3.641,-3.388,-,36
c143mso3a,-4.787,-4.240,-,36
c143nso3a,-2.964,-2.949,-,37
c143oso3a,-3.200,-3.099,-,37
c143pso3a,-3.708,-3.331,-,37
c143qso3a,-3.106,-2.798,-,37
c143rso3a,-3.310,-3.442,-,37
c143xso3,-2.174,-2.405,-,22
c163aso3,-2.839,-2.938,-,22
c163bso3a,-3.472,-3.231,-,36
c153dso3a,-4.089,-3.651,-,36
c163fso3a,-4.458,-3.867,-,36
c163xso3,-2.735,-3.020,-,22
c183aso3,-3.420,-3.631,-,22
c10eso3a,-1.787,-1.810,-,20
c12ohso3a,-1.787,-1.572,-,38
c14ohso3a,-2.432,-2.152,-,38
c06aso3a,-0.733,-0.629,-,39
c08aso3a,-1.144,-1.229,-,39
c10aso3a,-1.621,-1.834,-,39
c14pso3,-3.046,-3.105,-,40
c111sso3a,-1.986,-2.290,-,41
c131sso3a,-2.583,-2.872,-,41
c151sso3a,-3.398,-3.474,-,42
c151tso3a,-3.509,-3.680,-,42
c151uso3a,-3.964,-3.881,-,42
c171sso3a,-4.000,-4.071,-,42
c171tso3a,-4.106,-4.268,-,42
c171uso3a,-4.899,-4.475,-,42
c171vso3a,-4.569,-4.504,-,42
aot,-2.566,-3.114,-,43
c4c4succa,-0.663,-1.131,-,43
c5c5succa,-1.239,-1.658,-,43
c6c6succa,-1.817,-2.145,-,39
c8c8succa,-3.131,-3.135,-,39
