φDMF,T/ K,cmc 10^3/ M,α,Nagg,∆G0m (kJ/mol),∆G0m;tail (kJ/mol),∆G0m;trans (kJ/mol),∆H0m (kJ/mol),∆S0m (kJ/K.mol),SMILES,source_doi,reference_doi
0.0,298.15,0.158,0.369,,-71.62,-35.81,0.0,-26.75,0.15,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1021/je900894x,
0.0,303.15,0.182,0.38,32.0,-71.27,-35.64,0.0,-27.38,0.145,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1021/je900894x,
0.0,313.15,0.215,0.391,,-71.98,-35.99,0.0,-28.94,0.137,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1021/je900894x,
0.0,323.15,0.252,0.397,,-72.9,-36.45,0.0,-30.63,0.131,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1021/je900894x,
0.1,298.15,0.418,0.329,,-68.01,-34.0,3.61,-22.5,0.153,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1021/je900894x,
0.1,303.15,0.464,0.358,25.0,-66.86,-33.43,4.41,-22.69,0.146,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1021/je900894x,
0.1,313.15,0.51,0.362,,-68.25,-34.13,3.73,-24.12,0.141,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1021/je900894x,
0.1,323.15,0.585,0.364,,-69.47,-34.74,3.43,-25.64,0.136,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1021/je900894x,
0.2,298.15,0.737,0.329,,-64.23,-32.11,7.39,-25.96,0.128,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1021/je900894x,
0.2,303.15,1.13,0.36,24.0,-61.12,-30.56,10.15,-26.13,0.115,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1021/je900894x,
0.2,313.15,1.36,0.377,,-61.11,-30.56,10.87,-27.47,0.107,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1021/je900894x,
0.2,323.15,1.552,0.388,,-61.64,-30.82,11.25,-28.96,0.101,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1021/je900894x,
0.3,298.15,1.362,0.346,,-59.27,-29.63,12.35,-29.01,0.101,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1021/je900894x,
0.3,303.15,1.784,0.379,20.0,-57.0,-28.5,14.27,-29.13,0.092,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1021/je900894x,
0.3,313.15,2.135,0.407,,-56.37,-28.18,15.61,-30.29,0.083,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1021/je900894x,
0.3,323.15,2.553,0.436,,-55.58,-27.79,17.31,-31.39,0.075,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1021/je900894x,
0.5,298.15,2.394,0.488,,-48.01,-24.01,23.61,-13.46,0.116,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1021/je900894x,
0.5,303.15,3.518,0.497,11.0,-46.41,-23.21,24.86,-13.79,0.108,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1021/je900894x,
0.5,313.15,3.836,0.547,,-45.13,-22.57,26.85,-13.98,0.099,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1021/je900894x,
0.5,323.15,4.222,0.538,,-46.52,-23.26,26.37,-15.03,0.097,CCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],10.1021/je900894x,
0.0,298.15,3.62,0.23,58.0,-24.6,,0.0,,,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],10.1021/je900894x,
0.053,298.15,4.94,0.26,46.0,-22.9,,1.7,,,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],10.1021/je900894x,
0.105,298.15,6.42,0.28,38.0,-21.5,,3.1,,,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],10.1021/je900894x,
0.209,298.15,11.0,0.32,28.0,-18.8,,5.8,,,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],10.1021/je900894x,
