identifier,method,AW_ST_CMC,Pi_CMC,Area_min,source_doi,SMILES,reference_doi,Temp_Celsius,Molecular_Weight,InChI,CMC,pCMC,Gamma_max,C20,pC20
10a,tensiometry,28.33,44.07,0.78,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Br-],,25,377.367,"InChI=1S/C17H33N2O2.BrH/c1-2-3-4-5-6-7-8-9-10-17(21)15-19-12-11-18(16-19)13-14-20;/h11-12,16-17,20-21H,2-10,13-15H2,1H3;1H/q+1;/p-1",0.00134,2.8728952016351923,2.13e-06,0.000123,3.910094888560602
10b,tensiometry,31.26,41.14,0.79,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Cl-],,25,332.91600000000005,"InChI=1S/C17H33N2O2.ClH/c1-2-3-4-5-6-7-8-9-10-17(21)15-19-12-11-18(16-19)13-14-20;/h11-12,16-17,20-21H,2-10,13-15H2,1H3;1H/q+1;/p-1",0.0030099999999999997,2.521433504406157,2.1000000000000002e-06,0.000398,3.400116927926312
11a,tensiometry,31.4,41.0,0.61,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Br-],,25,433.475,"InChI=1S/C21H41N2O2.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-21(25)19-23-16-15-22(20-23)17-18-24;/h15-16,20-21,24-25H,2-14,17-19H2,1H3;1H/q+1;/p-1",0.0007,3.154901959985743,2.68e-06,0.000165,3.7825160557860937
11b,tensiometry,36.03,36.37,0.42,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Cl-],,25,389.024,"InChI=1S/C21H41N2O2.ClH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-21(25)19-23-16-15-22(20-23)17-18-24;/h15-16,20-21,24-25H,2-14,17-19H2,1H3;1H/q+1;/p-1",0.00229,2.640164517660112,3.88e-06,0.000977,3.010105436281227
12a,tensiometry,36.85,35.55,0.41,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Br-],,25,405.42100000000005,"InChI=1S/C19H37N2O2.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-19(23)17-21-14-13-20(18-21)15-16-22;/h13-14,18-19,22-23H,2-12,15-17H2,1H3;1H/q+1;/p-1",0.00044,3.3565473235138126,4.04e-06,0.000199,3.701146923590293
12b,tensiometry,37.38,35.02,0.55,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Cl-],,25,360.97,"InChI=1S/C19H37N2O2.ClH/c1-2-3-4-5-6-7-8-9-10-11-12-19(23)17-21-14-13-20(18-21)15-16-22;/h13-14,18-19,22-23H,2-12,15-17H2,1H3;1H/q+1;/p-1",0.00102,2.9913998282380825,3.02e-06,0.000407,3.39040559077478
10a,conductometry,,,,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Br-],,25,377.367,"InChI=1S/C17H33N2O2.BrH/c1-2-3-4-5-6-7-8-9-10-17(21)15-19-12-11-18(16-19)13-14-20;/h11-12,16-17,20-21H,2-10,13-15H2,1H3;1H/q+1;/p-1",0.00318,2.4975728800155674,,,
10b,conductometry,,,,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Cl-],,25,332.91600000000005,"InChI=1S/C17H33N2O2.ClH/c1-2-3-4-5-6-7-8-9-10-17(21)15-19-12-11-18(16-19)13-14-20;/h11-12,16-17,20-21H,2-10,13-15H2,1H3;1H/q+1;/p-1",0.00487,2.3124710387853655,,,
11a,conductometry,,,,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Br-],,25,433.475,"InChI=1S/C21H41N2O2.BrH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-21(25)19-23-16-15-22(20-23)17-18-24;/h15-16,20-21,24-25H,2-14,17-19H2,1H3;1H/q+1;/p-1",0.00175,2.7569619513137056,,,
11b,conductometry,,,,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Cl-],,25,389.024,"InChI=1S/C21H41N2O2.ClH/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-21(25)19-23-16-15-22(20-23)17-18-24;/h15-16,20-21,24-25H,2-14,17-19H2,1H3;1H/q+1;/p-1",0.00326,2.486782399932061,,,
