Surfactant,cmc mM,method,β,γCMC mM mN/m,πcmc mN/m,106 Γmax mol/m2,Amin nm2,C20 х 10-4,ΔG◦mic KJ/mol,ΔG◦ ads KJ/mol,cmc/C20,source_doi,SMILES,reference_doi,Temp_Celsius
10a,1.34,tensiometry,,28.33,44.07,2.13,0.78,1.23,,,10.8,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Br-],,25
10b,3.01,tensiometry,,31.26,41.14,2.1,0.79,3.98,,,7.5,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Cl-],,25
11a,0.7,tensiometry,,31.4,41,2.68,0.61,1.65,,,4.2,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Br-],,25
11b,2.29,tensiometry,,36.03,36.37,3.88,0.42,9.77,,,2.3,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Cl-],,25
12a,0.44,tensiometry,,36.85,35.55,4.04,0.41,1.99,,,2.2,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Br-],,25
12b,1.02,tensiometry,,37.38,35.02,3.02,0.55,4.07,,,2.5,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Cl-],,25
10a,3.18,conductometry,0.71,,,,,,-41.37,-62.06,,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Br-],,25
10b,4.87,conductometry,0.6,,,,,,-37.02,-56.61,,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Cl-],,25
11a,1.75,conductometry,0.72,,,,,,-44.16,-59.43,,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Br-],,25
11b,3.26,conductometry,0.64,,,,,,-39.58,-48.95,,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Cl-],,25
12a,0.79,conductometry,0.75,,,,,,-48.37,-57.17,,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Br-],,25
12b,1.03,conductometry,0.67,,,,,,-45.06,-56.66,,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Cl-],,25
10a,2.29,fluorimetry,,,,,,,,,,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Br-],,25
10b,4.26,fluorimetry,,,,,,,,,,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Cl-],,25
11a,1.48,fluorimetry,,,,,,,,,,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Br-],,25
11b,3.23,fluorimetry,,,,,,,,,,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Cl-],,25
12a,0.67,fluorimetry,,,,,,,,,,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Br-],,25
12b,1.04,fluorimetry,,,,,,,,,,10.1016/j.colsurfa.2013.08.063,CCCCCCCCCCCCC(O)Cn1cc[n+](CCO)c1.[Cl-],,25
