identifier,CMC,pC20,AW_ST_CMC,Area_min,source_doi,SMILES,Temp_Celsius,reference_doi,method,Molecular_Weight,InChI,C20,pCMC
Pent-cat-1-C8,0.00192,3.37,40.9,1.5,10.1016/j.jcis.2014.02.017,CCCCCCCCOCC(COCCCCCCCC)(C[N+](C)(C)C)C[N+](C)(C)C.[I-].[I-],20,,tensiometry,698.5970000000004,"InChI=1S/C27H60N2O2.2HI/c1-9-11-13-15-17-19-21-30-25-27(23-28(3,4)5,24-29(6,7)8)26-31-22-20-18-16-14-12-10-2;;/h9-26H2,1-8H3;2*1H/q+2;;/p-2",0.00042657951880159257,2.7166987712964503
Pent-cat-1-C10,0.000208,4.46,39.6,1.6,10.1016/j.jcis.2014.02.017,CCCCCCCCCCOCC(COCCCCCCCCCC)(C[N+](C)(C)C)C[N+](C)(C)C.[I-].[I-],20,,tensiometry,754.7050000000006,"InChI=1S/C31H68N2O2.2HI/c1-9-11-13-15-17-19-21-23-25-34-29-31(27-32(3,4)5,28-33(6,7)8)30-35-26-24-22-20-18-16-14-12-10-2;;/h9-30H2,1-8H3;2*1H/q+2;;/p-2",3.467368504525317e-05,3.6819366650372385
Pent-cat-1-C12,2.17e-06,5.74,40.8,0.4,10.1016/j.jcis.2014.02.017,CCCCCCCCCCCCOCC(COCCCCCCCCCCCC)(C[N+](C)(C)C)C[N+](C)(C)C.[I-].[I-],20,,tensiometry,810.8130000000003,"InChI=1S/C35H76N2O2.2HI/c1-9-11-13-15-17-19-21-23-25-27-29-38-33-35(31-36(3,4)5,32-37(6,7)8)34-39-30-28-26-24-22-20-18-16-14-12-10-2;;/h9-34H2,1-8H3;2*1H/q+2;;/p-2",1.8197008586099826e-06,5.663540266151471
Pent-cat-1-C14,7.1e-07,6.27,39.1,0.3,10.1016/j.jcis.2014.02.017,CCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCC)(C[N+](C)(C)C)C[N+](C)(C)C.[I-].[I-],20,,tensiometry,866.9209999999999,"InChI=1S/C39H84N2O2.2HI/c1-9-11-13-15-17-19-21-23-25-27-29-31-33-42-37-39(35-40(3,4)5,36-41(6,7)8)38-43-34-32-30-28-26-24-22-20-18-16-14-12-10-2;;/h9-38H2,1-8H3;2*1H/q+2;;/p-2",5.370317963702533e-07,6.1487416512809245
Pent-cat-2-C8,0.00119,3.64,32.2,1.4,10.1016/j.jcis.2014.02.017,CCCCCCCCOCC(CC[N+](C)(C)C)(CC[N+](C)(C)C)COCCCCCCCC.[I-].[I-],20,,tensiometry,726.6510000000005,"InChI=1S/C29H64N2O2.2HI/c1-9-11-13-15-17-19-25-32-27-29(21-23-30(3,4)5,22-24-31(6,7)8)28-33-26-20-18-16-14-12-10-2;;/h9-28H2,1-8H3;2*1H/q+2;;/p-2",0.00022908676527677723,2.9244530386074694
Pent-cat-2-C10,0.000265,4.46,32.2,1.2,10.1016/j.jcis.2014.02.017,CCCCCCCCCCOCC(CC[N+](C)(C)C)(CC[N+](C)(C)C)COCCCCCCCCCC.[I-].[I-],20,,tensiometry,782.7590000000005,"InChI=1S/C33H72N2O2.2HI/c1-9-11-13-15-17-19-21-23-29-36-31-33(25-27-34(3,4)5,26-28-35(6,7)8)32-37-30-24-22-20-18-16-14-12-10-2;;/h9-32H2,1-8H3;2*1H/q+2;;/p-2",3.467368504525317e-05,3.576754126063192
Pent-cat-2-C12,3.39e-05,5.3,33.5,1.0,10.1016/j.jcis.2014.02.017,CCCCCCCCCCCCOCC(CC[N+](C)(C)C)(CC[N+](C)(C)C)COCCCCCCCCCCCC.[I-].[I-],20,,tensiometry,838.8670000000002,"InChI=1S/C37H80N2O2.2HI/c1-9-11-13-15-17-19-21-23-25-27-33-40-35-37(29-31-38(3,4)5,30-32-39(6,7)8)36-41-34-28-26-24-22-20-18-16-14-12-10-2;;/h9-36H2,1-8H3;2*1H/q+2;;/p-2",5.011872336272725e-06,4.4698003017969175
Pent-cat-2-C14,3.05e-06,6.19,23.5,0.7,10.1016/j.jcis.2014.02.017,CCCCCCCCCCCCCCOCC(CC[N+](C)(C)C)(CC[N+](C)(C)C)COCCCCCCCCCCCCCC.[I-].[I-],20,,tensiometry,894.9749999999998,"InChI=1S/C41H88N2O2.2HI/c1-9-11-13-15-17-19-21-23-25-27-29-31-37-44-39-41(33-35-42(3,4)5,34-36-43(6,7)8)40-45-38-32-30-28-26-24-22-20-18-16-14-12-10-2;;/h9-40H2,1-8H3;2*1H/q+2;;/p-2",6.45654229034655e-07,5.515700160653214
Pent-cat-3-C8,0.00191,3.72,31.4,1.0,10.1016/j.jcis.2014.02.017,CCCCCCCCOCC(CCC[N+](C)(C)C)(CCC[N+](C)(C)C)COCCCCCCCC.[I-].[I-],20,,tensiometry,754.7050000000006,"InChI=1S/C31H68N2O2.2HI/c1-9-11-13-15-17-19-27-34-29-31(23-21-25-32(3,4)5,24-22-26-33(6,7)8)30-35-28-20-18-16-14-12-10-2;;/h9-30H2,1-8H3;2*1H/q+2;;/p-2",0.00019054607179632462,2.7189666327522723
Pent-cat-3-C10,0.00027,4.55,32.0,1.0,10.1016/j.jcis.2014.02.017,CCCCCCCCCCOCC(CCC[N+](C)(C)C)(CCC[N+](C)(C)C)COCCCCCCCCCC.[I-].[I-],20,,tensiometry,810.8130000000003,"InChI=1S/C35H76N2O2.2HI/c1-9-11-13-15-17-19-21-23-31-38-33-35(27-25-29-36(3,4)5,28-26-30-37(6,7)8)34-39-32-24-22-20-18-16-14-12-10-2;;/h9-34H2,1-8H3;2*1H/q+2;;/p-2",2.818382931264455e-05,3.5686362358410126
