identifier,CMC (M),p(C20/M),γCMC (mN/m),Alim (nm2),source_doi,SMILES,Temp_Celsius,reference_doi,method
Pent-cat-1-C8,1.92e-3,3.37,40.9,1.5,10.1016/j.jcis.2014.02.017,CCCCCCCCOCC(C[N+](C)(C)C)(C[N+](C)(C)C)COCCCCCCCC.[I-].[I-],20,,tensiometry
Pent-cat-1-C10,0.208e-3,4.46,39.6,1.6,10.1016/j.jcis.2014.02.017,CCCCCCCCCCOCC(C[N+](C)(C)C)(C[N+](C)(C)C)COCCCCCCCCCC.[I-].[I-],20,,tensiometry
Pent-cat-1-C12,0.00217e-3,5.74,40.8,0.4,10.1016/j.jcis.2014.02.017,CCCCCCCCCCCCOCC(C[N+](C)(C)C)(C[N+](C)(C)C)COCCCCCCCCCCCC.[I-].[I-],20,,tensiometry
Pent-cat-1-C14,0.00071e-3,6.27,39.1,0.3,10.1016/j.jcis.2014.02.017,CCCCCCCCCCCCCCOCC(C[N+](C)(C)C)(C[N+](C)(C)C)COCCCCCCCCCCCCCC.[I-].[I-],20,,tensiometry
Pent-cat-2-C8,1.19e-3,3.64,32.2,1.4,10.1016/j.jcis.2014.02.017,CCCCCCCCOCC(CC[N+](C)(C)C)(CC[N+](C)(C)C)COCCCCCCCC.[I-].[I-],20,,tensiometry
Pent-cat-2-C10,0.265e-3,4.46,32.2,1.2,10.1016/j.jcis.2014.02.017,CCCCCCCCCCOCC(CC[N+](C)(C)C)(CC[N+](C)(C)C)COCCCCCCCCCC.[I-].[I-],20,,tensiometry
Pent-cat-2-C12,0.0339e-3,5.3,33.5,1,10.1016/j.jcis.2014.02.017,CCCCCCCCCCCCOCC(CC[N+](C)(C)C)(CC[N+](C)(C)C)COCCCCCCCCCCCC.[I-].[I-],20,,tensiometry
Pent-cat-2-C14,0.00305e-3,6.19,23.5,0.7,10.1016/j.jcis.2014.02.017,CCCCCCCCCCCCCCOCC(CC[N+](C)(C)C)(CC[N+](C)(C)C)COCCCCCCCCCCCCCC.[I-].[I-],20,,tensiometry
Pent-cat-3-C8,1.91e-3,3.72,31.4,1,10.1016/j.jcis.2014.02.017,CCCCCCCCOCC(CCC[N+](C)(C)C)(CCC[N+](C)(C)C)COCCCCCCCC.[I-].[I-],20,,tensiometry
Pent-cat-3-C10,0.27e-3,4.55,32,1,10.1016/j.jcis.2014.02.017,CCCCCCCCCCOCC(CCC[N+](C)(C)C)(CCC[N+](C)(C)C)COCCCCCCCCCC.[I-].[I-],20,,tensiometry
Pent-cat-3-C12,0.0281e-3,5.2,33,0.7,10.1016/j.jcis.2014.02.017,CCCCCCCCCCCCOCC(CCC[N+](C)(C)C)(CCC[N+](C)(C)C)COCCCCCCCCCCCC.[I-].[I-],20,,tensiometry
Pent-cat-3-C14,0.006e-3,5.69,33,0.6,10.1016/j.jcis.2014.02.017,CCCCCCCCCCCCCCOCC(CCC[N+](C)(C)C)(CCC[N+](C)(C)C)COCCCCCCCCCCCCCC.[I-].[I-],20,,tensiometry
Pent-cat-4-C8,1.99e-3,3.63,31.4,1,10.1016/j.jcis.2014.02.017,CCCCCCCCOCC(COCC[N+](C)(C)C)(COCC[N+](C)(C)C)COCCCCCCCC.[I-].[I-],20,,tensiometry
Pent-cat-4-C10,0.254e-3,4.57,32.2,1,10.1016/j.jcis.2014.02.017,CCCCCCCCCCOCC(COCC[N+](C)(C)C)(COCC[N+](C)(C)C)COCCCCCCCCCC.[I-].[I-],20,,tensiometry
Pent-cat-4-C12,0.0533e-3,5.42,31.5,1,10.1016/j.jcis.2014.02.017,CCCCCCCCCCCCOCC(COCC[N+](C)(C)C)(COCC[N+](C)(C)C)COCCCCCCCCCCCC.[I-].[I-],20,,tensiometry
Pent-cat-4-C14,0.00286e-3,5.97,32.7,0.5,10.1016/j.jcis.2014.02.017,CCCCCCCCCCCCCCOCC(COCC[N+](C)(C)C)(COCC[N+](C)(C)C)COCCCCCCCCCCCCCC.[I-].[I-],20,,tensiometry
Pent-cat-5-C8,1.19e-3,3.71,36.7,1.6,10.1016/j.jcis.2014.02.017,CCCCCCCCOCC(COCCC[N+](C)(C)C)(COCCC[N+](C)(C)C)COCCCCCCCC.[I-].[I-],20,,tensiometry
Pent-cat-5-C10,0.166e-3,4.52,35.2,1.5,10.1016/j.jcis.2014.02.017,CCCCCCCCCCOCC(COCCC[N+](C)(C)C)(COCCC[N+](C)(C)C)COCCCCCCCCCC.[I-].[I-],20,,tensiometry
Pent-cat-5-C12,0.0219e-3,5.42,34.3,1.2,10.1016/j.jcis.2014.02.017,CCCCCCCCCCCCOCC(COCCC[N+](C)(C)C)(COCCC[N+](C)(C)C)COCCCCCCCCCCCC.[I-].[I-],20,,tensiometry
Pent-cat-5-C14,0.00316e-3,5.8,35,0.7,10.1016/j.jcis.2014.02.017,CCCCCCCCCCCCCCOCC(COCCC[N+](C)(C)C)(COCCC[N+](C)(C)C)COCCCCCCCCCCCCCC.[I-].[I-],20,,tensiometry
