no.,surfactant code,reported experimental log(CMC),ref,corrected experimental log(CMC),predicted log(CMC) eq3,predicted log(CMC) eq (Table 5),Temp_Celsius,ref_key,method
1,C6SO4Na,-0.377,24,-0.364,-0.045,-0.03,25,aniansson1976,
2,C7SO4Na,-0.658,24,-0.645,-0.351,-0.538,25,aniansson1976,
3,C9SO4Na,-1.222,24,-1.209,-0.972,-1.297,25,aniansson1976,
4,C8CO2K,-0.333,16,,-1.177,-0.512,40.0,li2004,
5,C10CO2K,-0.936,16,,-1.817,-1.368,40.0,li2004,
6,C12CO2K,-1.538,16,,-2.46,-2.009,40.0,li2004,
7,C14CO2K,-2.137,16,,-3.106,-2.551,40.0,li2004,
8,C16CO2K,-2.745,16,,-3.753,-3.04,40.0,li2004,
9,C6C(C)SO4Na,-0.745,16,,-0.525,-0.487,40.0,li2004,
10,C8C(C2)SO4Na,-1.539,16,,-1.272,-1.457,40.0,li2004,
11,C5C(C5)SO4Na,-1.081,16,,-1.062,-1.046,40.0,li2004,
12,C11C(C)SO4Na,-2.187,16,,-2.028,-2.204,40.0,li2004,
13,C6C(C6)SO4Na,-1.714,16,,-1.518,-1.797,40.0,li2004,
14,C14C(C14)SO4Na,-4.1,16,,-5.147,-4.856,40.0,li2004,
15,C10PhSO3Na,-2.509,16,,-2.507,-2.502,40.0,li2004,
16,C12PhSO3Na,-2.921,16,,-3.076,-2.955,40.0,li2004,
17,C8C(C2)PhSO3Na,-2.5,16,,-2.52,-2.36,40.0,li2004,
18,C7C(C3)PhSO3Na,-2.4,16,,-2.632,-2.473,40.0,li2004,
19,C6C(C4)PhSO3Na,-2.3,16,,-2.59,-2.395,40.0,li2004,
20,C5C(C5)PhSO3Na,-2.25,16,,-2.584,-2.359,40.0,li2004,
21,C7C(C4)PhSO3Na,-2.57,16,,-2.819,-2.632,40.0,li2004,
22,C10C(C2)PhSO3Na,-3,16,,-3.247,-3.036,40.0,li2004,
23,C9C(C3)PhSO3Na,-2.9,16,,-3.21,-2.974,40.0,li2004,
24,C8C(C4)PhSO3Na,-2.78,16,,-3.142,-2.898,40.0,li2004,
25,C7C(C5)PhSO3Na,-2.7,16,,-3.117,-2.836,40.0,li2004,
26,C6C(C6)PhSO3Na,-2.6,16,,-3.118,-2.816,40.0,li2004,
27,C12C(C)PhSO3Na,-3.39,16,,-3.697,-3.33,40.0,li2004,
28,C11C(C2)PhSO3Na,-3.28,16,,-3.591,-3.276,40.0,li2004,
29,C10C(C3)PhSO3Na,-3.15,16,,-3.507,-3.21,40.0,li2004,
30,C9C(C4)PhSO3Na,-3.05,16,,-3.425,-3.137,40.0,li2004,
31,C8C(C5)PhSO3Na,-2.9,16,,-3.351,-3.032,40.0,li2004,
32,C7C(C6)PhSO3Na,-2.8,16,,-3.387,-3.039,40.0,li2004,
33,C10EO2SO4Na,-1.910,15,-1.9254,-2.108,-2.12,25,roberts2002,
34,C12EO4SO4Na,-2.770,26,-2.7849,-3.333,-2.869,25,rosen1996,
35,C14EOSO4Na,-2.857,26,-2.8723,-3.045,-2.705,25,rosen1996,
36,C14EO2SO4Na,-3.070,15,-3.0854,-3.38,-2.989,25,roberts2002,
37,C14EO4SO4Na,-3.160,26,-3.1753,-3.97,-3.279,25,rosen1996,
38,C16EO2SO4Na,-3.638,10,,-4.017,-3.406,40.0,bazito2001,
39,C8CO2C2SO3Na,-1.312,16,,-1.13,-1.288,40.0,li2004,
40,C10CO2C2SO3Na,-1.883,16,,-1.733,-1.822,40.0,li2004,
41,C12CO2C2SO3Na,-2.523,16,,-2.342,-2.299,40.0,li2004,
42,CF4C2C(C3)SO4Na,-1.602,6,-1.702,-1.819,-1.876,25,miyazawa2003,
43,CF6C2C(C3)SO4Na,-2.398,6,-2.498,-2.808,-2.588,25,miyazawa2003,
44,CF8C2C(C3)SO4Na,-3.328,6,-3.42,-3.804,-3.204,25,miyazawa2003,
45,CF4C2C(C5)SO4Na,-2.041,6,-2.141,-2.199,-2.291,25,miyazawa2003,
