identifier,pCMC,original_ref,SMILES,InChI,Molecular_Weight,source_doi,reference_doi,reference_key,Temp_Celsius
C6EO3,0.959,31,CCCCCCOCCOCCOCCO,"InChI=1S/C12H26O4/c1-2-3-4-5-7-14-9-11-16-12-10-15-8-6-13/h13H,2-12H2,1H3",234.33599999999993,10.1021/ie800954k,10.1006/jcis.1998.5519,ortona1998,25.0
C6EO4,1.032,12,CCCCCCOCCOCCOCCOCCO,"InChI=1S/C14H30O5/c1-2-3-4-5-7-16-9-11-18-13-14-19-12-10-17-8-6-15/h15H,2-14H2,1H3",278.38899999999995,10.1021/ie800954k,10.1016/j.fluid.2005.02.008,cheng2005,25.0
C6EO5,1.017,12,CCCCCCOCCOCCOCCOCCOCCO,"InChI=1S/C16H34O6/c1-2-3-4-5-7-18-9-11-20-13-15-22-16-14-21-12-10-19-8-6-17/h17H,2-16H2,1H3",322.44200000000006,10.1021/ie800954k,10.1016/j.fluid.2005.02.008,cheng2005,25.0
C8EO4,2.063,12,CCCCCCCCOCCOCCOCCOCCO,"InChI=1S/C16H34O5/c1-2-3-4-5-6-7-9-18-11-13-20-15-16-21-14-12-19-10-8-17/h17H,2-16H2,1H3",306.44300000000004,10.1021/ie800954k,10.1016/j.fluid.2005.02.008,cheng2005,25.0
C8EO5,1.959,28,CCCCCCCCOCCOCCOCCOCCOCCO,"InChI=1S/C18H38O6/c1-2-3-4-5-6-7-9-20-11-13-22-15-17-24-18-16-23-14-12-21-10-8-19/h19H,2-18H2,1H3",350.49600000000015,10.1021/ie800954k,10.1021/la010958n,eastoe2001,25.0
C9EO8,2.52,11,CCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,"InChI=1S/C25H52O9/c1-2-3-4-5-6-7-8-10-27-12-14-29-16-18-31-20-22-33-24-25-34-23-21-32-19-17-30-15-13-28-11-9-26/h26H,2-25H2,1H3",496.6820000000005,10.1021/ie800954k,10.1016/S0378-3812(98)00411-7,li1998,25.0
C10EO5,3.1,11,CCCCCCCCCCOCCOCCOCCOCCOCCO,"InChI=1S/C20H42O6/c1-2-3-4-5-6-7-8-9-11-22-13-15-24-17-19-26-20-18-25-16-14-23-12-10-21/h21H,2-20H2,1H3",378.55000000000024,10.1021/ie800954k,10.1016/S0378-3812(98)00411-7,li1998,25.0
C10EO7,3.015,12,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,"InChI=1S/C24H50O8/c1-2-3-4-5-6-7-8-9-11-26-13-15-28-17-19-30-21-23-32-24-22-31-20-18-29-16-14-27-12-10-25/h25H,2-24H2,1H3",466.65600000000046,10.1021/ie800954k,10.1016/j.fluid.2005.02.008,cheng2005,25.0
C12EO1,4.638,12,CCCCCCCCCCCCOCCO,"InChI=1S/C14H30O2/c1-2-3-4-5-6-7-8-9-10-11-13-16-14-12-15/h15H,2-14H2,1H3",230.39199999999994,10.1021/ie800954k,10.1016/j.fluid.2005.02.008,cheng2005,25.0
C12EO14,4.26,19,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,"InChI=1S/C40H82O15/c1-2-3-4-5-6-7-8-9-10-11-13-42-15-17-44-19-21-46-23-25-48-27-29-50-31-33-52-35-37-54-39-40-55-38-36-53-34-32-51-30-28-49-26-24-47-22-20-45-18-16-43-14-12-41/h41H,2-40H2,1H3",803.0809999999999,10.1021/ie800954k,10.1007/s00396-002-0659-2,yuan2002,25.0
