no.,structure_code,-log(CMC),original_ref
1,C6EO3,0.959,31
2,C6EO4,1.032,12
3,C6EO5,1.017,12
4,C8EO4,2.063,12
5,C8EO5,1.959,28
6,C9EO8,2.52,11
7,C10EO5,3.1,11
8,C10EO7,3.015,12
9,C12EO1,4.638,12
10,C12EO14,4.26,19
11,C14EO9,5.046,19
12,C16EO8,5.921,12
13,C16EO10,5.699,23
14,C8PhEO30,3.959,4
15,C8PhEO40,4.119,4
16,C9PhEO2,3.377,32
17,C9PhEO5,3.328,32
18,C9PhEO12,3.301,32
19,H4EO3,2.097,28
20,F4EO3,2.699,28
21,H6EO3,3.523,28
22,F6EO3,4.097,28
23,C12AmEO3,3.292,24
24,C12AmEO6,3.187,24
25,C12AmEO9,3.125,24
25,C8PHE9,3.523,9
26,F4C3NCOEO2,2.009,27
27,F4C3NCOEO3,2.854,27
28,F6C3NCOEO2,3.824,27
29,F6C3NCOEO3,4.046,27
30,F8C3NCOEO2,4.62,27
31,F8C3NCOEO3,4.959,27
32,Gly4Ol-1,4.484,22
33,Gly4La-1,4.402,22
34,Gly4St-1,4.650,22
35,Gly6Ol-1,4.562,22
36,Gly6La-1,4.446,22
37,Gly6St-1,4.553,22
38,Gly10Ol-1,4.676,22
39,Gly10La-1,4.549,22
40,Sorb-La-1,4.44,22
41,Sorb-Ol-1,4.578,22
42,Sorb-Ol-3,4.944,22
43,C8-Lactose,2.58,33
44,C8-Lactitol,2.561,33
45,C12-Lactose,3.37,33
46,C12-Lactitol,3.37,33
47,C16-Lactose,5.02,33
48,C16-Lactitol,5.12,33
49,n-C12-Mpyr,3.74,23
50,C4-OCO-Xyl,0.921,34
51,C5-OCO-Xyl,1.237,34
52,C6-OCO-Xyl,2,34
53,C7-OCO-Xyl,1.745,34
54,C8-OCO-Xyl,2.357,34
55,C9-OCO-Xyl,2.745,34
56,C4-O-Xyl,1.237,34
57,C5-O-Xyl,1.42,34
58,C6-O-Xyl,2.027,34
59,C7-O-Xyl,2.036,34
60,C8-O-Xyl,2.174,34
61,C9-O-Xyl,2.678,34
62,C10-O-Xyl,3.092,34
63,C11-O-Xyl,3.523,34
64,C4-S-Xyl,0.745,34
65,C5-S-Xyl,1.337,34
66,C6-S-Xyl,1.796,34
67,C8-OCO-Glu,2.796,34
68,C12-OCO-Glu,3.638,34
69,C16-OCO-Glu,3.854,34
70,C18-OCO-Glu,3.699,34
71,C12-O-Malt,3.482,29
72,C12H25CONH(C2H4O)4H,3.301,29
73,C8TGlupyr,2.071,26
74,bis(C8GA),4.174,25
75,bis(C12GA),5.42,25
76,bis(C12GH),5.284,25
77,bis(C8LA),3.886,25
78,bis(C12LA),5.051,25
79,Glupyr-1,2.143,30
80,Glupyr-2,1.883,30
81,Glupyr-3,2.699,30
82,Glupyr-4,2.509,30
83,Glupyr-5,1.801,30
84,Glupyr-6,0.959,30
85,Glupyr-7,1.886,30
86,C4E1,0.009,9
87,C4E6,0.11,9
88,C6E3,1,9
89,C6E6,1.164,9
90,C9E1,2.31,9
91,C8E3,2.125,9
92,C8E6,2.004,9
93,C8E9,1.886,9
94,C10E3,3.222,9
95,C10E4,3.167,9
96,C10E6,3.046,9
97,C10E8,3,9
98,C10E9,2.886,9
99,C11E8,3.523,9
100,C12E2,4.481,9
101,C12E3,4.284,9
102,C12E4,4.194,9
103,C12E5,4.194,9
104,C12E6,4.06,9
105,C12E7,4.086,9
106,C12E8,4,9
107,C12E9,4,9
108,C12E12,3.854,9
109,C13E8,4.569,9
110,C14E6,5,9
111,C14E8,5.046,9
112,C15E8,5.456,9
113,C16E6,5.78,9
114,C16E7,5.77,9
115,C16E9,5.678,9
116,C16E12,5.638,9
117,C8PHE1,4.305,9
118,C8PHE2,4.116,9
119,C8PHE3,4.013,9
120,C8PHE4,3.886,9
121,C8PHE5,3.824,9
122,C8PHE6,3.678,9
123,C8PHE7,3.602,9
124,C8PHE8,3.553,9
126,C8PHE10,3.481,9
127,IC4E6,0.049,9
128,IC6E6,1.016,9
129,IC8E6,1.67,9
130,IC10E6,2.547,9
131,IC10E9,2.526,9
132,C8GLYCER,2.237,9
133,C10DIOL,2.638,9
134,C11DIOL,2.638,9
135,C12DIOL,3.745,9
136,C15DIOL,4.886,9
137,C8GLUC,1.602,9
138,C10GLUC,2.658,9
139,C12GLUC,3.721,9
140,C12DELAC,3.222,9
141,C12MALT,3.62,9
142,C12SUCR,3.469,9
143,C18SUCR,5.292,9
144,C11CONEO,3.585,9
145,C9CONE3E,2.299,9
146,C9CONE4E,2.193,9
147,C11CONE2,3.398,9
148,C11CONE3,3.292,9
149,C11CONE4,3.611,9
150,C12ALAE4,3.413,9
151,C12GLYE4,3.474,9
152,C12SARE4,3.533,9
153,CF6SE2,4.602,9
154,CF6SE3,4.553,9
155,CF6SE5,4.432,9
156,CF6SE7,4.319,9
157,CF6SESE2,4.638,9
158,CF6SE2SE,4.585,9
159,CF6SE3SE,4.469,9
160,CF6CONE3,3.26,9
161,CF8CONE3,4.921,9
162,CF10CONE,6.523,9
